{'短评内容': '很好！卫生干净', '短评打分': 5}
{'短评内容': '床软适合运动', '短评打分': 4}
{'短评内容': '入住望君三思。', '短评打分': 1}
{'短评内容': '除了里面啥都没有，包括洗发水沐浴露，吹风机都没有外，房间还可以。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '整洁', '短评打分': 3}
{'短评内容': '之前预付另一家宾馆，晚上9点钟到店后被告知没有房间，在携程预定3次必有一次出问题，心累。。大晚上的冒着风雨换了一个酒店，差价携程答应退，等联系。。', '短评打分': 4}
{'短评内容': '临近朝阳幼儿园，买衣服吃小吃很方便！', '短评打分': 3}
{'短评内容': '房间小', '短评打分': 3}
{'短评内容': '还不错，就是空调好像不给力。可能只是个别房间。中央空调', '短评打分': 3}
{'短评内容': '还不错。价格合理。外面吃的东西多。环境也还可以吧', '短评打分': 3}
{'短评内容': '还好，就是房间小店，大点就好了', '短评打分': 3}
{'短评内容': '拍的时候是113元，打电话问酒店还有没有113房间携程订的，之后携程电话过来说酒店只有118元的，要我付款的时候付118的，之后携程退5元到账户，还有20元的返现，打了携程之前5个电话，20元才退，5元至始至终都没看到，不是差这五元钱，这种服务态度让人恶心，', '短评打分': 1}
