{'descr': '挺好的，很温馨', 'star': 5}
{'descr': '挺好的', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '早餐不错，不知道有没停车场，服务可以，有送水，挺好的，环境可以，舒服，不吵，我觉得离开饿学委不愿听我', 'star': 5}
{'descr': '还不错，可以，点赞。商务，学习，培训的好选择，。距离海事大学不远，走路即可，楼下吃的很多。。。。。。', 'star': 5}
{'descr': '交通方面，附近有万达广场吃饭也很方便。按现在的价格151还算不错，国庆期间贵的离谱。', 'star': 5}
{'descr': '整体感觉还不错连续住了两天。', 'star': 5}
{'descr': '整体感觉还不错连续住了两天。', 'star': 5}
{'descr': '靠马路的吵', 'star': 5}
{'descr': '方便，不错。', 'star': 5}
{'descr': '住了很多次了，放心', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '好好好好好', 'star': 5}
{'descr': '酒店交通很方便。离大连海事大学，大连理工大学，东北财经大学都很近。去火车站、星海广场等也很方便。', 'star': 5}
{'descr': '总体感觉不错，交通方便，明显易找。', 'star': 4}
{'descr': '汉庭酒店没得说，一直都比较好，方便，安全', 'star': 5}
{'descr': '环境不错，交通也方便，房间挺干净的', 'star': 5}
{'descr': '挺好的，很舒适，服务态度好，干净。', 'star': 5}
{'descr': '感觉比以前入住的其他品牌的连锁店要好，干净，还会来。', 'star': 5}
{'descr': '入住速度快 环境好 交通方便 采光也很好 很明亮 之前预定时说的是六楼没电梯 到店后给安排的五楼有电梯 灰常感谢', 'star': 5}
{'descr': '快捷酒店的模式、服务人员太少了，前台的也要兼做上门的服务生，没见过。', 'star': 5}
{'descr': '比较新的快捷酒店，早点还可以吧。比较新的快捷酒店，早点还可以吧。', 'star': 5}
{'descr': '交通方便，卫生较好。房间不隔音。去海事大学和理工大学办事方便住。', 'star': 5}
{'descr': '房间比较宽敞舒适，浴室的隔音效果稍差了些，整体不错！', 'star': 3}
{'descr': '地理位置距离大连海事大学非常近，房间情况良好，早餐较为简单，前台服务效率较低，退房入住时均等待较长时间。', 'star': 5}
{'descr': '酒店不错，很干净，水也很热，住的很舒服。', 'star': 5}
{'descr': '隔音效果很差 大晚上的都是对门的叫床声。。。', 'star': 1}
{'descr': '特价房只有三间。还没有电梯到~~然后洗澡的热水不够热~ 下水道还塞着的~黑石礁的那家比他好多了', 'star': 1}
{'descr': '服务态度特别好，每次见面都会问好。我们定的标间，非常干净。大爱卫生间，很大很干净，而且淋雨和厕所是分开的，还有一面很大的穿衣镜和一个衣柜。非常满意，比我上次住的格林豪泰好太多了。。。', 'star': 5}
{'descr': '   房间很清洁卫生幽雅舒服', 'star': 3}
{'descr': '地理位置不错，吃饭购物方便，卫生条件OK', 'star': 5}
{'descr': '感觉很不错，唯一的缺点就是浴室喷洒不好用，水温不太稳定而且比较难控制~床很舒服，而且暖气充足~', 'star': 3}
{'descr': '方便，干净，服务态度好。设施齐全，卫生放心。', 'star': 5}
{'descr': '卫生条件良好，就是服务差点。早餐交了30元两人份，结果什么面食都没吃着，基本上就是喝了杯牛奶、吃了些咸菜。别的没吃到，挺差的。结账的时候跟总服务台反应，服务员说她刚到不了解情况，身处一个酒店却对顾客称她不知道情况，也不解释，也不道歉，对这点挺不满意的，希望下次汉庭服务能完善一些。', 'star': 5}
{'descr': '酒店环境不错.干净.服务态度还可以。', 'star': 3}
{'descr': '酒店很好，下次还来啦！', 'star': 3}
{'descr': '很好,值得推荐', 'star': 3}
{'descr': '到理工和海事大学办事交通方便，酒店管理很好，房间整洁。', 'star': 5}
{'descr': '酒店新开，位置里办事地点很久，靠近大学区，值得向朋友推荐入住。西湖无门', 'star': 5}
{'descr': '很干净，也很方便', 'star': 3}
