{'短评内容': '位置很好，很干净，床很大，服务态度很好。', '短评打分': 5}
{'短评内容': '位置不错,紧临岱庙,停车场小了一点', '短评打分': 5}
{'短评内容': '酒店地处市中心紧领银座商城，购物极其方便，尤其是晚上睡觉比较安静，酒店的各个方面还是不错的，给本酒店点个赞。', '短评打分': 5}
{'短评内容': '环境挺好不错', '短评打分': 5}
{'短评内容': '定房间送了一份早餐，感觉还行。大床确实够大，睡两个大人绰绰有余，加上孩子问题也不大。有免费的停车场，比较贴心和放心。', '短评打分': 5}
{'短评内容': '一切还好', '短评打分': 4}
{'短评内容': '房间略小，不像是大床房。环境还可以比较安静。主要是地理位置好，对面的小饭馆，分量足价格低，不愧我实在的山东人。还有就是离岱庙非常近，红门也很近。总体可以给5分。睡觉也很安静', '短评打分': 5}
{'短评内容': '真心不错，还便宜，离景点也不远！', '短评打分': 5}
{'短评内容': '非常不错！很干净！离景区也不远！', '短评打分': 5}
{'短评内容': '物美价廉物流快五星好评', '短评打分': 5}
{'短评内容': '搞吧bghkvdrujhv', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好很好很好，下次还来还来还来，不错不错不错。', '短评打分': 5}
{'短评内容': '房间布置很满意，因为有我需要的大写字台。只是靠近马路，太吵。出门对面就有卖吃的的，挺方便。再往北就有银座超市。房间里wifi信号不好。', '短评打分': 3}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '很好，安静有暖气', '短评打分': 5}
{'短评内容': '很好，安静有暖气', '短评打分': 5}
{'短评内容': '酒店房间虽小但很干净。外部环境一般但是很方便，还不错啦~', '短评打分': 4}
{'短评内容': '环境不错，下次还考虑住这', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '好！', '短评打分': 5}
{'短评内容': '爸妈去玩 距离岱庙很近 门口的饭馆也给力', '短评打分': 5}
{'短评内容': '很温馨', '短评打分': 5}
{'短评内容': '离泰山红门很近，附近就是山东科大，离岱庙也很近', '短评打分': 5}
{'短评内容': '好', '短评打分': 3}
{'短评内容': '酒店还不错,离太山的红门登山路线较近,但去其他地方交通不便', '短评打分': 3}
{'短评内容': '离泰山很近  岱庙也很近  旁边还有个菜市场   买东西很方便 。只是赶上晚上大面积停电 不巧。服务态度很好。卫生间有一点点小。\n', '短评打分': 3}
{'短评内容': '酒店服务很好，设施挺全，房间干净，房间小了点，餐厅小，早上吃饭较拥挤，停车场小，房内有烟味，服务员给喷了些清新剂，但效果不好。地段位置好，周边什么都有，很方便。', '短评打分': 5}
{'短评内容': '酒店很干净,地点也还可以,泰安城市不大,可以直接走到泰山脚下登山,不过体力不好的可要坐车去上山!服务很热情,店长介绍了附近的煎饼卷大葱农家饭店还不错!', '短评打分': 5}
{'短评内容': '如家的服务很周到，下次一定会再次选择如家。', '短评打分': 3}
{'短评内容': '风格如一，比较舒服。', '短评打分': 5}
{'短评内容': '服务很好房间设施不错。', '短评打分': 3}
{'短评内容': '很干净，虽然有点小插曲，还算满意。离上山很近。', '短评打分': 5}
{'短评内容': '位置很好，出行方便（不过离高铁车站很远，打车过去要30元左右)；房间很新，装修的也挺漂亮，隔音好，虽然在居民区里，但是不吵闹，后面还有停车场；大床房浴室有点小，但基本够用。性价比很高的酒店。', '短评打分': 5}
{'短评内容': '位置好，环境好，工作人员很热情，是自助旅游的好住处，下次还住着', '短评打分': 5}
{'短评内容': '不错，很好，离岱庙，泰山都很近，很方便，下次还会来。', '短评打分': 5}
{'短评内容': '服务很好 很干净 并且离泰山很近 提前在网上预定很方便 不浪费玩的时间', '短评打分': 5}
{'短评内容': '每层楼的大厅都有房间，很不利于那几个房间的隔音，楼道里的声音都能听见', '短评打分': 3}
{'短评内容': '酒店的位置很好，不在主干道上，安静，门口有7路车站名就叫如家酒店，隔壁菜场和超市可以补给，向北100米过马路有KFC，走到岱庙1公里多点，到红门打车起步价。但是入住时候房间烟味人肉味很重，睡到半夜还觉得那味道没有散去。', '短评打分': 5}
{'短评内容': '服务好  洗手间还有吹风机  晚上不会断电  干净整洁 距泰山风景区 近   挺好 ', '短评打分': 5}
{'短评内容': '不错，环境不错，位置也挺好，旁边就是银座。', '短评打分': 5}
{'短评内容': '酒店房间虽小，但很干净，服务员合前台很热情，不错！', '短评打分': 3}
{'短评内容': '一般般吧，如家都是一样的，楼下有个菜市场，买水果爬山很方便', '短评打分': 5}
{'短评内容': ' 如家什么都好，住着舒心，放心！就是这家是加盟店，发票不是如家的，给大家提个醒', '短评打分': 3}
{'短评内容': '酒店位置不错~环境相当好！墙是实的，隔音效果好！美中不足的是中午休息的时候，保洁员说话声音稍大~总体灰常好', '短评打分': 5}
{'短评内容': '酒店很不错，服务态度也很好！推荐到泰安旅游的朋友选择！', '短评打分': 3}
{'短评内容': '该酒店地处美丽的泰山脚下，景色秀丽，空气清新。房间很干净，服务人员热情周到，下次来泰安还会入住。', '短评打分': 3}
{'短评内容': ' 很好', '短评打分': 3}
{'短评内容': '酒店人员服务很好，酒店里很干净，环境很好，价格也很实惠，离景区也很近！', '短评打分': 3}
{'短评内容': '环境、位置都不错，服务员态度好。停车不太方便。', '短评打分': 5}
{'短评内容': '离泰山红门入口很近，环境好、干净，服务员态度好。', '短评打分': 5}
{'短评内容': '感觉还行 服务态度蛮好的 离岱庙 泰山挺近的', '短评打分': 5}
{'短评内容': '服务热情，房间大小正合适，交通方便（离泰山以及岱庙很近，但离高铁动车站很远。）', '短评打分': 5}
{'短评内容': '房间比较小,比较干净,挺温馨的', '短评打分': 3}
{'短评内容': '还行，也比较干净，周边也比较繁华。如果能够提供早餐就更好了', '短评打分': 5}
{'短评内容': '应该说，还行。会推荐给朋友。就是停车不太方便，停车场与小区共用，晚饭后回来，便没有位子了，只得停在马路边，没有安全保障，提心吊胆的。', '短评打分': 5}
{'短评内容': '该连锁酒店本人已在不同城市入住过几次，总体感觉还是比较不错的，设施、卫生及服务都比较不错，比较温馨，有家的感觉。其不足点有二：一是有的“如家”房间（双床标准间）小；二是有的“如家”没有停车场，给自驾的客人带来比较大的不便。此次入住的泰安如家有停车场，停放车很方便。', '短评打分': 5}
{'短评内容': '房间比较小，卫生间里的流水声较响，但是还是值得推荐的', '短评打分': 5}
