{'短评内容': '服务差，我是在无声当中办完入住和退房手续的，从入住到离店，服务员从没说过一句礼貌用语，设备很旧了，不推荐', '短评打分': 3}
{'短评内容': '私人酒店', '短评打分': 3}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '还行吧。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错，前台服务也好。下次还来住。', '短评打分': 4}
{'短评内容': '还可以！', '短评打分': 4}
{'短评内容': '还不错，位置好找，环境也不错。以后还会入住', '短评打分': 3}
{'短评内容': '就是一般的商务酒店，不能说设施设备有多好，但是位置比较好，有个比较大的问题就是房间里Wi-Fi信号特弱，望改进。', '短评打分': 4}
{'短评内容': '周围吃的东西很多，很方便，有个很大型的超市和菜场', '短评打分': 4}
{'短评内容': '同事说很满意，房间不错，服务态度很好！', '短评打分': 5}
{'短评内容': '价有所值！，，！。 出门在外，住这样的酒店，99分。', '短评打分': 5}
{'短评内容': '不错的酒店，环境也舒适，以后还会选择入住。', '短评打分': 5}
{'短评内容': '酒店环境还行，服务态度很好，唯一就是床太硬不太舒服，如能改善就完美了。', '短评打分': 5}
{'短评内容': '挺干净的，房间也大，就是洗手间过于简单，小。', '短评打分': 5}
{'短评内容': '房间很大，设施都是新的。缺点是没有早餐。', '短评打分': 5}
