{'短评内容': '位置还行吧，靠近汽车站，往北边走就是黄浦大街，公交车站比较多，条件一般，卫生一般，服务一般，电视节目太少，几乎无台可看', '短评打分': 3}
{'短评内容': '卫生不错，地点适当，用餐方便，好！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '旧了一点，但是很便宜，还不错', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '挺好的    就是里面有时候有蟑螂 还挺大', '短评打分': 4}
{'短评内容': '麻将房', '短评打分': 1}
{'短评内容': '还不错，就是没有拖鞋，夜没有一次性拖鞋，说是去采购了，前台也是一问三不知', '短评打分': 4}
{'短评内容': '位置不错，周围饭馆超市方便，个人觉得不错的', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间卫生一般，水龙头水小，温水不稳定。', '短评打分': 3}
{'短评内容': '酒店不错，住宿也安静。', '短评打分': 3}
{'短评内容': '卫生、干净、价格廉价。', '短评打分': 5}
{'短评内容': '朋友住了说还好  就是位置偏了点', '短评打分': 4}
{'短评内容': '房间小了一些，其他方面还是不错的，，下次还会入住', '短评打分': 3}
{'短评内容': '便宜，距离汉口火车站打的12元。服务态度好。房间大小还行，热水够热。就是没有一次性拖鞋。', '短评打分': 5}
{'短评内容': '酒店有些破落，比起旁边的7天差距不小，房间里没有电话。\n服务态度还算可以，可免双人早餐自助，还算不错。', '短评打分': 5}
{'短评内容': '床单不干净', '短评打分': 3}
{'短评内容': '酒店太小，就是一招待所。.............', '短评打分': 1}
{'短评内容': '是一家经济型的酒店，条件比较简陋，但是还算干净。', '短评打分': 5}
{'短评内容': '不错,房间干净,服务态度很好,下次会再去', '短评打分': 5}
{'短评内容': '服务态度,服务员素质还可以,门口看车的大爷很认真,不过就是水量不稳定,128这个价位在这里住还是可以,比较安静,网速需要提高点,特价房也是房,可以拉人气和口碑,继续努力吧.楼下的有家家常菜不错,老板娘也很热情...呵呵...', '短评打分': 5}
