{'descr': '房间稍微有点小不过还算干净，交通很方便，地理位置很好', 'star': 3}
{'descr': '房间小，无电梯，环境充其量就是小旅馆。', 'star': 3}
{'descr': '就是楼层太高了其他还好吧', 'star': 3}
{'descr': '干净卫生，环境优美，服务周到', 'star': 3}
{'descr': '整体还算干净，一分钱一分货吧', 'star': 3}
{'descr': '总的来说，环境还不错，价格也很实惠。', 'star': 5}
{'descr': '很好很好很好', 'star': 5}
{'descr': '环境还不错，吃东西交通也很方便', 'star': 5}
{'descr': '交通方便，设施陈旧，空调效果不好，晚上有些冷', 'star': 4}
{'descr': '跟我想象的有点区别，总体而言一般般，没一般的连锁酒店好。', 'star': 4}
{'descr': '不错，在市区。购物逛街，吃饭，到各个景区很方便。', 'star': 5}
{'descr': '小店实在不怎么样，房间又小隔音又不好，床单都洗黄了，浴室的毛巾还叫毛巾啊？建议大家还是不要节省这几十块去住其他的吧！', 'star': 1}
{'descr': '酒店一般  卫生也一般  老板倒是不错 没有停车场  不好停车', 'star': 1}
{'descr': '交通还算方便，酒店设施有点旧，服务态度还行，价格嘛好像有点高，总体还可以。', 'star': 5}
{'descr': ' 很满意，比想象的好。', 'star': 3}
{'descr': '很好 出行游玩很方便 尤其是离步行街非常近', 'star': 5}
{'descr': '位置在市中心，价位合理，房间干净整洁，不错。', 'star': 5}
{'descr': 'GPS导航，没找到。服务员热情。房间有点味道，建议没客人多开着透透气。其他挺好。', 'star': 5}
{'descr': '里面的卫生不是特别好，隔音也不是很好，而且居然人还在里面的时候，有阿姨拿着钥匙来开门，特无语。。。', 'star': 1}
{'descr': '淋雨坏了，靠街的房间吵，毛巾估计好久不换了吧', 'star': 1}
{'descr': '房间有点小，设备也挺旧的，但是价格也不贵，值了', 'star': 3}
{'descr': '地方不是太大，但是装修的很精致，卫生也蛮干净的，比较适合年轻人去住，热水，电视都很好。', 'star': 5}
{'descr': '环境不错，室内卫生也好，推荐入住。', 'star': 3}
{'descr': '这个价格住这个酒店，感觉实在亏得慌，酒店很陈旧，房间特别小，卫生间也很陈旧，感觉像是招待所', 'star': 1}
{'descr': '不错的，挺舒服的，服务态度也不错，周围小吃也挺多', 'star': 5}
{'descr': '该酒店，房间整洁，干净，虽然位置市中心繁华地段，但是晚上很安静，而且酒店价格也很便宜，我住的非常舒服，向大家推荐下，说的好不如亲自去看看，谢谢！', 'star': 5}
{'descr': '很适合学生住，环境不错，就是设施再改善改善就好了，物有所值', 'star': 5}
{'descr': '酒店在青年路和通灌北路交叉口 附近有华润苏果和乐天马特麦当劳 离步行街很近。吃饭什么的都很方便。前台服务态度还不错 清洁服务态度就不行了 一进去 房间有股怪味，地毯脏的不行 毛巾浴巾已经发黑了，床单被套也发黄 和同学住的标间 刚进去被套上有个黑脚印 席梦思上直接铺床单 显得床很硬 盖被棉胎已经烂掉了 总之设施稍显陈旧 然后换了席梦思上直接铺床单 显得床很硬 盖被棉胎已经烂掉了 总之设施稍显陈旧 这', 'star': 5}
{'descr': '隔音效果太差，卫生间地面太滑。热水供应的还不错。', 'star': 3}
{'descr': '位置方面，干净整洁，服务还算可以，价格还算可以', 'star': 5}
{'descr': '价格合适，环境也不错，紧临商业中心。', 'star': 3}
{'descr': '还好', 'star': 3}
{'descr': '设施一般，墙都被水泡烂了，房间有味，明天换地方。', 'star': 1}
{'descr': '很干净 服务很好 就是位置有点偏 出行不便', 'star': 5}
{'descr': '出了房间有点味道之外总体来说不错。应该注意房间通风。', 'star': 5}
{'descr': '新酒店,房间比一般的快捷酒店大很多,非常宽敞.\n酒店的服务设施俱全,有宽带.洗澡水很热.\n\n酒店旁边有一个赫哲人的鱼饭店,旁边还有两家家常菜的小馆,吃的是最里面的一家,菜量很大,服务很好.\n\n酒店的一位服务的大爷非常朴实,热情,很和譪.\n建议多些这样的人来服务,有种回家的感觉.\n\n128元的价格非常非常超值,以后还会来.\n', 'star': 5}
{'descr': '一家新的酒店，还有点装修的味道。从高速下来也很好找。离海边不远，开车大概5-10分钟。电梯不能载很多人，我们4层，爬楼还锻炼身体。', 'star': 5}
{'descr': '好好好好好啊好好好哦好哈好哦啊哈哈哦啊好好好哈哈好', 'star': 5}
{'descr': '新装修的店面，还比较干净，只是因为临海比较潮湿，得用空调除湿。', 'star': 5}
{'descr': '价格便宜，环境一般，电视是广电的不是电信网络电视，不能点播，不能看付费，设施齐全还不错。里面服务人员很热情。是定额发票，不是机打的。', 'star': 5}
{'descr': '酒店的各项设施都不错,服务也不错,就是地段有点偏,周围走好远才有公交车,建议价格再实惠一些.', 'star': 5}
{'descr': '环境还可以，服务态度也可以，就是交通不太方便，', 'star': 5}
{'descr': '这个酒店不是一般的差。卫生很差，一进房间，一股臭味霉味，还有蚊子，蚂蚁。洗手盆上积有油腻的脏东西，整个洗手台看着就很脏，浴室的玻璃上流有污痕，估计这里的服务人员很懒，不做什么卫生工作的。希望大家不要选折价酒店。', 'star': 1}
{'descr': '前台服务态度很好房间很舒适只是因为新装修的原因屋子里有点儿味道但是能接受。下次还会选择入住', 'star': 5}
{'descr': '酒店服务人员态度很好，离海边较近，价格也比较容易接受，就是酒店没有餐厅，吃饭很不方便。', 'star': 5}
{'descr': '环境和价格不成正比，我不知道别的房间怎样，但是501真的不怎样', 'star': 1}
{'descr': '干净舒适，服务不错，价格也非常的OK，海边价格最低的了吧，开车5分钟到海边', 'star': 5}
{'descr': '服务相当不错，干净、舒适。位置不错，开车到海边五分钟左右。', 'star': 5}
{'descr': '比较舒适，就是有点小，挺不错的', 'star': 3}
{'descr': '服务态度还不错\n没有电梯，需要爬楼\n收费的用品还不少，不过基本都没用\n床单被罩都起球了\n另外厕所有点滑', 'star': 5}
{'descr': '酒店装修不错！非常棒！服务态度我们都非常满意！位置离燕大开车只有几分钟，太棒了！', 'star': 5}
{'descr': '总体来说还还，不过就是隔音很不好····很不好···\n楼上楼下楼左楼右都隔音不好呢····', 'star': 1}
{'descr': '比想象的差了很多，服务不咋样，房间里蚊子一大片，呵呵，下次我是不敢再来了。', 'star': 1}
{'descr': '昨天入住扬州尚客优,环境很好服务态度好,就是空调声音大,值得一住', 'star': 3}
{'descr': '这家酒店就价格方面来说，还是可以的，处于闹市区，但是房间相对来说还是比较安静。但是，床上用品不太行，不是全棉质地，起球！\n然后卫生间地面太滑，也特别小心走路，跟走高跷似的！\n房间味道较大，不知道为什么，看着也不像刚装修的哈！', 'star': 5}
{'descr': '还可以，地理位置比较不错，靠近步行街，购物什么的都蛮方便的。', 'star': 5}
{'descr': '每间房间都有不一样的墙上艺术,适合青年人住', 'star': 3}
{'descr': '条件还行，隔音差', 'star': 3}
{'descr': '还不错，性价比还行', 'star': 3}
{'descr': '不错，房间还好，就是没有电梯，上楼有点累', 'star': 3}
{'descr': '还是不错的!', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '就店有点吵。晚上睡不好。性价比不高。', 'star': 3}
{'descr': '房间有点小。热水系统不好..........', 'star': 5}
