{'短评内容': '比想象的逊', '短评打分': 4}
{'短评内容': '早餐有特色送到房间', '短评打分': 4}
{'短评内容': '蚊子，虫，发霉，潮气，酒吧噪音，一次差的不能再差的住宿体验，480元不低的价格，却是最差的服务与设施，带着儿子和怀孕的妻子，我惭愧至极，本想在老婆分娩之前来一次愉快的旅行，不曾想有如此遭遇！各位亲，如果你想在锦里古街住宿，不要重蹈我的覆辙，锦里古街边上有很多酒店，基本都是100米左右。', '短评打分': 2}
{'短评内容': '就在锦里面，去游玩确实很方便。但房间里就', '短评打分': 3}
{'短评内容': '酒店位置就在锦里步行街上，逛街超级方便，稍有些吵，但整体还好，古色古香，早餐是用竹篮送到房间的，感觉很棒！我家宝贝也很喜欢！另外，建议买纪念品的话还是出街左转那边比较实惠', '短评打分': 5}
{'短评内容': '特别好 在锦里古街里 古色古香 离武侯祠 地铁 都很近 周围各种商家', '短评打分': 5}
{'短评内容': '以前总是在订，突然想起来京东也可以几天尝试一下，住的很不错，还返还京豆，很不错，希望多多推广', '短评打分': 5}
{'短评内容': '非常非常不错。', '短评打分': 5}
{'短评内容': '酒店很安静', '短评打分': 4}
{'短评内容': '周边环境不错，几年前住过，可惜装修有点旧了', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '真的很不错 起码我自己是这样认为的 很有 情调 适合放松 休息  傻傻的呆上些时日 不错 不错 不错的', '短评打分': 5}
{'短评内容': '很有情调的一家酒店 桂花很香 很留恋', '短评打分': 5}
{'短评内容': '周边的环境不错，随时随地有吃的，很方便。', '短评打分': 5}
{'短评内容': '在风景区里面，很方便，但是硬件条件差了点，希望改进。', '短评打分': 4}
{'短评内容': '环境不错，所处的位置在锦里里面，不好停车，但很安全', '短评打分': 4}
{'短评内容': '就在锦里，很方便', '短评打分': 5}
{'短评内容': '除了有点吵，其他都还好，有在大堂看见一只大老鼠跑过，有点怕怕的', '短评打分': 5}
{'短评内容': '我们在五号和八号都成功入住锦里客栈.', '短评打分': 3}
{'短评内容': '酒店环境不错，但是采光不行。小院里子别有一番风味。', '短评打分': 5}
{'短评内容': '锦里客栈在锦里景区内,地理位置超好,门外繁华喧闹,门内幽静雅致,树木茂密,古意盎然,我非常喜欢。他的早饭是用中式餐盒送进房间的,很有意思,服务员很贴心,知道我们带孩子,尽量安排了院内的房间,我们去峨眉那天走得很早,客栈还安排了第一个给我们送早点,真是谢谢了。', '短评打分': 3}
{'短评内容': 'Location好，但隔音差，床外空调声大作，不可开窗，蚊蝇飞舞。绝对不会再去住了。', '短评打分': 1}
{'短评内容': '绝对推荐，要是活动在锦里附近的话一定要去试试。吃喝玩集成度非常高，服务也很贴心很有水准。', '短评打分': 5}
{'短评内容': '酒店位置真的不错，就在锦里街上，闹中取静的！出门就能融入熙熙攘攘的人群，但是门内却又是非常安静！不错！只是房间有点小，但两个人住也够了，逛逛锦里和武侯祠真的狠方便！', '短评打分': 5}
{'短评内容': '极力推荐。有情调。', '短评打分': 3}
{'短评内容': '整体感觉不错，晚上的锦里值得一去，逛累了回客栈休息超方便，早餐简单营养，只是细节处不够干净，其他倒还好。', '短评打分': 3}
{'短评内容': '订的单间，是临街的，晚上也很吵，不知道非临街的房间安静否；不过房间本身还是挺不错的，出去吃东西逛锦里泡吧都方便。白天在前台办手续时，那小男生一直黑着一张脸，像人人都欠他钱一样，态度很有问题；晚上回来后前台值班的换成一位女士，态度很好，很专业。', '短评打分': 5}
{'短评内容': '太吵，卫生有待改进，最好别用地毯，地毯不清洗干净的话还不如不铺。', '短评打分': 1}
{'短评内容': '很喜欢这个酒店，原本以为很吵闹，但是进去后发现有一个小院子，闹中取静，早餐也不错，很营养还送到房间来，最喜欢房间门口的那排坐凳，住了两天，每天在隔壁新巴克买杯咖啡，坐在那排靠椅上慢慢的喝····很惬意。房间内设还行，这个位置我觉得还可以了，出门就是锦里大街，隔壁武侯祠，总之出来旅游住这很方便', '短评打分': 5}
{'短评内容': '太闹，停车麻烦', '短评打分': 3}
{'短评内容': '安静，就是早饭有点太简单，稍微再丰富一点点，', '短评打分': 5}
{'短评内容': '地理位置不错，本以为会很吵，但套房很安静。就是早餐太简单，单一就单一吧，还没有地方特色。', '短评打分': 5}
{'短评内容': '中式庭院，闹中取静，尤其锦里晚上游客散去，很安静。\n屋内设施很8错，周边吃饭逛街也方便，可以去感受一下，很有特色\n', '短评打分': 5}
{'短评内容': '很方便。但是室外的空调外机有点吵，早餐也一般', '短评打分': 5}
{'短评内容': '住的单间，单间是靠街的，非常非常吵，要晚上11点左右吧，建议大家住标间是街对面，应该会安静很多。条件吗，就是连锁酒店差不多了，位置是非常非常好。所以总体还可以', '短评打分': 5}
{'短评内容': '酒店地处成都武侯景区锦里古街上，古色古香的装饰和布置很有返古的情调，对面的客房还有庭院，散落地布置着假山，石凳，树木就像江南的园林。景区客房房间小可以理解，但设施很旧了，墙上的插座只有一个，用了电热壶就不能插其他的了，一个二眼的插了电视机，就不能未其他电器充电了，最不可理解的是网络断了，据说断了有一周了，这叫客户如何办。二天不能解决只有换酒店了。', '短评打分': 5}
{'短评内容': '有个很好的小庭院，位于锦里古街入口处，有些丽江古城或夫子庙的感觉', '短评打分': 3}
{'短评内容': '非常方便，客棧有復古，彷彿回到過去的休閒生活，令人享受，樂在其中。', '短评打分': 5}
{'短评内容': '还不错，院子大门居然也有很多人在拍照；在锦里和武侯祠游玩非常方便', '短评打分': 5}
{'短评内容': '就是单间会相对小一些，环境还不错，离小吃街很近', '短评打分': 5}
{'短评内容': '非常幽静的院子 设施齐全干净 地处锦里景区内 可以悠闲地在二楼看夜市', '短评打分': 3}
{'短评内容': '总体不错，古色古香，环境优雅，位置绝佳，但唯一不足洗澡一半没了热水，哭死', '短评打分': 5}
{'短评内容': '很有特色的一家庭院式客栈，虽然地处繁杂的锦里步行街上，但房间里却很宁静，真是闹中取静的好地儿，早上的送餐服务特别人性化，是很喜欢的一个细节。', '短评打分': 5}
{'短评内容': '像其他人评价的一样，条件一般，半夜歌声，但地段、环境还是相当不错的，极为方便和可心。', '短评打分': 5}
{'短评内容': '闹中取静，就在锦里步行街上，游玩方便。房间不大，中式风格，价格有点小贵。', '短评打分': 5}
{'短评内容': '环境还是很不错', '短评打分': 3}
{'短评内容': '非常好，地里位置很方便', '短评打分': 3}
{'短评内容': '干净，有古朴的味道，很舒服，而且服务不错！', '短评打分': 3}
{'短评内容': '外面是锦里的喧哗，一关门里面是中式大院的安静，坐在院子里的树下喝茶乘凉小憩，回想起小时候的情景。。。是个有情调的地方。房间也是中式家具，大床软硬适中很舒服，卫生间虽迷你，但硬件齐全，热水很给力。这样的地方适合小住一段时间，要是房价再便宜一点的话。。。', '短评打分': 5}
{'短评内容': '已是第2次入住，位處錦里，有特色！\n但這次的房間有點異味，希望注意改善！', '短评打分': 5}
{'短评内容': '非常好的位置，闹中取静，很有特色，朋友非常喜欢', '短评打分': 5}
{'短评内容': '位子相当给力，但是！！！吵死了~~！！想第二天早上出游的旅客 千万不要选择了。10点之前一直是很吵，街上人来人往。过了10点，酒吧开始吵，一直到12点多，终于安静了，刚从酒吧出来的男男女女们开始聊天，听的一清二楚。一直听他们聊天到2点多，本来想还可以睡几个小时，到凌晨4点多，有一个男孩在门外唱单身情歌，我的天啊，早上6点旅游团来接，这一天就这么过去了。救命了。一点没睡觉。', '短评打分': 5}
{'短评内容': '地理位置确实很棒！以前看到有人评价说很吵，客栈是老式的房子，隔音效果肯定不那么理想，以锦里的人流量，熙熙攘攘是必然的。但是，锦里的商铺晚10点就都打烊了，游客们少了，瞬间就安静下来了，剩下的就是去酒吧小坐的人们，还有晚上回来的吵闹。来这里，更多的是一种体验。值得推荐。', '短评打分': 5}
{'短评内容': '处于锦里旅游点内,方便游览景点,集吃喝玩乐于一体,是融入锦里古街的首选.', '短评打分': 3}
{'短评内容': '这一次去成都，历经锦江宾馆、新华国际、锦里客栈、鼓楼假日，可谓各种层次都有，来评论一下吧。锦里客栈地段很好，就在锦里街上。我订到一楼的双人间，房间小，有点旧到没什么，毕竟是旅游景点。但问题是十分潮湿，虽然有中央空调，但空调吹出来的都是潮味儿，关了空调还好一些，这个问题要是客栈能解决一下就好了。另外，因为楼层和环境的关系，要小心蚊子，咬了大包包还是很难受的。推荐住个一晚体验一下锦里就好。', '短评打分': 5}
