{'短评内容': '很好，价格又便宜，宾馆很大。', '短评打分': 5}
{'短评内容': '挺好的，枕头有点儿低，弄俩就舒服了', '短评打分': 5}
{'短评内容': '很好，很好很好。。。。。？？？，。？。，。。，，。。。。。。。。。。，，，，，，，，，，，，，，，。。。', '短评打分': 5}
{'短评内容': '还行，挺干净的', '短评打分': 5}
{'短评内容': '挺好很干净', '短评打分': 5}
{'短评内容': '好好女子好好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '隔音一般，别的不错', '短评打分': 5}
{'短评内容': '服务很好，房间很干净，位置也很方便', '短评打分': 5}
{'短评内容': '临近会展中心，还比较方便。房间一般', '短评打分': 4}
{'短评内容': '酒店比较干净，价格实惠', '短评打分': 5}
{'短评内容': '还行吧……都差不多', '短评打分': 4}
{'短评内容': '还行吧。服务态度好，服务各方面没问题，就是发名片的服务太过分，半夜鸡。不好找。费了挺大劲，总算找到了。', '短评打分': 3}
{'短评内容': '环境好，设施好，服务好，适合居住', '短评打分': 5}
{'短评内容': '价格实惠，房间挺干净的，前台服务员态度很好。', '短评打分': 5}
{'短评内容': '差点儿没有人生的确是不是很好的确是不是很', '短评打分': 2}
{'短评内容': '酒店不错，就是离考试地点稍微偏远了一点。', '短评打分': 4}
{'短评内容': '超便宜，103还含单早还送两瓶水', '短评打分': 3}
