{'短评内容': '有停车场，停车很方便。', '短评打分': 5}
{'短评内容': '好，很好，非常好', '短评打分': 5}
{'短评内容': '十年不变的早餐', '短评打分': 4}
{'短评内容': '环境好，卫生服务好', '短评打分': 5}
{'短评内容': '前台完全搞不清楚状况，入住办了半个多小时，一会儿要押金，一会儿要扣身份证。时时刻刻一张晚娘脸，房卡都是扔出来的，白眼都快翻出花儿来了。房间床垫吱吱嘎嘎的弹簧响，有虫，被咬了七八个包。毛巾都扯须了，床单竟然是补过的。', '短评打分': 3}
{'短评内容': '还不错，性价比蛮高的', '短评打分': 5}
{'短评内容': '还不错，酒店环境不错，安静卫生！', '短评打分': 5}
{'短评内容': '购物便利，交通方便，房间整洁宽敞，服务态度很好！好评！', '短评打分': 5}
{'短评内容': '还不错！下次还来！', '短评打分': 5}
{'短评内容': '較老舊 房間霉味很大 ', '短评打分': 4}
{'短评内容': '酒店性价比很高，服务热情，虽然设施陈旧，但很干净，餐饮很火爆，点菜实惠美味。就是早餐品种少。', '短评打分': 4}
{'短评内容': '很糟糕的入住体验，很冷的天，床很硬，又硬又凉。申请加条被子，还要收费用。跟直接睡在木板上一样。下次不会住了', '短评打分': 3}
{'短评内容': '交通方便，房间内卫生', '短评打分': 5}
{'短评内容': '很不错，空间大，就是隔音不太好，价格公道', '短评打分': 3}
{'短评内容': '房间很干净，服务也很好', '短评打分': 3}
