{'短评内容': '一般般，反正下次我是不会去住的。', '短评打分': 1}
{'短评内容': '大巴站附近！交通方便', '短评打分': 4}
{'短评内容': '很不错  对得起这个价格', '短评打分': 4}
{'短评内容': '差劲，以后再也不去了', '短评打分': 5}
{'短评内容': '感觉装修太差了，房间又没有wift', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以毕竟这个价格呵呵(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)(^_^)', '短评打分': 4}
{'短评内容': '一般般吧', '短评打分': 3}
{'短评内容': '还行，主要是价格不高还有发票开，出差的发票很重要', '短评打分': 2}
{'短评内容': '还可以吧！这个价位来说！交通方便，就在汽车站附近', '短评打分': 4}
{'短评内容': '经济实惠，房间小巧', '短评打分': 5}
{'短评内容': '价格便宜，卫生算可以，就是没有窗户', '短评打分': 4}
{'短评内容': '特价房不咋的，卫生也不行，', '短评打分': 3}
{'短评内容': '不错，就是房小了点。务服好。买东西也方便', '短评打分': 3}
{'短评内容': '很勉强，地板好脏，不过好便宜', '短评打分': 4}
{'短评内容': '挺好的窗户很大的光线很好。', '短评打分': 3}
