{'descr': '还行吧', 'star': 4}
{'descr': '位置还不错，到哪个景点都比较方便。但卫生条件比较差，花洒出水很小，隔间效果很差，也就是农家院水平。', 'star': 3}
{'descr': '房间超小，还有味道，电视超级老无法看只是摆设', 'star': 4}
{'descr': '老板热情！', 'star': 5}
{'descr': '像小时候在老家住的房子，屋顶高高的，有些潮，在古城里面挺繁华', 'star': 5}
{'descr': '酒店老板太给力了，因为我们到达的时间晚了，没有房间了，给我们换成更好的房间，临走时东西忘记了，和老板联系后，给我发快递寄回来，大大的赞，下次必须还住这家', 'star': 5}
{'descr': '不错挺好的，老板人不错我是从网上订的，到了后让去接的，回去后老板先给了份导游图然后又给推荐了几个点，这是一个自己的农家小院挺不错的。服务，态度都特别好。', 'star': 5}
{'descr': 'Cost effective accomodation with standard cleaness and facility.  Good location near the train station on foot however located inside ancient city wall so accessable to enjoy the ancient city atmosphe', 'star': 3}
{'descr': '客栈没有照片上漂亮，但是老板非常热心,送了一个地图,还把必去的地方给我标注上,客栈附近小吃挺多， 客栈离步行街很近,卫生还行， 棉被非常暖和，性价比高。 ', 'star': 4}
{'descr': '条件一般，老板人很热情。', 'star': 3}
{'descr': 'cheap, small but chinesse traditional style hostel', 'star': 3}
{'descr': '接送服务好~干净~地点方便~各种服务态度也很好~推荐哟~o>_<o~', 'star': 3}
{'descr': '离中心景点比较近 对面的早餐点味道不错 但要记得早点去喔 ', 'star': 5}
{'descr': '老民居 味道浓 住的还不错 有些房间wifi没有信号 和同类的比较 价格较高', 'star': 5}
{'descr': '老板跟人热情，下火车亲自去接的，房间跟网上说的一样，价格合理，拍了些照片就是不知道怎么往上传。', 'star': 3}
{'descr': '老板很热情', 'star': 3}
{'descr': '地点不错，服务也不错，就是78的特价没有空调，不过平遥晚上还不是很热，吹吹风扇还好。', 'star': 5}
{'descr': '  老板很热情的介绍平遥好吃好玩的地方，住宿环境也还行，可以接送，不过离火车站不远，我们自己走过去的，院子很古朴有花草', 'star': 5}
{'descr': '还成吧 大炕。。。就是被子比较湿，太阳能热水器要放很久的水才热', 'star': 1}
{'descr': '客栈比较小，没有各位所说的去车站接，位置不是很好找，没热水。', 'star': 3}
{'descr': '天禄客栈的位置很好，小院很安静，价钱还比较合算，就是单人间地方实在是太小了，不过出来玩最重要的是开心，阿姨人很好', 'star': 3}
{'descr': '老板真的超级善良超级热心超级好人，还免费帮我们升级了房间，还帮我们推荐线路，阿姨对我们照顾也特别周到，超级超级推荐这家旅馆，希望各位驴友下次来平遥也能入住到天禄客栈。', 'star': 5}
{'descr': '叔叔阿姨特别热情，有免费接站，确实不错，推荐', 'star': 5}
{'descr': '老板人挺好的，院子也不错，就是感觉有一点点小贵，，其他还不错', 'star': 5}
{'descr': '在那里住了两天 房间不大 卫生间味道太大难以入睡 第三天果断换房', 'star': 1}
{'descr': '物美价廉的农家乐；关键在于老板人很好，旅游帮着推荐线路和拼车，省了很多力气；缺点卫生间没有排风', 'star': 5}
{'descr': '老板很热情，还去火车站街，院子四合院式，很漂亮，古城内逛街方便，就是房间有点小，不过可以理解！', 'star': 3}
{'descr': '嗯，推荐这家客栈，大叔大妈人都特别好，特别的热情。价格也不高，在这个价位算是很不错的了，还有独卫啊。院子也很地道，有三百年的历史了。然后还有一个免费接站的服务，很方便。而且地理位置也很好，就在古城里面，去逛的时候特别方便。', 'star': 5}
{'descr': ' 很好的店，老板很热情，给了我们很多旅行的建议', 'star': 3}
{'descr': ' 挺不错的客栈，价格公道，环境也可以，是真正的古宅子。老板人特别好又热心！推荐，推荐～', 'star': 3}
{'descr': '怎么说呢，太简单了，就像住在窑洞的感觉，里面洗澡，外面发大水。主人家倒是挺客气，免费送电动三轮车接送到火车站。', 'star': 1}
{'descr': '老板很热情，在火车站接送我们，还给升级了房间', 'star': 5}
{'descr': '客栈挺不错的 古香古色 老板人也很好 火车站接的我们 出门就是西大街 有很多吃的玩的小店铺 都很不错', 'star': 5}
{'descr': '是一家非常适合居住的客栈~老板大叔和阿姨都特别热情~出行很方便，而且非常安静，是在主街旁边的胡同~下了火车大叔就来接我了~特别的温馨~看到网上有朋友说客栈老板不去送客人去火车站~我想帮老板澄清一下~一开始我也想让大叔去送我~但是大叔说他们可以去接客人但不能送主要不是不想送，人家做生意讲究的吉利~送客就等于送走了财神~咱们住店的客人都是人家生财的财神~所以我觉得这个可以理解~从客栈走到火车站是15分', 'star': 5}
{'descr': '觉得还行吧，毕竟便宜，住的单人间，房子有点小，不过挺干净的，有洗漱用品提供，老板很热情，不知道是不是夏天的缘故，洗澡水好像是凉的，有电热水壶，不过那个水好难喝啊', 'star': 5}
{'descr': '老板很客气,房子很有特色.', 'star': 3}
{'descr': '店主很热心，房间很干净。位置还行离景点不远出行方便。', 'star': 5}
{'descr': '小院很雅致，房间不大，但很干净，用品齐全，店主很热心，下次还愿意光顾。', 'star': 5}
{'descr': '客栈环境还不错，挺干净！', 'star': 3}
{'descr': '可以上网很方便 洗澡的热水一般 不提供洗漱任何物品 需自带或买 性价比不高吧', 'star': 3}
{'descr': '客栈条件一般，马桶不是很通，不过如之前评论说的，老板挺好，比较热情，有种家的感觉，其实我们出来穷游的，并不是图条件有多优越，不是图享受，如果服务做得好，远比硬件要重要得多，希望老板继续保持，当然，硬件还有待继续提高哈~', 'star': 5}
{'descr': '住宿环境一般，洗漱用品不给力。老板服务态度好，管接不管送。', 'star': 5}
{'descr': '标间b略小，卫生间洗脸的地方太小。老板热情，有农家的感觉', 'star': 3}
{'descr': '老板很热情，人不错，去汽车站接的，服务也好，价钱也合理', 'star': 5}
{'descr': '天禄客栈不错，老板很热情，住的也不错，相对同类型客栈价格合理，挺适合学生的！', 'star': 3}
{'descr': '这个价位的酒店在平遥古城里算是很实惠的了，环境一般，但老板和老板娘人都很好，住得挺舒服的。', 'star': 3}
{'descr': '他们说的都是真的 硬件成问题 暖气也不够好 就是老板很热情 虽然也是只接不送收钱完事 而且老板很会说话 都不好意思搞价了', 'star': 5}
{'descr': '环境一般，设备一般，老板热情。', 'star': 3}
{'descr': ' 非常棒!!!老板人也很好,这次旅行本来就是自己出来散心的,老板来接站这点非常意外,呆了两天心情大好了。有机会还会来', 'star': 3}
{'descr': '挺好的，虽然房子面积不大，但是比较温馨，老板娘也比较热心。。。', 'star': 5}
{'descr': '位置在边上点，但安静而实在，老板一家也挺热心的', 'star': 5}
{'descr': '客栈老板老板娘服务超好,态度也好,非常热心肠,下次来还会住这', 'star': 3}
{'descr': '挺家常的小院人家 避开了主道的吵闹', 'star': 3}
{'descr': '老板人不错，热情，客房干净很有地域特色，值得一住！', 'star': 5}
{'descr': '  老板人很好，我们晚8点多到了还到火车站来接我们。', 'star': 5}
{'descr': '位置比较偏，性价比不高。服务挺一般的，下次不会考虑入住。', 'star': 1}
{'descr': '老板挺誠懇. 整體上, 房間的質素一般, 设施有些简陋; 這可是一分钱一分货吧!', 'star': 1}
{'descr': '老板服务很好。我住的窑洞房，隔音效果不是很好。希望改善一下。', 'star': 3}
{'descr': '老板很热情，给我换了2楼的房间没有加价，院子有300年历史保持完整', 'star': 3}
{'descr': '一分钱一分货吧，设施有些简陋，不过还是推荐下', 'star': 5}
{'descr': '老板挺热情，还算不错，但是对比环境来说觉得稍微偏贵', 'star': 1}
{'descr': '條件差', 'star': 3}
{'descr': '我们订的是标间，当进入房间的一瞬间傻眼了。房间很小，就是一张单人床靠墙的地方加了一块板，好狭窄哦。因为是信用卡预定，不能更改，无奈俩人挤了两个晚上。\n不过老板确实很热情，这点要赞一个。', 'star': 1}
