{'短评内容': '还不错 就是有点阴', '短评打分': 4}
{'短评内容': '总体来说酒店位置还不错，但是由于是老店改造，还是有点味道。空调不错，热得很快。吃很方便，推荐旁边的朴墅餐厅，好吃实惠，还环境不错！早餐那有个粥铺也好吃，很大一罐哦！开始不知道，点多了。', '短评打分': 4}
{'短评内容': '早餐挺不错的，推荐小笼包！很好吃！！适合带孩子，我订的房间还有吊篮，孩子很喜欢！离最忆是杭州演出非常近，我就是看地图近订的酒店，结果酒店的条件出乎意料的好！特价房非常非常推荐！！！', '短评打分': 5}
{'短评内容': '酒店位置还不错，就在青芝坞边上，房间挺干净的，而且晚上很安静，就是空间有点小。不过住得很开心，下次有机会还会去！', '短评打分': 5}
{'短评内容': '酒店位置还不错，就在青芝坞边上，房间挺干净的，而且晚上很安静，就是空间有点小。不过住得很开心，下次有机会还会去！', '短评打分': 5}
{'短评内容': '满意 很好的住宿环境 老板人很好', '短评打分': 5}
{'短评内容': '酒店位置很好，植物园边上，步行到岳庙西湖20分钟。', '短评打分': 5}
{'短评内容': '总体感觉不错', '短评打分': 5}
{'短评内容': '环境不错，服务态度也很好。距离景点很方便', '短评打分': 5}
{'短评内容': '距离西湖很近，周边环境不错。服务态度也很好', '短评打分': 5}
{'短评内容': '老板娘挺客气的，有事相求会尽量满足。来杭州的时间选错了，不该国庆节来，也不该在那个什么20后过来，西湖好风景的地方都围起来收费了。非常失望。', '短评打分': 4}
{'短评内容': '交通方便，空气很好，靠近青芝坞，去西湖步行也就十分钟', '短评打分': 4}
{'短评内容': '马拉松住这里一晚上，的确方便.服务周到，下次一定再来', '短评打分': 5}
{'短评内容': '旅店清洁，安静，周边环境优美，就餐方便。毗邻植物园，离西湖很近，游览十分方便。', '短评打分': 4}
{'短评内容': '第二次来了，很适合小女孩小情侣。旁边是植物园很漂亮。离西湖也不算远。', '短评打分': 4}
{'短评内容': '除了房间小了点  其余的还不错 毕竟也就这个价钱 至少物有所值吧', '短评打分': 5}
