{'descr': '好好好好好好好好好好好', 'star': 5}
{'descr': '经济适惠，有窗阳光充足', 'star': 5}
{'descr': '服务台36号服务员态度很好有问必答，', 'star': 5}
{'descr': '房间干净，宽敞！离阅江楼很近！', 'star': 5}
{'descr': '酒店位置很好，购物超市，品赏美食都很便利，赞。', 'star': 4}
{'descr': '我去 楼下还是楼上不晓得怎么回事应该是个ktv夜里面全是ktv嗨的声音 一清二楚没办法睡觉都', 'star': 4}
{'descr': '酒店服务很好！很舒服！很干净！很满意！交通也很方便', 'star': 5}
{'descr': '下单的大床房莫名变成标间，打给客服连个解释都没有。', 'star': 2}
{'descr': '住了两天，还不错，晚上也比较安静，下次来南京还选这家！', 'star': 5}
{'descr': '非常超值，五星级酒店，客户非常满意！下次还订！！！！！！！！！！！！！！！', 'star': 5}
{'descr': '想要的房间没有了， 于是自己看了好几间挑了一个也不错的图案。 好评。', 'star': 5}
{'descr': '好差', 'star': 5}
{'descr': '?', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '代朋友订反馈很好！', 'star': 5}
{'descr': '隔音效果不好，卫生环境一般', 'star': 4}
{'descr': '帮朋友预定的，应该还行吧！哦多卡机嘛赶时间呵被评为省部级科研项目有田径锦标赛冠军奖杯奖牌总数的百分之一百', 'star': 4}
{'descr': '很不错 适合', 'star': 5}
{'descr': '很不错，房间挺大的。', 'star': 5}
{'descr': '很一般，旁边有歌房，很吵', 'star': 3}
{'descr': '环境还可以、但房间有点小。主要是离办事地方近。', 'star': 3}
{'descr': '是越来越差了，浴室顶掉墙皮，角落墙纸掉落，发霉。不会再订了。', 'star': 1}
{'descr': '酒店就在广场内，只是这个广场也不是很热闹，第一次入住房间，里面有为客人准备的耳塞，后来终于知道，楼下就是唱歌地方，太吵了，房间也非常一般！', 'star': 3}
{'descr': '酒店就在广场内，只是这个广场也不是很热闹，第一次入住房间，里面有为客人准备的耳塞，后来终于知道，楼下就是唱歌地方，太吵了，房间也非常一般！', 'star': 3}
{'descr': '酒店不错，下次会再住。比较方便，也很好找。', 'star': 5}
{'descr': '环境不错，设施也挺好的，下次有机会还会再入住！', 'star': 3}
{'descr': '房屋条件总体不错，只是走道光线比较暗，而且最重要的是前台工作人员服务态度很差。', 'star': 1}
{'descr': '下水道味道有点问题，其他都很好。这点希望酒店解决掉。', 'star': 5}
