{'短评内容': '还是非常不错的，位置靠近吃海鲜的地方。离海边也不远', '短评打分': 5}
{'短评内容': '感觉环境超级差，再也不想住了', '短评打分': 2}
{'短评内容': '没有无线很尴尬', '短评打分': 5}
{'短评内容': '宾馆位置好，出行较方便，位于的小区年代比较久，宾馆硬件条件有待加强，一楼房间潮，老板服务态度还不错。', '短评打分': 4}
{'短评内容': '房间有点小，但价格还可以，不满意的是蚊子太多?', '短评打分': 5}
{'短评内容': '非常差，不值这个价位，环境差，床单被罩发黑', '短评打分': 2}
{'短评内容': '位置不错距离奥帆中心特别近门口就是美食节赞', '短评打分': 5}
{'短评内容': '蚊子多，有带卫生间的房间也有小的，店主服务态度很好，靠近云霄路，海鲜有点贵！热水很好！相对价格还算满意，房间略小！', '短评打分': 5}
{'短评内容': '这个价位这个设施无话可说，房间WiFi和空调给力！房间没异味，这就足够了。但是房间没有牙刷牙膏及沐浴露之类的，不知道是不是要自己问老板拿，老板有交代有事找他但是这些自己有带所以也没问。店里晒衣服方便，有洗衣机和晒衣服的地方，极好（院子可以收拾整齐一点，其实位置真心不错）。老板人很好很热心，如果再来青岛还会愿意住这里，有家的感觉！老板生意兴隆！', '短评打分': 5}
{'短评内容': '不错距离海边特别近附近有美食街', '短评打分': 5}
{'短评内容': '房间卫生有待提高，不过这个价格差不多这样很好了', '短评打分': 3}
{'短评内容': '屋子有些小，环境卫生都还可以，店主很热情，这个价钱很不错了。', '短评打分': 4}
{'短评内容': '老板很热情  定的房型最后改成套间  旧旧的..  如果能把厨房收拾收拾打扰打扰就好了..  灶台啥的惨不忍睹..  卧室什么的都还不错', '短评打分': 5}
{'短评内容': '挺好挺好挺好挺好挺好', '短评打分': 3}
{'短评内容': '挺好比较干净，家庭式选择', '短评打分': 3}
{'短评内容': '民房，以前的两居室改成了三个标间，基本满意，离五四广场近。周边有个小吃街，吃的东西团购很划算。', '短评打分': 4}
{'短评内容': '超差的，如果要来青岛请不要选择，已经不能用言语形容了', '短评打分': 3}
{'短评内容': '挺方便的，服务也很好。但在预定某一酒店后，后面会附加一些行车路线就更好（如：从火车站或汽车站怎样到所定酒店）。', '短评打分': 3}
{'短评内容': '这里距离青岛的小吃一条街云霄路美食街只有10几米，距离五四广场只有2公里，是理想的出行下榻场所。只是实施设备差点。', '短评打分': 5}
{'短评内容': '这个价格也算不错了。而且在市中心 佳世客附近。', '短评打分': 5}
{'短评内容': '不错，大床房空间很大，很整洁很清爽，没有灰尘，环境也好，没有噪音！', '短评打分': 5}
{'短评内容': '服务和卫生条件都很好，下次仍考虑住此酒店。', '短评打分': 5}
{'短评内容': '这个酒店经济实惠，住着条件很好，老板服务很到位，就是位置稍微有点偏，第一次去的朋友很难找，但按房价来看还是很划算的！', '短评打分': 5}
{'短评内容': '住的条件一般，与价格相差较远，老板挺客气。建议将硬件提高，与房价相符。', '短评打分': 1}
{'短评内容': '有点简陋，价格也不低。应该说不是传统意义上的酒店，“旅馆”的称呼还是很恰当的。老板服务态度非常好。', '短评打分': 5}
{'短评内容': '本来就是服务差、态度差、冤枉人！居然还打电话过来骂人！没办法对付这种人只能给一个差评了！强烈建议不要入住这样的旅馆（号称是宾馆充其量就是个旅馆！）如果你想受气请入住卧龙铺！', '短评打分': 1}
{'短评内容': '没有任何客房服务，没有洗漱用品，服务态度差，要了两次发票都没有给，别人给的差评居然打电话说是我们给的。有病！', '短评打分': 1}
{'短评内容': '位置很不好，且不说离火车站海水浴场等景点很远，就说从公交车浮山所站走到旅馆要走很久很久，而且是走那种城中村。酒店条件很差，民房改的，家具破破烂烂，柜子都只有架子了，连门都没有。居民楼改的，和住户混在一起，很不方便。住的时候说刷卡要交税，走的时候又说发票暂时没有！强烈呼吁不要去住！', '短评打分': 1}
{'短评内容': '房间还算干净，不过有点味道。\n由于是三室一厅的房子改装的二室一厅，对面的一间房子改成单间了，所以就不能南北透风了，显得有点闷！\n老房子三楼，蚊子很多，房间墙上有很多遗体。\n电视只有十几个台。\n位置很不错，就在云霄路边上。', '短评打分': 1}
{'短评内容': '酒店房间很干净、整洁，老板及服务员态度也很好，我和同学们很满意！', '短评打分': 5}
{'短评内容': '干净整洁，就是有点小，经济性不错…', '短评打分': 3}
{'短评内容': '位置好，价格便宜。', '短评打分': 3}
{'短评内容': '一般家庭式的小旅馆。老板夫妇俩的服务态度还挺好，就是有点旧。', '短评打分': 1}
