{'短评内容': '环境舒服。态度很好。', '短评打分': 5}
{'短评内容': '还行吧，地理位置，房间不大装饰的挺温馨的', '短评打分': 3}
{'短评内容': '好不錯，老闆都很熱情，環境也很好', '短评打分': 3}
{'短评内容': '还不错 ，很干净，虽然不大，但挺温馨的。', '短评打分': 3}
{'短评内容': '老板人很好的 地段也不错', '短评打分': 3}
{'短评内容': '酒店还好了，我们对酒店很满意。就是携程承诺的返现没有兑现！', '短评打分': 5}
{'短评内容': '旅馆地理位置还不错，闹中取静，巴士下来围着小吃街走个圈就到了，前台服务一般，房间进去之后总体感觉不错，但墙角很多发霉的痕迹，进入卫生间之后，水超小，卫生一般。性价比一般。', '短评打分': 3}
{'短评内容': '不喜欢 被子好脏 东西不全 订的是榻榻米变成普通床', '短评打分': 2}
{'短评内容': '还不错，在内厝澳，出行方便', '短评打分': 5}
{'短评内容': ' 住的圆床房 房间还可以 空调半夜会停掉的直接热醒 到六点才开 特马的', '短评打分': 3}
{'短评内容': '星之恋,真心不想走!干净卫生舒适,前台美女帅哥还有帅哥老板都很热情!有机会去还是会选择星之恋~', '短评打分': 3}
{'短评内容': '很不错的小店.特别是服务态度.位置也很好.', '短评打分': 5}
