{'短评内容': '当初是为了看演唱会订的，房间很好，值得这个价', '短评打分': 5}
{'短评内容': '好，干净卫生安静', '短评打分': 5}
{'短评内容': '很干净', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': 'e\u2006s\u2006s\u2006s\u2006s', '短评打分': 5}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '不是有返现吗？到底在哪里', '短评打分': 2}
{'短评内容': '各方面都很好！', '短评打分': 5}
{'短评内容': '各方面都很好！', '短评打分': 5}
{'短评内容': '还可以，值得推荐', '短评打分': 4}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '定的是豪华双人房，房间有点旧，但好在房间够大，还有沙发和台，这个不错。电脑有点卡，这个不关网络的问题，是电脑本身卡。还有就是到早上大概8点的时候房间的空调不知何故会有“滴滴”的响声，频率大概隔几十秒响一次，一直持续，最后不得不把空调关闭。早上八点左右那个时间睡得正香呢！除了这个空调的原因之外这个酒店还是值得推荐的！', '短评打分': 3}
{'短评内容': '卫视干净，服务到位，安静，交通便利。', '短评打分': 3}
{'短评内容': '酒店设备齐全，价格合理，周围有吃饭的地方。', '短评打分': 4}
{'短评内容': '很好非常舒服', '短评打分': 5}
{'短评内容': '个人感觉艾迪尔酒店的性价比非常高，无论房间还是卫生、服务等方面都是很赞，东园美食酒楼就在店后，吃饭也很方便，对这次入住很满意；', '短评打分': 5}
{'短评内容': '还不错挺干净的，房间大小也可以', '短评打分': 3}
{'短评内容': '整体不干净，煮水的时候，发现水壶里还有水，不过这里离办事的地方挺方便的。', '短评打分': 1}
{'短评内容': '８０分\u3000对得起这个价格\u3000不好的就是电视频道太少了，而且不清晰．可以改进．其它方面都可以．下次来佛山乐从还是住它．', '短评打分': 5}
{'短评内容': '还好，交通方便，安静，电视节目少信号差，没有包国内长途，至少也要有市内电话吧，最好有当地医院等公共设施的交通指引或联系电话。', '短评打分': 3}
{'短评内容': '房子挺好的，就是靠路边太吵了。一晚上都没有睡好。', '短评打分': 1}
{'短评内容': '电梯和公共区域卫生一般，房间卫生还过得去，电视节目太少。硬件还比较新，就是管理水平差。\r\n\r\n朝向路边的房间很嘈，老板应该装双层隔音玻璃或许能有所改善。', '短评打分': 3}
