{'descr': '位置好，环境好', 'star': 5}
{'descr': '商务出差，住宿最佳选择。', 'star': 5}
{'descr': '商务出差，最佳住宿选择。', 'star': 5}
{'descr': '还不错的啦', 'star': 5}
{'descr': '                         房间小，装修不好没有早餐 ，但设施都有，五脏俱全。', 'star': 3}
{'descr': '，，，，，，，，，，，，', 'star': 5}
{'descr': '，，，，，，，，，，', 'star': 5}
{'descr': '干净如实的酒店，服务态度很好', 'star': 5}
{'descr': '环境一般', 'star': 5}
{'descr': '房间设施还可以 也挺暖和', 'star': 5}
{'descr': '房子干净舒适，很不错，服务态度好，安静，地理位置非常方便，属于石家庄的黄金地带，紧邻省博物馆，还有中心线！', 'star': 4}
{'descr': '不错的酒店，服务也挺好，下次还会入住', 'star': 5}
{'descr': '房间可以。', 'star': 5}
{'descr': '挺好的干净舒适，就是刚一进去有股味道，开了会窗户就好了，旁边有ktv幸好换了一个六层的还好基本听不到，床也很舒适，就是有点小一米五，不过也可以了毕竟价位在这里。总体来说还是物有所值。前台还让放电动车，谢谢了不然真是不放心。', 'star': 4}
{'descr': '不错的一家酒店，干净卫生', 'star': 5}
{'descr': '环境差，隔音差，附近有KTV晚上根本没法睡', 'star': 2}
{'descr': '酒店旁边都是娱乐设施，太吵了每天都要半夜休息，睡不好！吹风机都没有，到最后一天才借到', 'star': 4}
{'descr': '房间够大，很舒服，暖气片有流水声音。', 'star': 5}
{'descr': '窗户不隔音', 'star': 5}
{'descr': '连个吹风机都没有', 'star': 2}
{'descr': '非常不错，离公司很近，办事很方便', 'star': 4}
{'descr': '条件不错', 'star': 3}
{'descr': '房间不大！但是窗户冲着博物馆！景色还好1', 'star': 5}
{'descr': '位置不错，住过两次，就是被子太厚了，夏天啦是不是该换薄点的啦！', 'star': 5}
{'descr': '地理位置很好，距离先天下和北国都不远，但是房间的设施有些不理想，不过附近办事的人，选择还是不错的。', 'star': 1}
{'descr': '酒店條件一般，跟其它大型的連鎖酒店還有一定差距，希望改進。稍微貴了一點，服務還不錯。', 'star': 3}
{'descr': '地方不错！吃的地方很多！下次还去！五星推荐！', 'star': 5}
{'descr': '房间很一般，创竟然上面有脚印，恐怖，卫生间很烂，设施可以说是旧之又旧！网速更是慢的不可想象，反正下次绝对不来住了', 'star': 3}
{'descr': '挺好的 就是有点吵 交通便利下次还去 呵呵呵呵呵呵呵呵', 'star': 5}
{'descr': '服务不错，房间挺干净的，就是有点吵。不过还行吧。以后可能还去。', 'star': 5}
{'descr': '住了很多次了，优点很多，缺点呢，希望能有所改进', 'star': 5}
{'descr': '多次入住这个酒店了，优点就不多说了，希望早餐能丰盛一些。', 'star': 5}
{'descr': '总的来说还错，干净方便', 'star': 3}
{'descr': '每次来都入住这个酒店，优点就不多说了，希望能改进早餐，品种能丰富一些', 'star': 5}
{'descr': '交通方便,离电子城购物地方非常近.环境也不错.', 'star': 5}
{'descr': '研究生考试的过来住的，方便，服务好！考完了顺便逛了逛！', 'star': 5}
{'descr': '环境挺好，就是里面设施差点，该有的东西没有。', 'star': 5}
{'descr': '酒店还是不错的。去过几家驿家了，这家服务还有客房都是不错的。还会再次入住。', 'star': 5}
{'descr': '快捷酒店，性价比还是不错的。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '环境很好  服务很到位  房间很干净  舒服  ', 'star': 5}
{'descr': '入住很多次了，交通方便，地理位置优越，价格也还可以', 'star': 5}
{'descr': '位置不好找，酒店条件不错，推荐再次入住。', 'star': 5}
{'descr': '虽说是经济型酒店，但前台的服务人员态度很好，professional and hospitality.', 'star': 5}
{'descr': '我去的那天赶上停电，总之黑黑的不太方便，服务员在餐厅点上蜡烛，服务很好。', 'star': 5}
{'descr': '服务态度超级赞，而且酒店很安逸舒服，下次还会去这！', 'star': 5}
{'descr': '这年头，老百姓出来住宿，考虑的就是性价比，这个还行！', 'star': 5}
{'descr': '朋友推荐的，来博物馆开展览会，感觉特别的温馨，服务热情，离展览会很近，以后还会来的！谢谢驿家啊！', 'star': 5}
{'descr': '已经很多次入住这个酒店了，优点很明显，位置好，交通便利，房间设施也比较好，就是价格相对于其他店来说稍微有点贵。 \n', 'star': 5}
{'descr': '住宿条件很好，服务很周到，以后还会来这住！', 'star': 5}
{'descr': '酒店不错  环境可以  菜品也好吃  下次还会光顾', 'star': 5}
{'descr': '酒店位置非常好，交通方便。房间安静，整洁。就是周围吃饭不太方便', 'star': 5}
{'descr': '已经很多次入住这个酒店了，优点很明显，位置好，交通便利，房间设施也比较好，就是价格相对于其他店来说稍微有点贵。', 'star': 5}
{'descr': '很不错的酒店  地理位置也相当好   早餐也不错  值得推荐....', 'star': 5}
{'descr': '  酒店实施尚可，24小时热水，宽带速度讲的过去，就是离火车站稍远一点。\n  另外给前台服务生提个建议：你们宾馆周边地理环境，交通站点概况，公交车的首末班车时间，这是你们服务生应该知道的，也是你们服务生的必修课。祝你们宾馆生意兴隆！', 'star': 5}
{'descr': '比之前住的要舒服，很多硬件都改了。蛮不错，很经济。', 'star': 5}
{'descr': '酒店很舒服，我们就再博物馆附近办公。出行很方便。清晨也可以去博物馆广场喂喂鸽子', 'star': 5}
{'descr': '很好，住了很多次了，优点也说了很多了，总之物美价廉，物超所值，建议入住。很好，住了很多次了，优点也说了很多了，总之物美价廉，物超所值，建议入住。很好，住了很多次了，优点也说了很多了，总之物美价廉，物超所值，建议入住', 'star': 5}
{'descr': '酒店还不错，位置很好，交通便利，设施良好，房间干净，就是房间稍微有点小，不提供免费早餐，酒店餐厅提供的饭菜不是很实惠，价格比较高，品种比较少', 'star': 5}
{'descr': '感觉还可以吧。比较经济实惠。内室有些陈旧。。。', 'star': 5}
{'descr': '很不错的酒店，经常住，位置很好，房间挺干净，服务挺好，唯一有点遗憾的就是房间有点小。', 'star': 5}
{'descr': '酒店挺不错的，价格便宜，位置很好，交通便利，房间挺干净的，下次还来住。', 'star': 5}
{'descr': '感觉不错。服务比较到位。卫生也可以。周边小吃比较多。很喜欢', 'star': 5}
{'descr': '很不错的酒店。地理位置以及环境都很喜欢。前台服务态度很不错。', 'star': 5}
{'descr': '很好很舒服，但是六楼相对其它层来说房间要小得多，房高要矮的多，服务很好~', 'star': 5}
{'descr': '很干净，服务也很热情', 'star': 3}
{'descr': '地理位置优越，紧邻博物馆，和北国商城。房间干净整洁，早餐营养丰盛，服务也特别好，值得推荐！', 'star': 5}
{'descr': '除了隔音不太好，都还行可以。\n\n另外，夏天的被子太厚了，该换换了。', 'star': 5}
{'descr': '这个房间不错', 'star': 3}
{'descr': ' 设施一般 服务一般  价格有点高  旁边有便宜的宾馆', 'star': 5}
{'descr': '不住临街 应该还可以 一般般 入住 离店速度还是很快', 'star': 5}
{'descr': '还不错的酒店,蛮干净的,交通也很方便,性价比高', 'star': 5}
{'descr': '服务态度比较好 房间还是挺干净的 服务也很到位 交通十分方便 位置也比较好', 'star': 5}
{'descr': '不错，晚上睡得很好，虽然临街，但不吵闹。', 'star': 5}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '在市中心，交通很便利，下了火车做个快1路二站就到了，离省博物馆很近，过个马路就到了，酒店房间设施还好，只是有一点，没有地巾，感觉洗浴后不方便，还有浴巾太旧了，给人看着显脏。', 'star': 5}
{'descr': '还可以，地理位置和设施都不错。逛街，吃饭挺方便的，就是酒店外面的停车位少点，还好这次有我的', 'star': 5}
{'descr': '很好~很好~很好~很好~很好~很好~很好~很好~很好~很好~', 'star': 5}
{'descr': '地理位置不错，但是海龙一早就放音乐，所以有早期习惯的朋友可以选择这里。\n其他的都不错', 'star': 5}
{'descr': '非常满意,服务优良。 ', 'star': 3}
{'descr': 'good  really good why enough words', 'star': 5}
{'descr': '挺好的 温馨，旁边环境很好，下次还住。洗澡也很舒服', 'star': 5}
{'descr': '挺好的，交通特别方便，服务也挺人性化，每次过来都住这。', 'star': 5}
{'descr': '快捷连锁酒店中做的一般，从硬件设施和卫生打扫等方面都有待提高', 'star': 5}
{'descr': '不过不失的商务酒店，环境与卫生都算OK，但所谓的春夏秋冬的房间内饰，就绝对算不上什么创意了。图便宜的话这也是一个不错的选择', 'star': 5}
{'descr': '干净整洁，但设施旧了。', 'star': 3}
{'descr': '在市中心的位置，距离博物馆确实很近，门口停车还是要收费的。房间隔音不是很好！', 'star': 5}
{'descr': '卫生还算可以，但似乎国内的快捷商务酒店都是同一样的毛病。设施不足，环境缺乏创意，冲凉的卫浴用品实在太烂。基本上这些酒店是谈不上性价比的，纯粹就是图个便宜。', 'star': 5}
{'descr': '很不错 ，干净卫生，设施完备，房间宽敞。', 'star': 5}
{'descr': '很喜欢这家酒店的装修风格，“春夏秋冬”挺有创意，而且服务也非常人性化，第一次入住，地理位置很好，吃饭购物都很方便，下次来石家庄肯定还会住的。', 'star': 5}
{'descr': '经常入住驿家酒店，和这里的服务员比较熟，这次因为来的较晚，到房间已经是晚上12点多，打电话到前台要的方便面，没想到服务员送上来的方便面是已经泡好的，非常人性化的服务，喜欢。', 'star': 5}
{'descr': '大部分都很好，就是电视突然颜色不正了，估计老化了', 'star': 5}
{'descr': '每次来石家庄住这里就图个方便，总体还可以，设施也不错', 'star': 5}
{'descr': '态度不错，环境也行，就是临街的房间有点吵', 'star': 5}
{'descr': '整体感觉不错，就是被子有点小，6楼的环境很安静，睡眠状况很好，窗户基本完全不能打开透气可能稍差，一楼餐厅简便餐很方便，吃特色就难了', 'star': 5}
{'descr': '不错~干净卫生。繁华地带，吃饭购物都很方便', 'star': 5}
{'descr': '不错，还有早餐。关键是在主市区，办事比较方便，推荐一下。', 'star': 5}
{'descr': '离河北博物馆很近，就在市中心，繁华地段，由于大道上，有一点吵。对面就是电脑城。酒店1楼有餐厅，吃饭出行都方便', 'star': 5}
{'descr': '基本上还不错啦，就是临街的那面有点吵，早起影响睡眠', 'star': 5}
{'descr': '驿家365连锁酒店（石家庄博物馆店）绝对的物美价廉，离博物馆很近，非常不错。', 'star': 5}
{'descr': ':位置佳，房间整洁。但价格不便宜，设施简单，服务尚可。', 'star': 5}
{'descr': '挺好的，交通很方便。其中天花板上发现一片水渍', 'star': 5}
{'descr': ' 环境不错', 'star': 5}
{'descr': '酒店就在省博物馆旁边，离长安公园也非常近，附近有麦当劳，肯德基，24小时便捷超市，还是挺方便的。', 'star': 3}
{'descr': '我住的是超级大床房，房间比较大，但是电视离床的距离设计的太远，还有房间特色分为春夏秋冬四季，是否可以让住客自己选择季节，住自己喜欢的颜色的房间，比如我喜欢绿色，希望能住在绿色的房间。', 'star': 3}
{'descr': '每次来石家庄我都住这里，周边外出交通方便', 'star': 5}
{'descr': '房间很大很干净', 'star': 5}
{'descr': '很好，很干净，也很实惠，会向别人介绍的，，，，，，，', 'star': 5}
{'descr': '还好！酒店位置和环境都还不错，服务也不错，服务员很热情！！！！', 'star': 3}
{'descr': '服务、环境都很好，逛街也很方便，性价比高', 'star': 5}
{'descr': '365博物馆店位置好，但临街房隔音不好，太吵了。别的还可以。能加上双层玻璃最好了。', 'star': 5}
{'descr': '周边环境要改善，因为是出差，所以应酬了很晚睡觉，早上8点就被很大的声音吵醒。', 'star': 5}
{'descr': '就是网速太慢，现在吃套餐加米饭还再收两元，不合适。本身菜品就少，价格也贵。', 'star': 5}
{'descr': '酒店还不错。', 'star': 5}
{'descr': '紧邻石家庄博物馆，门前是一条新的商业街。不过两边店铺还没全部入驻。出行很方便，总体感觉不错', 'star': 5}
{'descr': '酒店已多次入住 每次感觉都很好 下次有机会过来还会选择的', 'star': 5}
{'descr': '服务很不错！！！！！！！！！！！！！！！！！！！！！1', 'star': 3}
{'descr': '酒店隔音太差', 'star': 5}
{'descr': '酒店位置不错  出行方便  设施感觉一般啦  整体来说还不错', 'star': 5}
{'descr': '位置很好，就在省博物馆对面。以前是住的西大街店，觉得很舒适。只是临街的房间有点吵，其他都很好', 'star': 5}
{'descr': '住的还好，主要是空间没有想象的那么大，服务很好，赞一个！', 'star': 5}
{'descr': '挺不错的 住了好多次 每次都感觉很好 下次过来还会考虑入住的', 'star': 3}
{'descr': '挺不错的 住了好多次 每次都感觉很好 下次过来还会考虑入住的', 'star': 5}
{'descr': '此酒店的普通大床房临街，有点吵....外面是石家庄所谓CBD，浴液质量一般，房间设计一般...相比这个价格算凑合了', 'star': 5}
{'descr': '卫生很好，服务不错，价格优惠，交通便利。', 'star': 3}
{'descr': '挺不错的酒店 住了很多次了 感觉都挺不错的', 'star': 5}
{'descr': '还行吧。交通和食宿很方便，就是酒店比较的浴液和洗发液是小袋的，长头发的女同志就会比较郁闷', 'star': 5}
{'descr': '位置不错，设施较好，但是毛巾等用品感觉不是很卫生。', 'star': 5}
{'descr': '挺不错的酒店 干净 卫生 交通也很方便 ', 'star': 5}
{'descr': '还好啦!比较方便!', 'star': 5}
{'descr': '挺不错的 住过好多次了 但这次去宾馆电视和网络都出了点小问题 希望以后不要再发生', 'star': 5}
{'descr': '位置不错，就是环境有点吵，不适合早上想睡懒觉的人，别的马马虎虎吧', 'star': 5}
{'descr': '服务好地点交通便利', 'star': 5}
{'descr': '地点非常好，性价比很高，就是没有双层窗户，不够安静。', 'star': 5}
{'descr': '交通很方便，早餐可口，价格适宜，主要是服务员的态度很好，值得下次再来。', 'star': 5}
{'descr': '位置很好，交通便捷，特别是一次性毛巾可以带走很人性化， \r\n不错，物超所值', 'star': 5}
{'descr': '交通很方便，周围逛街购物也很好！服务比较热情。不过旁边的手机卖场太吵了...离店时等候时间稍微有点长。', 'star': 5}
{'descr': '不错~有点吵~环境还是不错的~房间有点小', 'star': 3}
{'descr': '安静不错~房间有点小~感觉和如家差不多~位置非常好~近北国和先天下~可能有点吵~还是不错的', 'star': 5}
{'descr': '。。。。。。。。。。。。。。。', 'star': 1}
{'descr': '很不错！！！！！！！！！！', 'star': 3}
{'descr': '整体感觉不错 ', 'star': 5}
{'descr': '没有浴巾, 有点晕', 'star': 5}
{'descr': '很不错，挺安静的。', 'star': 3}
{'descr': '位置是相当好，正对省博物馆正门，不过门前有些乱，车停的很多，而且比较吵\r\n', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '不错\u3000的酒', 'star': 5}
{'descr': '住着挺不错的，就是房间有点小。', 'star': 5}
{'descr': '交通便利', 'star': 5}
{'descr': '很不错，物有所值', 'star': 5}
{'descr': '早餐还要加钱,不是很人性话.主要是交通方便', 'star': 5}
{'descr': '酒店硬件设施一般，主要是交通便捷。', 'star': 3}
{'descr': '交通便捷，但是外边感觉有点吵闹。', 'star': 5}
{'descr': '这家经济型的酒店还是蛮不错，房间打扫的挺干净，设施也挺齐全挺新的，感觉挺舒适的，酒店的位置也不错，出行很方面，价格方面也蛮实惠的，整体感觉还是蛮不错的，值得推荐。', 'star': 5}
{'descr': '位置很好，就是感觉房间略旧', 'star': 5}
{'descr': '总体不错', 'star': 5}
{'descr': '交通很方便,主要是服务员的态度很好,所以值得再来.', 'star': 5}
{'descr': '还好,就是房间外太吵了.', 'star': 3}
{'descr': '太闹了,睡觉不好.其他还好', 'star': 5}
{'descr': '位置极好，但是空间太小！卫生还行，主要是那个破床，太差了，极其的不舒服。其他的还行', 'star': 1}
{'descr': '交通很方便.房间和卫生间都较大,设施较新,很舒适.', 'star': 5}
{'descr': '住宿挺好，就是餐厅菜的品种有些少，对面卖手机的噪音太大', 'star': 3}
{'descr': '连续住了几次感觉还好，下次继续', 'star': 3}
{'descr': '每次来都住这里，总体都好，就是餐厅饭贵了点', 'star': 5}
{'descr': '方便性价比高', 'star': 3}
{'descr': '卫生、服务、环境、地理位置都不错。但停车不太方便，一层临街是商业用房，叫卖广告用的大功率的扬声器，声音非常大，滚动播出，因此临街的房间有点儿吵，闹心。总体不错，推荐！', 'star': 5}
{'descr': '性价比较高', 'star': 3}
{'descr': '交通便利', 'star': 5}
{'descr': '交通方便', 'star': 3}
