{'短评内容': '性价比可以。', '短评打分': 4}
{'短评内容': '位置好，离火车站近，交通方便。卫生挺好', '短评打分': 5}
{'短评内容': '就是周末是汽配城     地方有点荒     但还是挺安全的   走去火车站也挺近的     晚上很安静的', '短评打分': 4}
{'短评内容': '出差首选，配套齐全，晚上也很安静，周围的配套设施也是很完善，很方便，每次来都是来这里住，服务员也很有礼貌！酒店非常温馨，房间内灯光有很多模式可以调节，情侣住非常合适，有的房间还有大镜子，整体感觉不错，床很舒服', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '服务态度很好，酒店各方面服务挺完善的，给人感觉舒适，性价比不错！', '短评打分': 5}
{'短评内容': '环境很不错', '短评打分': 5}
{'短评内容': '总体还可以，主要是就在火车站旁边，很方便', '短评打分': 4}
{'短评内容': '总的来说，蛮糟糕的。', '短评打分': 3}
{'短评内容': '酒店离火车站不行，交通方便，但是酒店设施比较旧', '短评打分': 4}
{'短评内容': '不错，入住很快很舒服，酒店位置在很方便，周边设施全面，酒店房间卫生设施一般好在还算干净，关键便宜。下次会再来！', '短评打分': 4}
{'短评内容': '环境不好，设施也很陈旧', '短评打分': 3}
{'短评内容': '不错  服务一流  房间特大', '短评打分': 3}
{'短评内容': '物超所值  服务态度特好', '短评打分': 3}
