{'短评内容': '一般吧', '短评打分': 4}
{'短评内容': '比较干净', '短评打分': 5}
{'短评内容': '卫生不错，交通方便，周边吃饭的地方也挺多。', '短评打分': 5}
{'短评内容': '早餐不怎么样，房间也挺旧的，服务一般', '短评打分': 3}
{'短评内容': '1分不知道给携程还是酒店，前台说携程预定部分是无窗的，我也没有注意，如果注意到了，肯定不会订，然后前台告诉我有窗的门市价199，敢情是把我们当特价房的来处理是吗。从走道开始就有异味，房间的也有异味，说实话，如果不想低价接待携程上的游客，就不要在携程上宣传好吗。我有华住会员，但是我以后我也不想在华住的官网上预定，呵呵', '短评打分': 2}
{'短评内容': '可以的', '短评打分': 5}
{'短评内容': '前台给的房比别的房间要小，但是买的价比汉庭贵多了', '短评打分': 3}
{'短评内容': '还行，牙刷质量有改进空间', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '保持了汉庭一贯的水准 房间干净 夜里也很安静 地理位置挺好 无论坐大巴往返机场或者去市区 离地铁也近 前台服务态度很好挺满意', '短评打分': 5}
{'短评内容': '位置位于市中心，附近美食，娱乐都有，公交也很方便，服务员也很热心，指导了线路，下次还会去住的，很棒的汉庭', '短评打分': 5}
{'短评内容': '非常棒，酒店位置号好，机场大巴就在门口有站，离市中心非常近，前台帅哥和美女服务非常好，人也特nice，推荐。', '短评打分': 5}
{'短评内容': '交通便利，停车很方便，服务态度很不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '有点小吵', '短评打分': 5}
{'短评内容': '就是有点吵 靠马路', '短评打分': 5}
{'短评内容': '就是有点吵 靠马路', '短评打分': 5}
{'短评内容': '到机场还是很方便的 原本以为很偏僻 结果在主路上！周边有吃米线的。30分钟可以到机场。谈不上什么服务，不那么热情！', '短评打分': 3}
{'短评内容': '在市中心，房间宽敞。设施很新，有停车场，还免费', '短评打分': 5}
