{'短评内容': '不错！！', '短评打分': 5}
{'短评内容': '早餐不错，酒店位置很好', '短评打分': 4}
{'短评内容': '有点古旧，住的还可以', '短评打分': 5}
{'短评内容': '房间太旧，味道太重，以后再也不会去入住了', '短评打分': 2}
{'短评内容': '老酒店了，设施淘汰，一开始办理入住房卡就不好用，下楼换了一张还不还用，有蚊子，被子好沉，睡觉不能开窗噪音太大。这个价位不值', '短评打分': 2}
{'短评内容': '环境太差了', '短评打分': 1}
{'短评内容': '。。。。。。。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，，，。。，，，。。。。老板热情，，，，，，，，兔兔图图呦呦呦，，，，，，，啦啦啦，，，，，。。。。', '短评打分': 4}
{'短评内容': '不错，，，。。，，，。。。。老板热情，，，，，，，，兔兔图图呦呦呦，，，，，，，啦啦啦，，，，，。。。。', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '别来，谁来谁后悔。', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '可以，不错', '短评打分': 5}
{'短评内容': '服务 环境 周边都不错 就是设施陈旧点', '短评打分': 5}
{'短评内容': '位置不错 环境不错 服务不错 就是设施陈旧些', '短评打分': 5}
{'短评内容': '老洒店，大家都懂的，没啥可奢求的', '短评打分': 4}
{'短评内容': '这是一间坐落于市中心的三星级酒店，酒店规模不小，大约17层楼以上。\n整体印象不错，经营理念就是以顾客满意为标准；管理上总体尚可，但存在管理死角，诸如前厅必须有高质量的引导服务人员等；服务很好，房间能够及时清扫，住着也比较舒适，价位也比较合理；设施比较陈旧，地毯比较脏、电视比较老，且图像不清，网速特慢等需亟待改进。\n总体上来看，感觉还不错，若加以不断改进，酒店人气会越来越高。', '短评打分': 5}
{'短评内容': '酒店很大，我住的是14楼，但里面设施较旧，服务态度较好，348元的价位小贵。', '短评打分': 5}
{'短评内容': '设施配备是标准的三星酒店，卫生很好，地理位置很好，就是临街，我们住9楼整晚都会听到窗外的交通声。', '短评打分': 5}
{'短评内容': '今天入住了，没有期待的好，洗手间水很小，但是交通比较方便', '短评打分': 3}
{'短评内容': '帮同事订的，说是性价比不错，房间里有大镜子什么的', '短评打分': 5}
{'短评内容': '这家酒店整体感觉还可以，尤其满意的是阳光光线很充足，个人很喜欢，如果有机会我还会再次光临！', '短评打分': 5}
{'短评内容': '周日入住，在次高层，视野很好，但周围工地比较炒，另外房间封闭和隔音不好，有蚊虫等，但考虑到地点因素，整体还不错，推荐！', '短评打分': 5}
{'短评内容': '酒店位置不错很方便实惠', '短评打分': 3}
{'短评内容': '离主干道较近~~比较吵~~不介意的话地理位置不错~~', '短评打分': 1}
{'短评内容': '设备相当陈旧，感觉不舒适。空调声音大，屋内温度低。', '短评打分': 1}
{'短评内容': '这家酒店离市中心购物商业圈很近，步行十分就到了，房间很干净，晚上很静，只是空调和风扇噪音有些大，睡眠轻的人需要关掉，由于我是二月初去的，虽然加盖了柜里有备用的毛毯，可晚上关空调睡觉还是很冷。而且空调可能是因为老化开的时候有点怪味。不过，性价不错，还是愿意入住。', '短评打分': 5}
{'短评内容': ' 热水澡太冷\n网太慢', '短评打分': 3}
{'短评内容': '在大连，100块钱一晚的房间就不要再挑什么了。没有什么大毛病，设施不像三星级的，可能我住的是特价房的缘故吧。位置不错，走10分钟就到大商步行街。', '短评打分': 5}
{'短评内容': '很好。才从酒店回来。就是重要空调 到了半夜不太暖。上午房间温度好像也不是很给力。总体环境挺好。', '短评打分': 5}
{'短评内容': '挺不错经常在着入住。空调一般，整体还好', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 3}
{'短评内容': '已经是第二次入住了，特价标间很不错！就是暖气不太好', '短评打分': 5}
{'短评内容': '位于商业圈、城市中央、交通方便、对于三星级这个价位，很值，内部装修虽然有点陈旧但不乏星级概念，很不错。', '短评打分': 5}
{'短评内容': '优点房间很大，地段很方便，缺点可能是因为订的特价房，淋浴的喷头非常老式，没有花洒，直接跟卫生间吊顶连一起，出水时天花板都好像跟着一起震~~很不习惯。还有就是电视很比较老式~~', '短评打分': 5}
{'短评内容': '空调不热,房间冷.浴室简单', '短评打分': 3}
{'短评内容': '空调制暖效果很差,冻醒了好几遍。', '短评打分': 3}
{'短评内容': '挺好的，值得推荐。空调不凉，挺热的。其他也对的起这个价格了，主要是淡季的原因吧，夏天估计要300了。', '短评打分': 5}
{'短评内容': '69###########################(\n\n##6#6#6##6#6#6#6#66555#5236*523', '短评打分': 5}
{'短评内容': '空調有點涼。。。其他挺好的。。。', '短评打分': 3}
{'短评内容': '服务还是可以的。环境也不错，就是没有机顶盒！电视只能收到几个台！', '短评打分': 5}
{'短评内容': '设施比较陈旧，只是地理位置方便一些，早餐还可以，环境一般，参团的客人多，感觉比较乱', '短评打分': 5}
{'短评内容': '位于市中心，环境还可以，卫生情况良好，客房服务不错，餐厅的服务一般，性价比不是很高！', '短评打分': 1}
{'短评内容': '酒店一般', '短评打分': 5}
{'短评内容': '住了三天，整体感觉还不错，交通比较方便，但隔音不是太好', '短评打分': 5}
{'短评内容': '房间很不错，很舒服', '短评打分': 5}
{'短评内容': '  服务不要很好', '短评打分': 5}
{'短评内容': '酒店位置不好，设备陈旧，上网要收费，早餐太简单了，全是团队，不推荐', '短评打分': 3}
{'短评内容': '设施比较老，上网还要单独收钱，地理位置一般，总体一般', '短评打分': 1}
{'短评内容': '如果游玩，这里的位置很好，交通很方便，价钱可以接受。', '短评打分': 5}
{'短评内容': '旁边就是劳动公园 后面是电视塔 风景不错 五分钟步行可至大连外国语 对考试的同学比较方便\r\n设施比较陈旧 不是那么奢华 但是足够', '短评打分': 5}
{'短评内容': '酒店很一般，没有什么特色，就是一家普普通通的酒店。', '短评打分': 5}
{'短评内容': '酒店提供早餐的服务很差，只有入住当天可以送，服务一般.硬件设施还可以.价位还是比较适中的.总得来说还可以.', '短评打分': 5}
{'短评内容': '总体来说不错，就是设施比较旧，厕所的马桶冲水不方便。', '短评打分': 5}
{'短评内容': '位置不错性价比很好', '短评打分': 1}
{'短评内容': '都是旅游的团队', '短评打分': 5}
{'短评内容': '已经不是第一次住这个酒店了，感觉它的性价比非常好，地理位置特别好，酒店的服务很周到，住的很舒服', '短评打分': 5}
{'短评内容': '总体评价不错，性价比高。', '短评打分': 5}
{'短评内容': '因为酒店比较老，所以房间非常大，而且离大连劳动公园，百年城，大商步行一条街很近，住的比较方便。', '短评打分': 5}
{'短评内容': '价格非常的便宜,而且规模很大,缺点就是房间有一点冷 大概在17度左右.', '短评打分': 5}
