{'短评内容': '酒店还不错，值得一住，稍微远些', '短评打分': 5}
{'短评内容': '还可以，新装修的酒店，干净，价格不贵下次还可以选 择', '短评打分': 5}
{'短评内容': '酒店服务很热情，周到。都很热情给人感觉挺好的。卫生也很好，房间很干净。', '短评打分': 5}
{'短评内容': '价格挺便宜，服务不错，但房间水准有待提高。淋浴水管有漏水现象', '短评打分': 1}
{'短评内容': '黄金周期间调高房价原本无可厚非，问题是实在太差了，电视是坏的，网络也没有，也说坏了，卫生间更吓人，龙头都是摇摇晃晃的，水小得可怜，反正无一是处。', '短评打分': 1}
{'短评内容': '酒店文化气息浓厚，与店名很相符。房间不是很大，但很温馨。地理位置也不错，离颜庙较近。被褥干净舒适，服务员很热情。也有些不足，电视有点小，没有单独放笔记本的桌子。', '短评打分': 5}
{'短评内容': '房很大 不错 就是洗澡水太小了！不爽', '短评打分': 3}
{'短评内容': ';不错就是空调不好用太冷', '短评打分': 3}
{'短评内容': '很不错，很干净，就是空调不怎么制热，打到30度还是冷', '短评打分': 5}
{'短评内容': '位置很清净、房间很干净、价格很便宜，值得再来。', '短评打分': 5}
{'短评内容': '酒店卫生还可以，只是房间内比较凉，设施相对简陋，尤其是早餐太差，只有面包和盒装酸奶，没有热的，可能和春节期间有关。从酒店的性价比来看还可以住。', '短评打分': 5}
{'短评内容': '酒店条件不错。', '短评打分': 3}
{'短评内容': '酒店的性价比很棒，设施配置都很好，酒店服务标准也很高，有求必应。', '短评打分': 5}
{'短评内容': '布局合理，房间干净舒适，床铺整洁舒适，地理位置方便，价格合理适中。', '短评打分': 5}
{'短评内容': '地理位置很好，出行方便，价格也很有优势，房间都非常干净整洁。', '短评打分': 5}
{'短评内容': '酒店服务很热情，周到。都很热情给人感觉挺好的。卫生也很好，房间很干净。', '短评打分': 5}
{'短评内容': '武汉沌口开发区这家7天，开业时间不久，设施硬件都非常新，房间很干净。', '短评打分': 5}
{'短评内容': '和七天什么的差不多，很干净卫生细节处理的都很好，价格也合理。还不错的经济型酒店。', '短评打分': 3}
{'短评内容': '酒店很干净，环境也比较舒适，地理位置也还不错，可以推荐入住。', '短评打分': 3}
{'短评内容': '去看演唱会住的这家，位置很方便，价格也很优惠，当时入住率很高，整体管理还不错。', '短评打分': 3}
{'短评内容': '儒庭挺好的房间干净舒适，设施配置也相对齐全，卫生很好，卫生间也没有异味。', '短评打分': 5}
{'短评内容': '曲阜这家店挺好的，床铺很舒适。整洁卫生，性价比很合理。', '短评打分': 5}
{'短评内容': '+设施一般', '短评打分': 5}
{'短评内容': '所住房间不是我们预订的，服务员作了调整，在标间加了床，价格还是豪华三人间价格。宽带另外加了二十元。条件一般一般。', '短评打分': 5}
{'短评内容': ' 家的温馨,不错.', '短评打分': 5}
