{'短评内容': '卫生条件较好', '短评打分': 5}
{'短评内容': '酒店很有档次，服务很好，性价比高', '短评打分': 5}
{'短评内容': '晚餐不错。有煎蛋。', '短评打分': 5}
{'短评内容': '还不错，性价比很高。值得再去。', '短评打分': 5}
{'短评内容': '别被那张效果图骗了，但是环境和服务确实可以，价格实在', '短评打分': 5}
{'短评内容': '房间较挤，卫生一般，第一次入住的房间有尿骚味，打了前台才换了房，采光很差，洗漱间声控灯，房间里的门关通道也是声控灯很黑，订标准双人间，床一大一小，服务态度差，自助早餐既贵且不好吃，吹风机不能开两档要不然直接跳了不能用，跟我印象中的四星级不一样，不推荐', '短评打分': 3}
{'短评内容': '还不错环境好，最主要是安静', '短评打分': 5}
{'短评内容': '啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '干净整洁，非常满意。', '短评打分': 5}
{'短评内容': '酒店是防城港比较好，开业不久，设备新1价格便宜', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '不错，干净舒适，下次还会选择。', '短评打分': 4}
{'短评内容': '还不错，很好！', '短评打分': 5}
{'短评内容': '酒店设施比较好，。。', '短评打分': 4}
{'短评内容': '服务一流，环境一流，房间卫生一流', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '出差', '短评打分': 3}
{'短评内容': '旁边工地通宵进行混凝土施工，吵得一夜无眠！房间的隔音也很差，隔间说话都听得到，床也很小很硬，总体评价一般。', '短评打分': 1}
{'短评内容': '酒店设施有点旧,但整体服务较好,早餐比较丰富.', '短评打分': 1}
{'短评内容': '早餐很丰富，大厅挺漂亮的，房间装修也很不错，还能看到海景~', '短评打分': 3}
{'短评内容': '装修旧了一点，房间够大，其他的还可以。值得肯定的是早餐品种丰富且美味。', '短评打分': 5}
{'短评内容': '第一次入住这家酒店就感觉很不错，环境安静适合休息，最重要的是价格不贵，还含两份早餐，比起之前那些酒店好多了。', '短评打分': 5}
{'短评内容': '早餐很多种，服务很周到热情，特别是卫生做得很干净，以价格而言性价比较高', '短评打分': 5}
{'短评内容': '酒店的很干净，服务很热情，最主要的是交通十分方便，推荐一个', '短评打分': 5}
{'短评内容': '不错，服务周到，早餐品种很，最满意的是细节做得很好', '短评打分': 5}
{'短评内容': '.................................', '短评打分': 5}
{'短评内容': '...................................................', '短评打分': 5}
{'短评内容': '....................................................', '短评打分': 5}
{'短评内容': '还行，但是觉得性价比不是很好，。。。。。。。。。。。。。。。。', '短评打分': 1}
{'短评内容': '前台结账很慢，一堆人，却不会分开办事。我等了20分钟才结完帐。', '短评打分': 3}
{'短评内容': '性价比不错的酒店，住高点可以看海           ', '短评打分': 5}
{'短评内容': '+房间较小', '短评打分': 5}
{'短评内容': '+', '短评打分': 5}
{'短评内容': '恒荣酒店是当地非常不错的一家酒店，环境舒适，价格便宜。', '短评打分': 5}
{'短评内容': '酒店的位置很方便，距离汽车总站比较近，服务周到体贴。', '短评打分': 5}
{'短评内容': '酒店装潢很好，很温馨很舒适。配置设施也很不错。', '短评打分': 5}
{'短评内容': '酒店的设施配置完善，卫生服务也非常不错，性价比很好的一家酒店。', '短评打分': 5}
{'短评内容': '除了地板有点翘以外，其他的都比较满意，干净卫生，给个好评', '短评打分': 5}
{'短评内容': '酒店服务不错，位置也挺好。', '短评打分': 5}
{'短评内容': '个人觉得这个价位享受这样的档次很划算了，性价比蛮高的。', '短评打分': 5}
{'短评内容': '晚上闲下来可以看看外面的夜景，和你惬意，房间也收拾的很舒适。', '短评打分': 5}
{'短评内容': '二楼有咖啡厅，环境很优雅，房间设施齐全，尤其热水很好，洗澡特别舒服，总体来说比较满意。', '短评打分': 5}
{'短评内容': '服务周到，电视、空调等效果也是不错的。', '短评打分': 5}
{'短评内容': '我们住的是高层，房间宽敞，可以观看防城港的夜景，位置很棒。', '短评打分': 5}
