{'短评内容': '出行比较方便，到景点基本半小时之内能到，酒店内的餐厅味道不错，性价比也高', '短评打分': 5}
{'短评内容': '酒店环境不错，设施有点老旧了。', '短评打分': 5}
{'短评内容': '早餐超级简单，只有白粥、素菜和蛋糕面包，没有肉类，不过服务不错。', '短评打分': 5}
{'短评内容': '还可以吧 父母住的说还行', '短评打分': 4}
{'短评内容': '园林环境 房间设施旧了 早餐9点就没了', '短评打分': 3}
{'短评内容': '外部环境很好，内部设施中等，略有不配之感', '短评打分': 5}
{'短评内容': '很好环境', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '园林式酒店，环境非常好，很舒服，房间设施齐备，干净卫生，停车位充足，两张1米三五的床也很舒服，五分好评', '短评打分': 5}
{'短评内容': '宾馆的环境不错，就是洗澡的水温和水量太小', '短评打分': 5}
{'短评内容': '离县城不太远，交通还算方便。环境幽静。房间设施还可以，但开房率不太高，房间有些气味。可以多加宣传，增加人气。安吉的旅游越来越好了，应当跟上形势。', '短评打分': 4}
{'短评内容': '不错，安静，喜欢。因为是十一，酒店还送了水果，很温馨。', '短评打分': 3}
{'短评内容': '一般般吧，价格有点贵，不过可能是国庆的关系', '短评打分': 4}
{'短评内容': '还算安静！早餐一般！服务一般！', '短评打分': 3}
{'短评内容': '整体环境都很不错 唯独败在早餐上 简直无力吐槽 看看其他评价就知道', '短评打分': 5}
