{'短评内容': '适合带孩子', '短评打分': 2}
{'短评内容': '北京始终是寸金尺土，这个价格这样的房间也是差不多了，白天外出晚上回去睡个觉还是可以的', '短评打分': 4}
{'短评内容': '服务态度很好，周围很安静', '短评打分': 5}
{'短评内容': '有点偏僻的', '短评打分': 4}
{'短评内容': '酒店位置不错，早餐20元', '短评打分': 4}
{'短评内容': '垃圾    住了会后悔', '短评打分': 1}
{'短评内容': '环境不错   设施齐全', '短评打分': 4}
{'短评内容': '服务态度很好，卫生间漏水。', '短评打分': 3}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '地点有点偏，离地铁要一站地，25的自助餐非常好，有鱼有虾有肘子，其他的服务态度也特别好，住了好几天，满意！', '短评打分': 5}
{'短评内容': '卫生服务都很满意，房间空气不好，很闷，刚开门一好大的气味，还有就是房间隔音不好，隔壁做什么事的声音听得很清楚', '短评打分': 4}
{'短评内容': '这个地段这个价格算是不错了，设施有点陈旧了，总体还算不错。', '短评打分': 5}
{'短评内容': '环境很好 价位不高 干净卫生 离公交站很近 还挺好找的', '短评打分': 5}
{'短评内容': '服务态度很好！', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '单位附近的都太贵了。以前住过这一家的白云路店。服务绝对是一流的，就是设施差了一点。到店已经只剩最后一件了，一楼过道。稍有点吵，但是也还行。', '短评打分': 5}
