{'短评内容': '一颗星都不想给', '短评打分': 2}
{'短评内容': '酒店位置不错，去哪里都很方便，公交车出行，或者骑小黄车都很方便，周围比较繁华，价格也便宜，而且房间也挺干净的，门口的小吃早点也是很多。', '短评打分': 5}
{'短评内容': '距离景点都不是很远 但是在一个有点脏有点乱的巷子里 去永兴坊走路不到十分钟就可以到         ', '短评打分': 3}
{'短评内容': '性价比高，前台服务很好，卫生不错', '短评打分': 5}
{'短评内容': '我感觉很一般。', '短评打分': 3}
{'短评内容': '距离出差地比较近，环境不错', '短评打分': 5}
{'短评内容': '环境卫生都不错，就是大差市现在越来约冷清了', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '环境不错，房价干净卫生，房价便宜，', '短评打分': 5}
{'短评内容': '我自己旅行，觉得酒店环境还不错，主要离西安钟楼近，离火车站和回民街也不远，所以交通很方便！而且很便宜！下次还会去', '短评打分': 5}
{'短评内容': '酒店环境不错，干净卫生，价格实惠', '短评打分': 5}
{'短评内容': '一直住这家，距离机场很近', '短评打分': 5}
{'短评内容': '很好，很干净', '短评打分': 5}
{'短评内容': '朋友推荐我来的，酒店环境不错，价格实惠，环境干净卫生，给我送了个免费会员晚上还有牛奶送，太好了', '短评打分': 5}
{'短评内容': '总体来说挺好的', '短评打分': 5}
{'短评内容': '房间有很大的味道……不是很满意', '短评打分': 3}
{'短评内容': '房间偏小，真的非常非常小，谁住谁知道', '短评打分': 3}
{'短评内容': '不错 服务态度很好 而且酒店大厅还有去到各个景点的小攻略纸条 很贴心', '短评打分': 4}
{'短评内容': '没有停车场，自驾游停车困难，', '短评打分': 3}
