{'短评内容': '可以住', '短评打分': 4}
{'短评内容': '设施装修老化，不过离菜园坝火车站还挺近，坐火车住比较方便。', '短评打分': 3}
{'短评内容': '酒店价格贵，服务、设备差、服务态度也不好好！.', '短评打分': 2}
{'短评内容': '还可以，离汽车站和火车站近', '短评打分': 5}
{'短评内容': '位置好，但是卫生不怎么样。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '没定上，不过酒店设施不错，交通便利。', '短评打分': 5}
{'短评内容': '靠近汽车站火车站，地理位置不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '房间设施很全面，浴缸什么都有，卫生很好，楼层高，晚上可以看夜景，蛮喜欢的', '短评打分': 5}
{'短评内容': '酒店就在火车站旁边丶非常方便。楼下吃的也多丶全部都是当地特色。值得推荐', '短评打分': 5}
{'短评内容': '酒店房间很干净 服务人员也很热情  早餐也很丰富而且味道也挺好  交通也挺方便的 离重庆站特别近 ', '短评打分': 5}
{'短评内容': '办事加旅游，出门方便！', '短评打分': 5}
{'短评内容': '不错，地理位置在交通要道，房间新。', '短评打分': 5}
{'短评内容': '设备简陋陈旧', '短评打分': 2}
{'短评内容': '酒店位置好，交通便利，对面就是火车站和菜园坝长途汽车站，非常方便，之前已多次入住，特别是住高层可以观赏重庆美丽的夜景，非常值！', '短评打分': 4}
{'短评内容': '就在火车站对面，很方便，卫生好。但房间设施有些陈旧，电视较小，没有电脑，wifi信号差，价格略贵。早餐非常不错，总体满意。', '短评打分': 4}
{'短评内容': '还不错 主要是离我们要去的地方近 坐公交车也挺方便的', '短评打分': 5}
{'短评内容': 'wifi都用不了 床说1米8 却是1米6 房间电吹风也没有', '短评打分': 3}
{'短评内容': '环境挺好 不算是特别陈旧 有浴缸 没有无线但是需要网络的话可以订房的时候要求 网络不会额外收费 \n觉得挺划算的 早餐什么的吃的也很好 还有供应煎鸡蛋之类的很人性化', '短评打分': 5}
{'短评内容': '离火车站很近，要坐火车的话很方便，离观音桥步行街打车也就起步价，房间还不错，就是周围有点吵杂', '短评打分': 5}
{'短评内容': '酒店离重庆火车站很近，一出站就能看到，酒店的早餐很不错，网速也好，但是就是睡觉的床板太硬了。', '短评打分': 5}
