{'短评内容': '酒店时间比较长了', '短评打分': 3}
{'短评内容': '好，很好，非常好，很舒服', '短评打分': 5}
{'短评内容': '在合肥出差大部分都住这家，环境不错，卫生干净，出行方便，硬件配套设施都不错，后面就是美食街，吃住都方便！', '短评打分': 5}
{'短评内容': '交通方便，价格便宜交通方便，价格便宜交通方便，价格便宜交通方便，价格便宜交通方便，价格便宜交通方便，价格便宜', '短评打分': 5}
{'短评内容': '很棒', '短评打分': 5}
{'短评内容': '经济适用符合价格标准', '短评打分': 4}
{'短评内容': '服务很好 环境也不错 ', '短评打分': 5}
{'短评内容': '火车站附近性价比最好的酒店。', '短评打分': 5}
{'短评内容': '不行。床单有洞！空气里有股味道', '短评打分': 2}
{'短评内容': '离车站近', '短评打分': 5}
{'短评内容': '火车站首先酒店，性价比高', '短评打分': 5}
{'短评内容': '早餐挺好吃', '短评打分': 5}
{'短评内容': '第一次来，还不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '早餐不错', '短评打分': 5}
