{'短评内容': '不是很好！', '短评打分': 3}
{'短评内容': '服务不错，我房间订错了，第二晚主动帮我换房。但酒店设备设施与“大酒店”这个称呼还有点差距', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '都还可以噢！出行的不错选择。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '服务差', '短评打分': 1}
{'短评内容': '别的不说，对携程一直很好评，但是这次真的太失望了，酒店前台接待简直态度极其恶劣，我很礼貌的询问预订，她居然烦躁到破口大骂，让她看一下我这边的预订信息也完全不理我，定的大床房给我说没有了只有标间爱住不住！', '短评打分': 1}
{'短评内容': '真的还不错，干净，安静，方便', '短评打分': 5}
{'短评内容': '环境可以，交通便利，干净，舒适', '短评打分': 3}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '周围晚上有些吵，设施旧', '短评打分': 3}
{'短评内容': '离城区较远，设施较旧，靠近下高速的干道，晚上交吵。', '短评打分': 3}
