{'短评内容': '隔音不理想，但是看下都是同行，照样给五分。', '短评打分': 5}
{'短评内容': '松溪最好的酒店了，位置很好，早餐还可以，能吃饱。停车位不是节假日一般够了。服务不错，无论总台还是楼层服务员都挺热情。', '短评打分': 4}
{'短评内容': '一般般的，县城的酒店，比较旧了', '短评打分': 4}
{'短评内容': '可以不错的', '短评打分': 5}
{'短评内容': '房间遗忘物品，退房查房查到都不会告诉你 找回来就给你不找就不告诉你，这样的酒店也是无敌了 卫生条件太差地毯上的杂毛太多 ！房间隔音太差半夜后面有夜市 早上很早有早市 基本没怎么睡！', '短评打分': 1}
{'短评内容': '非常适合', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '本人常年出差，在松溪能有这种硬件和服务的酒店真心不错，强烈推荐!', '短评打分': 4}
{'短评内容': '还行，就是隔壁有KTV有点吵', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 5}
{'短评内容': '还行，最好有房间位置平面图', '短评打分': 3}
{'短评内容': '停车场接待大厅挺漂亮的 其它细节有待提高 房间小了点', '短评打分': 3}
{'短评内容': '松溪当地算是最好的酒店，只是早餐太差了…', '短评打分': 4}
{'短评内容': '酒店服务员不熟悉业务，比较木纳，携程订的酒店而且前台付费，居然一定要我打电话给携程说，发票需要携程来开，头大了，第一回遇见这奇葩', '短评打分': 5}
