{'短评内容': '位置好，价格合理，去机场也方便，附近吃的很多', '短评打分': 4}
{'短评内容': '不错，位置优越', '短评打分': 5}
{'短评内容': '感觉酒店服务不错，前台热情、快速。特别要感谢客房服务员，发现了我遗忘在酒店冰箱里的药品，感谢酒店电话、短信通知我，再次谢谢！', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '很好，很方便吃的跟交通就在楼下', '短评打分': 5}
{'短评内容': '还行哦，不错的店', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '第三次住假日 这次体验最差 20楼 豪华间 空调最抵挡噪音差 被子薄 加被子 是很薄的那种 盖在身上很不舒服  春节期间价格上涨40% 说实话 不满意 下次不会考虑假日了', '短评打分': 1}
{'短评内容': '当晚老婆肚子疼，凌晨六点前台热心帮我联系医院是否有急诊，真是非常感动，好的服务，好的软件比硬件强许多', '短评打分': 4}
{'短评内容': '性价比高，之前住了2晚五星酒店，房间超级冷，冻的退房了', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好的  位置不错', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '无', '短评打分': 5}
{'短评内容': '很不错，不愧为洲际集团下的酒店，前台服务很有礼貌，房间也很干净', '短评打分': 5}
{'短评内容': 'Room was compact, well laid-out, and spotlessly clean.  All facilities necessary when travelling for business were readily to hand.  Desk staff were especially courteous and helpful, especially as I a', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '帮朋友预定的，朋友以前在这家酒店住过多次假日高级房，感觉很好，交通方面，出门打车、地铁非常便利，服务规范亲切，早餐有多种选择、味道也很好，这次带夫人来成都，特意拜托我还要订这家酒店，而且选了高级套房，离店后很满意，非常棒，以后再有朋友来成都，我就有酒店推荐了。', '短评打分': 5}
{'短评内容': '推荐', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '酒店在市中心，闹中取静，楼下就是地铁站，地下停车场车位充足，房间隔音效果好，床非常舒服', '短评打分': 5}
{'短评内容': '很好的地段，特别适合逛街和度假', '短评打分': 5}
{'短评内容': '地段很好！', '短评打分': 5}
{'短评内容': '还不错,很干净，地理位置很好。交通非常方便。服务业比较热情。就是不包含早餐比较讨厌。', '短评打分': 5}
{'短评内容': '酒店交通比较方便，设施比较新，服务也很不错。', '短评打分': 5}
{'短评内容': '酒店还不错，遗憾的是:卫生间淋浴房的密封性不好，洗澡的时候水很容易流在外面;建议夏天被子换薄一些的，太热。', '短评打分': 5}
{'短评内容': '相当标准的假日酒店，新，所以相当整洁。夜间送餐服务的品种略少了点。', '短评打分': 5}
{'短评内容': '新的酒店，各方面都没啥可以挑剔的，只是房间偏小，周围基本没有什么商业设施。', '短评打分': 5}
{'短评内容': '服务良好，房间内还是有装修味。酒店门口打车有点困难。', '短评打分': 5}
{'短评内容': '买一送一的价格还是很超值，服务很不错。不过硬件上装修遗留问题很多，如冰箱塞柜子里无法散热以致不能启动，淋浴房的门不密封导致洗个澡水漫金山。桑拿房也是刚整修完。高级双床房，房间不是很大，但也够用。床还是一如既往的舒服不软不硬。\n泳池已开放，但水温不稳定，1.4m的水深水底不时有寒流袭来，让我感受着双脚冰冷的考验。工作人员很敬业的来测量，但是也就量到水面的温度。一半冷一半热的感觉真的很舒服呢。', '短评打分': 5}
{'短评内容': '酒店非常不错，地理位置也很OK~坐地铁，出租车和公交车都很方便。晚上想要在成都宵夜的同志们，在酒店附近不远处就有一个宵夜店，叫何师烧烤~附近也有7-eleven~非常方便~\n在酒店中餐厅吃饭的时候，从点菜到吃饭都非常满意。服务生都会根据我们的需要来推荐菜式。吃饭过程中，我在某菜内发现一根头发，我本来也没有在意，于是就放在骨碟里。但是酒店的服务生收骨碟时发现后，主动向我们道歉，并且主动帮我们打折。这', '短评打分': 5}
{'短评内容': ' 该假日酒店总体感觉不错，值得推荐。', '短评打分': 3}
{'短评内容': '值得表扬的是，酒店服务很不错，服务员态度都很亲切', '短评打分': 1}
{'短评内容': '绝对不是五星级就对了。。。。房间小，厕所有潮味，交通并不方便，不会再住，性价比不高', '短评打分': 1}
{'短评内容': '地段很好，特別是喜歡去蘭桂坊的人就最適合了。因為步行只許10分鐘即達。\n酒店新開的，但是沒有那些新裝修的味道，這個值得一讚！\n唯一不好的就是，洗手間太小了，或許是我所訂的方型的緣故吧。\n', '短评打分': 5}
{'短评内容': '环境不错，地理位置好，装修比较新，安静！配套设施欠缺，游泳池没有开放，据说还要收费！', '短评打分': 5}
{'短评内容': '服务很好。在新区，离春禧街很近，步行到。', '短评打分': 5}
{'短评内容': '酒店不错，性价比高，服务也好，下次来继续。', '短评打分': 5}
{'短评内容': '新酒店，开业不到1个月。硬件设施不错，4星标准没问题。由于我住的是低档房间，所以其他房间的情况不清楚。就住过的560元特价房来说，设施略显简单，面积过小，性价比不高。', '短评打分': 5}
{'短评内容': '第二次住假日酒店了，虽然碰到了一些问题，但总体还是很愉快的，酒店硬件设施，服务态度都很好。\n主要碰到两个问题，都是因为开业不到一个月造成的。\n1. 酒店天花板不够稳固，\n2. 酒店的空调面板装反了，结果制冷变制热。。。\n不过酒店解决问题的诚意还是非常足的。\n1. 免了一个晚上的房费。\n2. 免费升级为最高级的套房。\n3. 总经理亲自出来道歉。\n4. 吃早餐，咨询意见时，提了一个“没有培根”。第二天', '短评打分': 5}
{'短评内容': '新开的酒店，还有些小小气味没散去。停车场不能直达，要从隔壁大厦下去地停。装修好，服务号，硬件设施好。推荐入住~', '短评打分': 5}
