{'短评内容': '酒店小而精交通方便', '短评打分': 5}
{'短评内容': '第一次去香港出差，之前看过N家酒店评论，综合一下就选这家了。事实证明我选择是很正确的，因为这是一有非常正规的酒店！首先，地点好，人生地不熟，住旺角算是一个不错的选择。虽然距离地铁站、公交站和最繁华的商业区极近，但是这家酒店很安静，可谓闹中取静。晚上休息非常好。其次，干净，或者说比较干净，除了一个茶杯上有点口红印没有洗净外，其它的床单、床罩、毛巾都非常干净。第三就是方便，虽然网上标的是下午3点入住，', '短评打分': 5}
{'短评内容': '房间干净，位置好。', '短评打分': 5}
{'短评内容': '出了旺角地铁站，位置很好找，在百度地图上找广东道与鼓油街交界就可以了。酒店就在2条路的交叉处。个人比较推荐朗豪坊那个地铁出口，全程有电梯不用搬行李。房间比弥敦道两边的酒店房间大一点，而且设计很人性化。前台2个女生和一个大叔态度很友善，上午11点多去到，让我等了10分钟就给了我房间，下次还会入住', '短评打分': 5}
{'短评内容': '环境很不错纠结好几天才选到的，下次去还是首选旺角好吃的也多哈哈', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '位置很方便，就是稍微小了一点，第一次去的人可能会有心里落差', '短评打分': 5}
{'短评内容': '环境太差，床单太l日，房間太細，厕所太细。。。。。。。', '短评打分': 2}
{'短评内容': '好好好好好', '短评打分': 5}
{'短评内容': '在香港这个价位里算不错了。', '短评打分': 4}
{'短评内容': '房间小了点但很干净，在香港来说算好，给个好评！', '短评打分': 5}
{'短评内容': '房间小，这是特点，一开始预定时候以为酒店很大，后来才发再房间小。很干净，服务也很好，交通方便', '短评打分': 3}
{'短评内容': '酒店环境服务都很不错！', '短评打分': 5}
{'短评内容': 'wifi需要改进，信号很弱，其他都很好，地段很ok', '短评打分': 5}
{'短评内容': '麻雀虽小五脏俱全??', '短评打分': 5}
{'短评内容': '房间环境过得去，对得起价格，就是周边环境差一些，晚点回去感觉治安不是很好，经常有些喝醉酒的外国人在吵吵闹闹。总体上位置还算是市中心，交通什么的都便利，还是值得去住的。', '短评打分': 4}
