{'短评内容': '服务好，早餐丰富，房间适当，价格实惠', '短评打分': 5}
{'短评内容': '就那样', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '也就那样，一般般', '短评打分': 1}
{'短评内容': '比较安静，200以下价位还可以，再高价格可考虑其它选择', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以啦，简单，但是舒服', '短评打分': 5}
{'短评内容': '普通住住还行', '短评打分': 4}
{'短评内容': '好，非常不错。房间内饰较新，关键是干净。环境也安静。', '短评打分': 5}
{'短评内容': '还可以，但是低于全国总体宜必思的水平。设施比较旧', '短评打分': 4}
{'短评内容': '交通便利', '短评打分': 5}
{'短评内容': '不错，性价比很好，支持下。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '标准间房间有点太小了，1.2米的床基本挨在一起的了！价格有点贵，能便宜1/3还差不多', '短评打分': 1}
{'短评内容': ' 酒店环境不错，但双人间太少，感觉很拥挤。', '短评打分': 3}
{'短评内容': '房间干净，隔音很差。', '短评打分': 3}
{'短评内容': '环境不错！最棒的是有无线！', '短评打分': 3}
{'短评内容': '之前在沈阳住过宜必思，感觉非常好，所以这次看到滨江有宜必思就果断订房。\n但入住之后感觉挺失望，首先是房间很小，户型奇怪，窗户外是一个全封闭走廊，走廊的尽头是玻璃幕墙，几乎没有通风功能，所以房间空气无法流通，非常憋闷，还有股明显的建材气味，开空调也无效。卫生间勉强凑活，跟沈阳宜必思的一体化洗浴室没法比。隔音效果很差，听了一个晚上的车流声。还有那个早餐也真是简陋，居然还要十多元每位另行购买。\n反正这个', '短评打分': 1}
{'短评内容': '去省考住的，离考试地方有直达公交，10分钟就到，这个还不错。房间东西一般，但是隔音差到我无语，凌晨4点被隔壁吵醒，没睡着了就，哥哥第二天顶着熊猫眼去考试的。', '短评打分': 5}
{'短评内容': '帮朋友定的不错', '短评打分': 3}
{'短评内容': '房间干净，服务员素质较好。周围吃饭的地方多，所以都没有吃过酒店的早餐。房间用的喝水和刷牙的是一次性纸杯。', '短评打分': 5}
{'短评内容': '新酒店，东西都很新，房价面积还比较大，东西干净，服务不错，晚一小时退房，也不扣钱。就是外面招牌不明显，被挡住，要走近才看见，稍微有点难找。', '短评打分': 5}
{'短评内容': '环境不错，安静。停车也方便，就是大床房窗户很小。', '短评打分': 3}
{'短评内容': '第二次入住，依旧很好！各方面都非常满意！\n希望在房间增加吹风机，而不是只能到大厅去吹。增加梳子。', '短评打分': 5}
{'短评内容': '酒店很简洁，挺好!', '短评打分': 3}
{'短评内容': '只能供应早饭；无线网络很差；房间隔音非常不好，隔壁说话听得一清二楚。\n其他都还行，房间也挺干净的。\n总之感觉没有想象中的好。', '短评打分': 1}
{'短评内容': '很好，很干净也很方便~延迟退房也很方便~~', '短评打分': 5}
{'短评内容': '酒店位置还不错，房间虽然小，但够用。下次还会入住', '短评打分': 5}
{'短评内容': '酒店设施很好很干净，在大厅有一台公用电脑可以上网，服务也很好，房间有免费的矿泉水。不足是位置稍偏，出租不太好打。', '短评打分': 5}
{'短评内容': '\u3000酒店感觉挺不错，很干净，服务也很好，公交还算方便。不足是隔音效果不太好，位置在滨江，不好打车。', '短评打分': 3}
{'短评内容': '房间干净整洁，设施齐备，有免费的矿泉水，很贴心，很周到。', '短评打分': 5}
{'短评内容': '周边环境不错，住的单人房窗户很小，透风和透光差，总体性价比一般', '短评打分': 5}
{'短评内容': '价位偏高，装修气味太大，服务还行', '短评打分': 3}
{'短评内容': ' 房间挺新的，也挺舒服的。交通也方便。唯一遗憾的是没有梳子和浴帽，有点不方便！', '短评打分': 3}
{'短评内容': '服务还可以，房间一般，隔音效果差了点.有早餐，但是要另买。交通还算方便。适合经济型客人。我那个房间晚上洗澡下水道赌了，有点遗憾。早上下雨，可以外接雨伞', '短评打分': 1}
{'短评内容': '很新，很干净. 服务也还过得去，不熬早餐，管理还不错\n\n', '短评打分': 5}
{'短评内容': ' 房间不大，没有太多不必要的陈设，但是非常舒适，尤其浴室毛巾很松软。是性价比极高一个酒店', '短评打分': 3}
