{'短评内容': '掐指，哦，听着歌声就会说出来了', '短评打分': 5}
{'短评内容': '飞一样头我们都', '短评打分': 5}
{'短评内容': '很不错的酒店，办理入住迅速', '短评打分': 5}
{'短评内容': '酒店卫生干净，早餐还不错。', '短评打分': 5}
{'短评内容': '好评，办理迅速，服务周到，酒店圣诞气息浓厚', '短评打分': 5}
{'短评内容': '房间设施细致入微，绝对有家庭一样的体验，套房的享受，标房的价格，房间布局精致。面临迎春路，景致绝佳！', '短评打分': 5}
{'短评内容': '环境不错 能加床 早餐也不错', '短评打分': 5}
{'短评内容': '性价比不错 房间干净', '短评打分': 5}
{'短评内容': '总体不错，位置较好。', '短评打分': 5}
{'短评内容': '帮朋友预定的 ', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '环境不错，早餐一般，品种不多，有点乱', '短评打分': 5}
{'短评内容': '酒店设施齐全，装修大气，还免费升级了房间，非常推荐', '短评打分': 5}
{'短评内容': '房间不错 服务员也很主动热情 办理入住时主动介绍酒店的设施 硬件软件都很不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '设施什么还好的 晚上睡觉不需要开空调，就很安静了。', '短评打分': 5}
{'短评内容': '位置还好找的。晚上算比较安静的，能休息好。', '短评打分': 5}
{'短评内容': '好呀好呀好呀，还有浴盐可以泡泡；好呀好呀好呀，还有浴盐可以泡泡', '短评打分': 5}
{'短评内容': '环境挺好的，挺舒服的。值得一睡，大家可以来尝试下哈', '短评打分': 5}
{'短评内容': '酒店设施很新、服务也挺好、对得起这个价位。唯一的不足就是新装修的气味较浓，以及夜晚空调运转时的风量声音较大，对睡眠不太好的人有较大影响。', '短评打分': 5}
{'短评内容': '酒店非常舒适，环境也挺好，服务也周到，下次还选它', '短评打分': 5}
{'短评内容': '这个酒店性价比还算可以的，客人住了很多次觉得房间还是不错的，就是早餐少了点东西吃，另外，说电梯里有些些气味，稍稍的不足。', '短评打分': 5}
{'短评内容': '很新的一家酒店，特别喜欢的是浴室，居然有浴缸，还放了浴盐，很贴心的服务，是一家性价比很高的酒店，下次去，还会入住', '短评打分': 5}
{'短评内容': '酒店还可以吧，早餐还可以，服务还可以，下次再去。', '短评打分': 5}
{'短评内容': '酒店硬件设施好，服务热情周到，推荐！', '短评打分': 3}
{'短评内容': '在桐庐的新区，离县中心也很近。总体都很好 早餐不错 出行也方便 就是空调有点吵', '短评打分': 5}
{'短评内容': '酒店材质用的很不错，新装修的竟然没有一点气味，而且也很温馨！以后还会入住的！', '短评打分': 5}
{'短评内容': '设施新，周边环境好，西餐厅坏境  设施 口味也不错，房间总体不错，可惜设计不够时尚个性', '短评打分': 5}
{'短评内容': '酒店设施都是新的，大堂不大但装修精致，而且客房布置及设施非常好。房间不算太大但也够用，不会觉得拥挤，长条木沙发、舒服的写字台、宽带线、冰箱等设施一样不少，网速也不慢。洗手间一次性用品不错，比较厚道，拖鞋也较软较舒服，淋浴设备不错，中看也中用。洗手间和卧室用移窗（不透光）隔开，分隔随意。不好的地方是洗手间面积不大，只有淋浴没有浴缸，枕头太厚，睡觉颈椎不舒服（因人而异），扣点分！在硬件方面大都不错，细', '短评打分': 5}
{'短评内容': '酒店就在高速出口附近，很方便自驾的朋友。距离市区也不远，毕竟桐庐本来就不大。酒店服务热情，态度和蔼可亲。内部装修很考究，看来是花费了一番功夫的。去年十月才可业，无星级标准，真的比较超值。', '短评打分': 5}
{'短评内容': '＋房间有气味', '短评打分': 3}
{'短评内容': '房间床是很舒服的，装修的蛮有档次的，还是家新酒店价位也适中，尤其是那里的人非常热情，下次来我会带朋友一起，哦，对了早餐好美味…', '短评打分': 5}
