{'短评内容': '设施好，酒店服务态度也好，不错！', '短评打分': 4}
{'短评内容': '不错，好。下次还来住。卫生，方便，距离火车站很近。', '短评打分': 5}
{'短评内容': '服务总台的服务态度很好、很亲切。相比之下，修理电脑的小弟态度就很恶劣。餐厅的送餐服务还不错，自助早餐种类较少，盘子超小，不方便取食。总体还行吧，对得起那个价位。', '短评打分': 5}
{'短评内容': '交通方便，性价比还好，硬件一般', '短评打分': 3}
{'短评内容': '\n酒店有点旧。离火车站不远。走路五分钟吧。', '短评打分': 3}
{'短评内容': '交通方便，酒店比较旧。早餐品种少，客房送餐味道不错。', '短评打分': 5}
{'短评内容': '还不错，房间挺大', '短评打分': 3}
{'短评内容': '酒店是接近三星级标准的，卫生等尚可，重要的是房间内有台式机可以提供上网，给人感觉物有所值。', '短评打分': 3}
{'短评内容': '本次是第二次住，房间还算不错，离火车站不是很远也不近，正好可以躲开吵闹', '短评打分': 5}
{'短评内容': '前台服务慢，床有点小', '短评打分': 3}
{'短评内容': '南昌锦昌大酒店硬件和服务尚可。', '短评打分': 3}
{'短评内容': '酒店方便，前台服务较好，餐厅口味不错，性价比较高，早餐也还可以，值得推荐', '短评打分': 5}
{'短评内容': '入住一晚：主要感觉如下\n优点：\n1: 位置优势,离火车站近；价格适中，在市中心算是比较合适价位酒店。\n2：上网速度还算ok。晚上也还算比较安静，没有听见楼下歌舞昇平。\n缺点：\n1：地上太多的小广告宣传单。\n2：早餐比较让人失望。', '短评打分': 5}
{'短评内容': '入住一晚：主要感觉如下\n优点：\n1: 位置优势,离火车站近；价格适中，在市中心算是比较合适价位酒店。\n2：上网速度还算ok。晚上也还算比较安静，没有听见楼下歌舞昇平。\n缺点：\n1：地毯脏，卫生间总体来说还ok，但是洗手池还是不算干净。\n2：早餐比较让人失望。', '短评打分': 5}
{'短评内容': '酒店住宿环境很舒适，交通便利', '短评打分': 3}
{'短评内容': '小孩不应该收早餐费，不能唯利是图，卫生间太小', '短评打分': 1}
{'短评内容': '设施破旧，还很贵，打扫的也不干净。电脑的耳机都是坏的。', '短评打分': 1}
{'短评内容': '酒店硬件还可以，但软件有待进一步提高，离市区很近，交通等比较方便', '短评打分': 5}
{'短评内容': '218元得普通标间的床太小，1.2米的吧，不太舒服。', '短评打分': 5}
{'短评内容': '环境不错，离车站近，房间较大', '短评打分': 3}
{'短评内容': '帮朋友订的，位置不错，出行很方便，酒店设施尚可，还是比较满意的。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '帮朋友订的，位置不错，出行很方便，酒店设施尚可，还是比较满意的。', '短评打分': 5}
{'短评内容': '总体还行，房间也够大，就是挺烦人的。服务态度有待改善。', '短评打分': 5}
{'短评内容': 'hu环境较好', '短评打分': 3}
{'短评内容': '第二次入住这家酒店了，主要是离火车站很近，很方便', '短评打分': 5}
{'短评内容': 'jiu fang jian de chuang ganjue xia l dian ', '短评打分': 5}
{'短评内容': '酒店离火车站很近，交通方便，早餐品种单调，房间面积较大。', '短评打分': 5}
{'短评内容': '位置好，出行方便', '短评打分': 3}
{'短评内容': '非常不错的酒店，距离火车站很近。价格好可以。以后还会入住。\n服务也不错。。。。。。。。。。。以后回向朋友推荐这家酒店的', '短评打分': 5}
{'短评内容': '地理位置优越，早餐不错，服务态度有待提高，便于出差坐火车', '短评打分': 5}
{'短评内容': '地理位置好，早餐好，商务间非常好，值得推荐', '短评打分': 5}
{'短评内容': '地理位置好，早餐好吃，房间够大，值得推荐', '短评打分': 5}
{'短评内容': '除了交通方便之外，其他都不值得推荐。临街的房间还很吵，服务一般。', '短评打分': 1}
{'短评内容': '酒店太古老了，交通还算方便，临街的房间会比较吵。服务一般。', '短评打分': 1}
{'短评内容': '外观看上去比较陈旧，但我住的豪单还算不错，挺大，够高，早餐在三星里面应该算中上等水平了', '短评打分': 5}
{'短评内容': '交通便利，每次来南昌差不多都住这，价格实惠，值得推荐。', '短评打分': 5}
{'短评内容': '离南昌火车站很近，是在站前路上，附近吃饭比较方便，交通便利，房间比较大，环境也可以。', '短评打分': 5}
{'短评内容': ' 环境不错，卫生条件还好，设施齐全，就是周围的环境的卫生不干净。总体上还好。', '短评打分': 5}
{'短评内容': '房间大  价格合理  在南昌 还死不错的酒店 \n', '短评打分': 5}
