{'descr': '连续两年暑假去北京都住在这里，如果拖着大行李，到最近的公交车站或地铁站都需要走一段距离，大概5-10分钟，如果行李少的话更方便。临近小区 不是商务区所以感觉很安全，所以两次选择在这里住，房源很紧需要提前一周预定估计才有房。还有在胡同口有一家小摊卖算是铁板烧之类的，挺好吃的~ 每年去都吃很多，不过今年又涨价了..哈哈\n到火车站有直达公交车但是要坐20多站我半路就下车吐了,...到三里屯也有直达公交很', 'star': 5}
{'descr': '位置有些偏，离地铁站有点远。服务员态度还行。', 'star': 1}
{'descr': '房间不错，很静，就是商务大床也感觉很小！', 'star': 3}
{'descr': '如家··············位置很好。房间很干净，推荐！！', 'star': 5}
{'descr': '很干净,值得推荐。', 'star': 3}
{'descr': '酒店座落在居民区中间，是二环里面了，晚上休息很安静。距二号线朝阳门站步行10钟。不过，第一次去可能不太好找。', 'star': 3}
{'descr': '早上、上午、下午去前台，人都很多，买早餐券、办理退房结算手续、有问题咨询，都要等很久。要是赶车的话要多留20分钟。\n早餐品种有点少，东西品质也一般，价格有点贵了', 'star': 1}
{'descr': '早上、上午、下午去前台，人都很多，买早餐券、办理退房结算手续、有问题咨询，都要等很久。要是赶车的话要多留20分钟。\n早餐品种有点少，东西品质也一般，价格有点贵了', 'star': 1}
{'descr': '位置有点不好找。\n性价比低于7天。\n早餐自助15元，东西品质一般，种类很少。不是很满意。', 'star': 1}
{'descr': '位置有点难找。房间条件一般，早餐和前台的小食品价格有点贵。\n性价比低于7天', 'star': 1}
{'descr': '不错，值得推荐，特别是这个店，很干净，房间也较大。', 'star': 5}
{'descr': '第一次住如家的酒店，感觉非常不错，很干净，价格也不贵，装饰也很温馨，强烈推荐。', 'star': 5}
{'descr': '环境一般吧，隔音效果太差。', 'star': 3}
{'descr': '还行 很安静 入住方便 就是房间有点小 酒店服务人员也挺热情', 'star': 5}
{'descr': '环境很好干净，舒服。', 'star': 3}
{'descr': '安静，干净', 'star': 3}
{'descr': '设施还可以，就是没热水', 'star': 3}
{'descr': '房间较干静。空间较小', 'star': 3}
{'descr': '很干净，很温馨，交通也很方便，以后外出还会选择如家', 'star': 3}
{'descr': '1.就餐方便\n2.出行方便\n3.环境安静\n4.价格适中\n5.建议把那些散发不良广告信息的管理一下，如果能把这个杜绝了，就更好了！', 'star': 5}
{'descr': '不错，交通方便服务好！房间干净热水足！出差旅游，快捷酒店首选！', 'star': 5}
{'descr': '房间很暖和，被子枕头也很舒服，就是沐浴下水太慢了！', 'star': 3}
{'descr': '酒店服务不错早上下车早预定的房型没有，前台积极帮助调换，感谢！', 'star': 5}
{'descr': '服务周到，环境温馨，周围交通便利，饮食方便~', 'star': 5}
{'descr': '酒店内饰简单清洁,环境比汉庭感觉要好些。', 'star': 5}
{'descr': '房间挺大的 虽然位置偏了点 但是很安静 设施很齐全 价格很实在\n就是每天傍晚都有人从门缝里塞不和谐的小纸片 ', 'star': 5}
{'descr': '很干净，服务也不错，值得推荐！赞一个……', 'star': 5}
{'descr': '上次在该酒店住过一次，第一次住如家的酒店，感觉很好，很干净、房间大小也可以，还能上网，性价比很高，强烈推荐该酒店。', 'star': 5}
{'descr': '酒店不错，位置离地铁口站很近，走路也就不到十分钟左右，周围吃饭都很方便，不错', 'star': 5}
{'descr': '酒店在胡同里，住的431房间十分安静，走到王府井大概30分钟，还不错', 'star': 5}
{'descr': '酒店距东四十条地铁站非常近 步行几分钟就到 很方便', 'star': 3}
{'descr': '酒店还不错，离地铁站朝阳门也不远，挺好的~', 'star': 5}
{'descr': '房间很干净，地点也很好找，周围很安静是居民区，服务也很好', 'star': 5}
{'descr': '环境很温馨\u3000很舒服\u3000楼道的阳台景观也很漂亮～', 'star': 3}
{'descr': '干净整洁 距离地铁口走路大概5分钟 不过在胡同里 需要仔细找找', 'star': 5}
{'descr': '房间还是比较干净的，但是毛巾就太差了，还夹杂着别人的头发！房间连水都不送，台灯也是坏的', 'star': 1}
{'descr': '位置不错，价格合理，酒店卫生不错，服务态度也好，以后出差还是会选择该酒店的。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '位置偏些，房间还不错，地铁在朝阳门桥上~', 'star': 5}
{'descr': '不错，地段好。比较实惠啊。下次再来还住这里，多谢！', 'star': 5}
{'descr': '还行，只不过我订的标准间为啥到酒店后变成了大床房？', 'star': 5}
{'descr': '酒店卫生很好,服务员态度热情.周边的小超市蛮多的,很方便.但是酒店的隔音稍差点.', 'star': 5}
{'descr': '主要是离集合地点丰联广场比较近\n房间隔音不太好 而且房间内有个大柱子........ 这让我们很郁闷 声称最后一间房\n卫生还行', 'star': 5}
