{'短评内容': '悔', '短评打分': 1}
{'短评内容': '出入交通方便 周边食市多选择 购物地点聚集 ', '短评打分': 5}
{'短评内容': '投诉！订好并付款了二间双床房，到宾馆后商家居然给换成了一间其它店的，二张高低床可睡四人的房间，还不退房差款，房间没有牙膏牙刷，没有冲凉洗头液，房间可以说是脏乱差，跟携程网上的图片差很多。店家老板态度还很差。，说你们可以不住，是携程的客服小姐求他提供房间的，真让人无奈，气愤！', '短评打分': 1}
{'短评内容': '基本上不错。晚上1点多的时候，房东过来敲门，说他觉得有人在抽烟。把所有人都叫起来了，也没有抓到抽烟的人。', '短评打分': 3}
{'短评内容': '差！失败', '短评打分': 1}
{'短评内容': 'A small room in the heart of a great part of the city. Plenty of shopping, nightlife and food very nearby. Room was clean. Even though room was small they managed to fit everything you need inside. Ai', '短评打分': 5}
{'短评内容': '仅仅是睡觉儿以，便宜～', '短评打分': 3}
{'短评内容': '房间真的不能住，还被不知名的东西咬成这样，奉劝大家选择别的', '短评打分': 1}
{'短评内容': '很方便，在去也住那边', '短评打分': 5}
{'短评内容': '交通是挺方便的 就是楼房旧了点', '短评打分': 4}
{'短评内容': '价钱合理 环境卫生一般', '短评打分': 4}
{'短评内容': '房间卫生不错', '短评打分': 5}
{'短评内容': '有新装修很好不错', '短评打分': 5}
{'短评内容': '虽然房间很小，总体还是不错的，交通方便，离地铁很近。', '短评打分': 3}
{'短评内容': '房间虽然小一些，但按性价比来说是比较好了。不错！', '短评打分': 5}
