{'短评内容': '在开封府附近，不错!', '短评打分': 5}
{'短评内容': '环境很差，价钱比较贵', '短评打分': 2}
{'短评内容': '我一家4个人 在哪里都是开双人间 再找服务员要两个牙刷 ，找你们 前台居然说 我们双人间住了4个人 没加钱就是好的 也没给牙刷 。 ', '短评打分': 5}
{'短评内容': '酒店环境不错，在院里停车既避免被贴罚单，又有负责任的门卫大哥看管。出院门向左（应该是西）步行走不到8分钟就到了开封府。', '短评打分': 5}
{'短评内容': '房间地板有头发，整个房间味道很大，没有办法只能凑合一晚上。下次绝对不住这里。', '短评打分': 2}
{'短评内容': '房间太差了。很久，卫生也不是很好。床单被子都很久，起球。是我住过最差的宾馆。门也是坏的。', '短评打分': 5}
{'短评内容': '交通方便环境优美', '短评打分': 4}
{'短评内容': '룸에 담배냄새가 심하게 배여있슴.위치는 대상국사와 연경전 근처로 비교적 좋음.직원들 서비스가 좋음.', '短评打分': 4}
{'短评内容': '房间干净。房费贵一点。', '短评打分': 5}
{'短评内容': '酒店有些旧了', '短评打分': 4}
{'短评内容': '住的一楼，卫生差、床和沙发上有头发，屋子潮湿，卫生间马桶不下水，住两天捅了3次，反味很大，淋浴房都没有，卫生间地上积水严重。不建议入住', '短评打分': 2}
{'短评内容': '酒店位置很好，到景点打车去就起步价，酒店环境一般，但是前台的美女还是很热心，还是值得推荐！', '短评打分': 5}
{'短评内容': '酒店不错，周边好多景点的，所以延住了一天。', '短评打分': 5}
{'短评内容': '在老城区，非常满意，服务也蛮贴心，五星好评！', '短评打分': 5}
{'短评内容': 'Not bad hotel. Location is ok. Can walk to most places of interesting ', '短评打分': 5}
{'短评内容': '酒店环境好,在市区吃住行都很方便,推荐', '短评打分': 5}
{'短评内容': '坏境还行，也比较安静，离周围的景点也比较近。', '短评打分': 4}
{'短评内容': '好，比较干净。距旅游点近；闹中静很适合旅游。', '短评打分': 5}
{'短评内容': '税务局招待所，酒店很老，房间很脏，床单和枕头很烂旧，早餐还不如农家，二星都达不到，别说四星了！！！坑迭~~~~~~~~', '短评打分': 1}
{'短评内容': '挺干净的，服务员也很热情，我们订错房前台及时为我们调换。位置不错，交通方便，坐一路车到龙亭,清明上河园只要一元，总体上还不错。', '短评打分': 5}
{'短评内容': '挺好的，就是出门忘带杯子了，想问服务员要个纸杯，说没有，小郁闷。不过整体还是挺好的', '短评打分': 5}
{'短评内容': '闹中取静，离景点也近，挺好的，打车也很方便，就是卫生间地面的瓷砖颜色感觉不干净', '短评打分': 5}
{'短评内容': '挺好的，每次来开封都住这里', '短评打分': 3}
{'短评内容': '地段不错，就是条件稍稍简陋了些。不过放眼开封东城，压根就没像样的酒店。', '短评打分': 5}
{'短评内容': '酒店环境不错！下次还会去。 床也很干净。很喜欢。 服务也不错。', '短评打分': 5}
{'短评内容': '感觉就那样，以后再去的话一定不会选择这家', '短评打分': 1}
{'短评内容': '周边的酒店比它便宜,设备新且还干净噢~洗澡间太小,毛巾很久啦,电水壶积垢很深,第二天打扫房间很马虎...', '短评打分': 1}
{'短评内容': '为了换房间的小事，昨天、今天，跟前台说过两三遍，跟值班经理也说过，除值班经理态度不错，前台服务员每人都盘问我一遍，这个答应了，那个又问，最后竟然把这事给忘了。问楼层服务员，她说要等经理来验收刚打扫好的房间，经理验收过，又没人管了。等半天，打电话催问前台，前台既不解释，也不道歉，就让我自己下去换卡。折腾了一小上午，时间都浪费了。', '短评打分': 1}
{'短评内容': '除了游玩的地理位置好以外,其他的如房间设备旧,太不干净了，连面纸都舍不得放。。。我订的是豪华标间，却捣浆糊给我的是普通标间，我女儿是孕妇，却仍给的是有烟房。。。电水壶积垢厚，洗澡间很小的三角形房，我们退房时，有一个团队前来订房，但看了房间后说太贵了，不值就打道回府另找去了~', '短评打分': 1}
{'短评内容': '位置不错,闹中取静,离相国寺很近,鼓楼也挺近,开封府步行也能到.服务员态度都挺好.早餐有个油香特别好吃,其他全是素的.', '短评打分': 5}
{'短评内容': '前台的服务人员特别认真，五一期间客房紧张，酒店还一直给我们保留到晚上8点，让我特别感动。酒店的地理位置很好，去山陕甘会馆和大相国寺很方便，离鼓楼夜市也很近。酒店的停车场对于自驾的旅馆很方便。强烈推荐。', '短评打分': 5}
{'短评内容': '酒店还不错，火车站出来打车6元钱，服务员能力一般，住进去要检查一下饮料之类的东西，退房时差点被误会了', '短评打分': 5}
{'短评内容': '住宿条件不错，停车场也很好，只是早餐有点简单了。', '短评打分': 5}
{'短评内容': '交通方便，房间够大，就是晚间骚扰电话太多了。', '短评打分': 5}
{'短评内容': '环境确实不错，很干净，所处的位置离各个景点都很近，很方便，特别是离西司夜市很近的，不过就是如果给服务员要易耗品居然要另外收费，很是郁闷！不是基本上全国都是下午两点退房么，为什么他们是一点呢?弄的我们好被动！', '短评打分': 5}
{'短评内容': '服务员都很好，房间也很干净，最主要的就是离景点很近', '短评打分': 3}
{'短评内容': '前台的服务员非常热亲，亲切。但房间的一床穿单貌似没有更换，提出后服务员及时更换。', '短评打分': 5}
{'短评内容': '嗯，挺好，服务态度也很好，推荐入住，，', '短评打分': 3}
{'短评内容': '服务周到，热情，和我在河南洛阳住的酒店相比简直是天壤之别；房间很干净，床很舒服，设施也很齐全；而且离相国寺就一站路，离龙亭和清明上河园也不远，交通方便，门口就有公交站。', '短评打分': 5}
{'短评内容': '硬件条件还行 员工服务态度非常好 我很满意 地点也不错', '短评打分': 5}
{'短评内容': '很干净，很温馨，服务人员态度很好,距离各个景点都很近，挨着大相国寺，离大润发超市也很近，旅游购物都方便', '短评打分': 5}
{'短评内容': '房间很舒适环景很安静，因为不是第一次来住了', '短评打分': 3}
{'短评内容': '很不错的酒店，位置不错，前台几个小美女服务态度非常热情，呵呵，推荐', '短评打分': 5}
{'短评内容': '已入住，环境还好', '短评打分': 3}
{'短评内容': '地理位置、服务卫生都不错，早餐差点、毛巾、浴巾比较陈旧，总体感觉还行。', '短评打分': 5}
{'短评内容': '酒店虽然比较老旧，但是设施还不错，住着舒服', '短评打分': 5}
{'短评内容': '服务很好啊！而且很干净！非常不错！酒店离每个景点都很近,还有导游服务！', '短评打分': 5}
{'短评内容': '环境很不错很宽敞很舒适！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '服务态度挺好的，房间的硬件设施(除电脑外)还不错。', '短评打分': 3}
{'短评内容': '里面的设施与我的要求以致比较满意', '短评打分': 3}
{'短评内容': ' 该宾馆位于老城区 装修时间久些 毛巾和被褥较陈旧 性价比偏高', '短评打分': 3}
{'短评内容': ' 挺不错的，安静，服务好，设施也不错。二百多性价比还行。', '短评打分': 3}
{'短评内容': '金税宾馆地处繁华市中心,餐饮与购物均很方便,服务人员热情亲切周到,推荐入住.', '短评打分': 3}
{'短评内容': '房间不大，很干净舒适，服务态度不错，以前在网上看别人说服务不好，其实蛮好的！', '短评打分': 5}
{'短评内容': '部分房间没有电脑', '短评打分': 3}
{'短评内容': '感觉很好！位置也不错，是税务局的宾馆，房间稍小点，但很干净整洁，值得推荐。', '短评打分': 5}
