{'短评内容': '挺好的，服务很周到，前台小哥很热情', '短评打分': 5}
{'短评内容': '五一广场附近', '短评打分': 3}
{'短评内容': '五一广场方便', '短评打分': 3}
{'短评内容': '五一广场方便', '短评打分': 3}
{'短评内容': '周边很方便 靠近市区 吃的玩的很多', '短评打分': 5}
{'短评内容': '京东酒店预定服务一流，我没有看清预定日期，而且订单显示不能取消修改，但是客服一样帮我取消了，非常感谢！！！', '短评打分': 3}
{'短评内容': '环境可以，经常住', '短评打分': 5}
{'短评内容': '不错不错，商旅，干净省心。', '短评打分': 5}
{'短评内容': '市中心，离地铁五一广场出口很近，不在马路边在小巷子里，但还是有点吵，离黄兴路步行街有一段距离要走', '短评打分': 5}
{'短评内容': '临近五一广场，出行方便，酒店住着也挺方便和卫生', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '酒店环境不错，干净～房间内整洁，我来住过很多次，服务员的态度都特别好，有问题会马上帮忙解决，值得入住！', '短评打分': 5}
{'短评内容': '在长沙转机的时候住的，虽然周边环境不怎么样，地铁在施工，但酒店内真的不错，非常干净清新，有点像宜必思，赞一个！', '短评打分': 5}
{'短评内容': '酒店不错，环境好', '短评打分': 5}
{'短评内容': '地理位置很方便~除了空调噪音太大影响睡眠，其他都还不错', '短评打分': 4}
{'短评内容': '酒店价格实惠，只是空间与照片似乎有出入，隔音差', '短评打分': 3}
{'短评内容': '房间好小的，还是商务大床房好些', '短评打分': 4}
{'短评内容': '环境还可以', '短评打分': 5}
{'短评内容': '京东定酒店很方便', '短评打分': 5}
{'短评内容': '价格便宜，在市中心这样的房价己很对得起了', '短评打分': 5}
{'短评内容': '订的行政房，房间比较大，设施较旧，椅子比较脏，电视很老式，房间内的还不能看，感觉不舒服！', '短评打分': 1}
{'短评内容': '地理位置不错，方便快捷。卫生情况不错，不过房间有点小，有点压抑。', '短评打分': 5}
{'短评内容': '酒店不错，位置很好，附近购物方便，吃饭方便', '短评打分': 5}
{'短评内容': '酒店不错，卫生很好，位置也好，上街购物、旅游都很方便。', '短评打分': 5}
