{'短评内容': '住的非常舒服，价格合理', '短评打分': 5}
{'短评内容': '别的不多说，下次还会再来！', '短评打分': 4}
{'短评内容': '房间特别宽敞，卫生间无排风，卫生好，周围配套设施齐全，去大东海第一市场等地方便。唯一缺点就是用一下微波炉就要五十元钱，地区人文差异让我们东北人无法理解，老板不够爽快，哎！', '短评打分': 4}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '干净整洁性价比高', '短评打分': 5}
{'短评内容': '老板很好，给我们免费升级了！宾馆位置离第一市场很近，走路十几分钟就能到，公交站台也很近，到大东海、亚龙湾、蜈支洲岛都可以在附近坐公交。老板很豪爽，收房费一点都不积极！哈哈～以后有机会还会再来！', '短评打分': 5}
{'短评内容': '价格实惠！地点中心！设施一般，晚上静！', '短评打分': 3}
{'短评内容': '性价比很高，服务态度没得说，房间整洁干净', '短评打分': 5}
{'短评内容': '老板是个好人，友善健谈，用心打理房间', '短评打分': 5}
{'短评内容': '强烈推荐这件旅店，安静也舒适，房间很大，老板服务态度很好', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '除了移动没信号。。。其他的没得挑了，性价比无敌，周围要什么有什么', '短评打分': 5}
{'短评内容': '整体感觉很好，房间很干净，交通便利。', '短评打分': 3}
{'短评内容': '离汽车站，解放碑都近，火车站机场都有公交车到，晚上吃的也丰富，这个价格就不能要求太多，老板人也不错', '短评打分': 5}
{'短评内容': '还好吧！', '短评打分': 4}
{'短评内容': '旅馆离中心街道解放路和汽车总站都比较近，方便购物和乘车。旅馆房间大且安静，老板态度很好。唯一不足就是没有电梯。', '短评打分': 5}
{'短评内容': '便宜又舒服！ \n很大的房间！\n服务不错\n..................................', '短评打分': 5}
