{'短评内容': 't\u2006lo', '短评打分': 5}
{'短评内容': '还不错吧，都行', '短评打分': 5}
{'短评内容': '设施比较旧了，卫生也不好。酒店前台的服务不错。酒店应该重新装修了', '短评打分': 3}
{'短评内容': '还可以吧，就是不隔音', '短评打分': 5}
{'短评内容': '没有早餐，但是送了些小零食，临走前要充中药，还贴心地给做了开水，服务不错，房间也干净，就是条件有待改善。推荐的对面饭馆味道不错，旁边早餐的牛肉包也挺好吃。总的来说满意。', '短评打分': 5}
{'短评内容': '酒店很干净，前台态度不错，价位也很实惠，一个人住也不害怕', '短评打分': 5}
{'短评内容': '评价大于20元的商品必须10字以上评论', '短评打分': 5}
{'短评内容': '服务很好', '短评打分': 5}
{'短评内容': '写下购买体会和使用感受来帮助其他小伙伴。', '短评打分': 5}
{'短评内容': '位置挺好，吃住方便，服务态度有待提高', '短评打分': 5}
{'短评内容': '挺好的酒店，就是隔音不大好，半夜断断续续有嗡嗡声音，位置优越。', '短评打分': 5}
{'短评内容': '挺好的酒店，就是隔音不大好，以后有机会还会去。', '短评打分': 5}
{'短评内容': '住七天，很好', '短评打分': 5}
{'短评内容': '环境卫生都很好', '短评打分': 5}
{'短评内容': '很好的服务，还送的小点心', '短评打分': 5}
{'短评内容': '很棒！服务也很好', '短评打分': 5}
{'短评内容': '价格适中，交通便利，卫生条件较好', '短评打分': 5}
{'短评内容': '还是那么好，每次出来玩都住你们家，干净，卫生，前台服务很好。', '短评打分': 5}
{'短评内容': '出行较方便，附近商场和餐厅较多，很方便', '短评打分': 5}
{'短评内容': '多次入住该酒店', '短评打分': 4}
{'短评内容': '不错，一直住如家，一直家的感觉。', '短评打分': 5}
{'短评内容': '还可以，实惠', '短评打分': 4}
{'短评内容': '酒店总体来说不错，房间干净整洁，服务比较到位！最重要的是地理位置优越，附近维客超市和世纪地下商场东西还是很实惠的，离火车站坐公交车有4站地，不过就是胶州的公交车不给力，末班车都是19点左右，你如果是坐岸上的火车走就得找个地方歇着了！', '短评打分': 5}
{'短评内容': '大力推荐大家出门在外就选择如家，是最好的选择，价格适中，安全舒适！', '短评打分': 5}
{'短评内容': '如家的床就是舒服，房间的颜色让人感觉就是很温馨，最喜欢的酒店！', '短评打分': 5}
{'短评内容': '挺不错的   地理位置很好  周围比较繁华   不错', '短评打分': 5}
{'短评内容': '如家就是有家的感觉！外出永远会选择如家！', '短评打分': 5}
{'短评内容': '恩,还不错吧,就是不知道什么原因后来有点过敏,可能不是酒店原因吧', '短评打分': 3}
{'短评内容': '房间还算可以，只是隔音不好，靠着马路，早晨被来往的汽车弄醒了。', '短评打分': 3}
{'短评内容': '特惠房间隔音差，其他尚可，房间内物品应该有介绍，哪些免费哪些收费，我是问的前台人员--免费啊。', '短评打分': 5}
{'短评内容': '服务很好，很方便', '短评打分': 3}
{'短评内容': '在胶州还算不错的. 下次再来吧.向朋友推荐.', '短评打分': 5}
{'短评内容': '我去 隔音那叫做一个差劲啊！！！房间也不大 前台接待人也少 人一多都忙不过来 不过态度还算不错', '短评打分': 1}
{'短评内容': '非常好，很干净，住着很舒服，价格也不高，值得推荐。', '短评打分': 5}
{'短评内容': '卫生条件非常让人满意  服务态度也很不错  ', '短评打分': 5}
{'短评内容': '好~第二次住好~第二次住好~第二次住好~第二次住好~第二次住好~第二次住好~第二次住好~第二次住好~第二次住', '短评打分': 5}
{'短评内容': '还不错 就是有点贵 便宜点 就好了 现在好像又涨了 都200多了', '短评打分': 5}
{'短评内容': '胶州市中心，性价比不错，服务很好，推荐入驻', '短评打分': 5}
{'短评内容': '＋还是一样的感觉，来过几次，都很不错…只是这次有点吵', '短评打分': 3}
{'短评内容': '挺不错的~就是我忘了带身份证了~~幸好老婆带着~~~', '短评打分': 3}
{'短评内容': '房间太小太小，不满意', '短评打分': 3}
{'短评内容': '干净，温馨，好！就是房间有点小了，不过很舒服。', '短评打分': 5}
{'短评内容': '住的是特惠大床房，挺干净，就是房间太小啦，不算卫生间就六个多平方吧,是我有史以来住的最下的房间。', '短评打分': 1}
{'短评内容': '经济型酒店，条件及服务都还可以，物有所值吧', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 3}
{'短评内容': '温馨干净，下次还订这家。', '短评打分': 3}
{'短评内容': '第二次住了，感觉还行。服务态度不错，就是感觉空调不是很给力，电视看台再多点就好多了 ！', '短评打分': 5}
{'短评内容': 'good。环境挺好，房间太小，靠楼梯太吵。用品不是很新，不太舒服。', '短评打分': 5}
{'短评内容': '基本上满意，如能改善酒店早餐花色品种，哪就更好轮渡 ', '短评打分': 5}
{'短评内容': '交通便利，服务水平高，早餐质量有待提高，', '短评打分': 5}
{'短评内容': '  房间很干净  服务还可以   就是房间有点儿太小了 ', '短评打分': 5}
{'短评内容': '位置好，周围商圈很方便，下次还住这里；服务态度好', '短评打分': 5}
{'短评内容': '不错 房间很暖和，就是有点小 洗浴的水很热 但电视节目太少了，连我最爱的cctv5都没有，网线没有不知道效果 整体很不错 ', '短评打分': 5}
{'短评内容': '室内温馨，周围环境不错，到市中心比较近，温暖的服务态度', '短评打分': 5}
{'短评内容': '服务水平很高，地理位置也好，去要办事的地方很近', '短评打分': 5}
{'短评内容': '酒店位置不错，也很干净，附近的大超市也并不少，方便。', '短评打分': 5}
{'短评内容': '本店超级棒！就是不含早啊！', '短评打分': 3}
{'短评内容': '位于市中心，靠近世纪酒店，设施还是很新的，出行就是胶州公交太差。', '短评打分': 5}
{'短评内容': '服务设施很新，就是窗户开关有点问题，而且走廊里的消毒水味道比较大，需要改进', '短评打分': 5}
{'短评内容': '服务好，干净整洁，网速也很好，周围很方便，下次还会来', '短评打分': 5}
{'短评内容': '卫生干净、环境不错，美中不足：停车在门口，有探头；但无专人看管停车位。有问题酒店不负责，很是郁闷。', '短评打分': 3}
{'短评内容': '在胶州市中心，附近有3个大型超市，很方便的。', '短评打分': 5}
{'短评内容': '非常好的快捷酒店！尤其是服务堪称一流！非常值得推荐！', '短评打分': 5}
{'短评内容': '服务好，位置也好找，周边的商场超市也很多，小吃也很多，不错，值得推荐', '短评打分': 5}
{'短评内容': '＋宾馆的服务软件和硬件都很好，宾馆位于胶州市中心，商店和饭店都很多。', '短评打分': 3}
{'短评内容': '不错的连锁酒店，方便快捷，下次还会入住。', '短评打分': 5}
{'短评内容': '新酒店，位置也不错，以后如到此还会入住，就是电梯太小了，也太少，赶上人多的时候，要等长时间', '短评打分': 5}
{'短评内容': ' 909', '短评打分': 3}
