{'短评内容': '房间很小 而去设施不足 电视还要我自己动手搜台 浴巾上的logo都不是速八的', '短评打分': 2}
{'短评内容': '无线网络几乎不能用，除了位置好其他不敢恭维，想不明白给好评的怎么想的，就为了一点积分让后来看你评论的人上当吗', '短评打分': 1}
{'短评内容': '位置便利 干净卫生 性价比还可以', '短评打分': 4}
{'短评内容': '哈哈哈哈哈', '短评打分': 5}
{'短评内容': '追求品质肯定不行啦，北京这地什么都贵', '短评打分': 4}
{'短评内容': '还有，不要用携程订，我支付256.结果开票只开214。说只按优惠过的价格开票，', '短评打分': 2}
{'短评内容': '价格比较便宜。没有吹风机。房间小', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错推荐', '短评打分': 5}
{'短评内容': '凑合吧，不是第一次住了，有点小，价钱合适。交通便利，离前门非常近。', '短评打分': 5}
{'短评内容': 'hnsjdjdjdjdij', '短评打分': 5}
{'短评内容': '最便宜的房，没有窗户', '短评打分': 5}
{'短评内容': '不错  挺好的', '短评打分': 5}
{'短评内容': '房间是比较小一点啦，但是位置很好啊，离地铁站比较近，去前门大街走着去就行，晚上也有地方逛。设施稍显陈旧，住一晚而已，没什么的。', '短评打分': 4}
{'短评内容': '离地铁站口超级近，很方便出行，环境也还行，在网上订便宜好多。', '短评打分': 5}
{'短评内容': '卫生间设施欠佳', '短评打分': 3}
{'短评内容': '太脏，我只能说，以后我宁愿多花钱都不会住速八，更何况这也不便宜。希望有用', '短评打分': 2}
{'短评内容': '位置可以房间很小隔音效果不好。', '短评打分': 3}
{'短评内容': '酒店位置很好。订了一个标间一个三人间。三人间是一张大床，一张小床。', '短评打分': 4}
{'短评内容': '酒店位置非常不错！是加分项。环境还可以。', '短评打分': 4}
