{'短评内容': '花300块钱来鼓浪屿住一个十分差劲的名宿 环境差 电视不能看 更过分的是店家服务态度实在是差 失望透顶', '短评打分': 1}
{'短评内容': '潮湿', '短评打分': 3}
{'短评内容': '环境好，房间舒适，交通便利，过马路就是海边，老板和老板娘人也非常热情好客，下次来厦门还会再次光临，必须推荐。', '短评打分': 5}
{'短评内容': '鼓浪屿上的温馨小店，性价比高，到哪去都方便。位置在龙头路边上的锦祥路上，海底世界的后面，好找，服务员小伙也不错。', '短评打分': 5}
{'短评内容': '名副其实，只是一间客栈，房子很小，尤其是卫生间就更小了。使人感到欣慰的是，前台接待员小哥和客栈其他工作人员都很热情，客气。传说中的待人客气热情的老板一直没有出现，无缘得见本尊，更没有得到传说中赠送的厦门特产。客栈的地理位置优势是离美食一条街龙头路比较近。', '短评打分': 4}
{'短评内容': '名副其实，只是一间客栈，房子很小，尤其是卫生间就更小了。使人感到欣慰的是，前台接待员小哥和客栈其他工作人员都很热情，客气。传说中的待人客气热情的老板一直没有出现，无缘得见本尊，更没有得到传说中赠送的厦门特产。客栈的地理位置优势是离美食一条街龙头路比较近。', '短评打分': 4}
{'短评内容': '位置很好，近龙头街，老板人也很好，只是房间设施很一般，房间挺大，洗脸的水池漏水。', '短评打分': 4}
{'短评内容': '酒店服务很好，下次还要来住', '短评打分': 5}
{'短评内容': '服务和设施到位，环境很好，位置也很方便，下次还会选择', '短评打分': 5}
{'短评内容': '我想说性价比较高，一是地理位置较有优势，二是服务不错，真心没订错', '短评打分': 5}
{'短评内容': '住着舒服，真心不错。老板很热心，位置也佷好找达。', '短评打分': 5}
{'短评内容': '首先要赞一个的就是服务，态度特别好，很耐心的告诉我们乘车路路线，周边好吃的，值得去的景点等等，很亲切细致，房间的感觉也蛮好的，温馨舒适，值得', '短评打分': 5}
{'短评内容': '一如既往的好！性价比高，位置方便玩', '短评打分': 5}
{'短评内容': '卫生情况差，设施差', '短评打分': 2}
{'短评内容': '卫生情况差，设施差', '短评打分': 2}
{'短评内容': '整体而言 是标准的家庭旅馆  小老板有些不苟言笑   房间内设施比较齐全  可是有些失修 墙纸脱落 浴室们巴士和毛巾架松动掉落  不过理解  海边的风和水雾是很厉害的 ，  鼓浪屿整体费用较高，大致还算无忧所值，因此还是好评', '短评打分': 4}
{'短评内容': '装修破', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 4}
