{'短评内容': '酒店很不错，早餐很营养，服务周到快速便捷', '短评打分': 5}
{'短评内容': '总的来说相对于这个价位，酒店还是不错的，推荐大家入住，要求不要太高。', '短评打分': 5}
{'短评内容': '今天刚住的，感觉还不错，家庭房较大，不过电线什么的设计的位置不理想', '短评打分': 5}
{'短评内容': '还不错了   卫生比较干净  就是临路边有点吵', '短评打分': 5}
{'短评内容': '还行吧，不是自己住，给别人订的，较实惠干净。', '短评打分': 5}
{'短评内容': ' 还可以吧，可以停车，里面   比较干净。       ', '短评打分': 5}
{'短评内容': '以前没住过此类的快捷酒店，临时有事住了两天，感觉还不错，，，', '短评打分': 5}
{'短评内容': '我想要怒放的生命，就算屹立在彩虹之巅我想要怒放的生命，就算屹立在彩虹之巅我想要怒放的生命，就算屹立在彩虹之巅我想要怒放的生命，就算屹立在彩虹之巅我想要怒放的生命，就算屹立在彩虹之巅我想要怒放的生命，就算屹立在彩虹之巅我想要怒放的生命，就算屹立在彩虹之巅我想要怒放的生命，就算屹立在彩虹之巅', '短评打分': 5}
{'短评内容': '还行吧，就是现在涨价了，o(︶︿︶)o 唉', '短评打分': 5}
{'短评内容': '一如既往的好.相对于快捷酒店里算是数一数二的了哦\n', '短评打分': 5}
{'短评内容': '这家店较新，房间都挺干净舒服的。而且价格很划算呀才139，一点也不比如家的差但价格低了将近100块，而且位置处于比较市中心区交通也还便利，就是隔音真是不好，早上隔壁的关门都能听得挺清楚的，', '短评打分': 5}
{'短评内容': '房间较小，服务人员态度不错，离天一广场和火车东站都不远。早餐比较单调就是了', '短评打分': 5}
{'短评内容': '不错的酒店，地理位置也很好，就是停车有点问题', '短评打分': 3}
{'短评内容': '新开的酒店，设施好，地段好，交通方便，下次还会入住', '短评打分': 5}
{'短评内容': '环境不错，隔音效果差，服务员态度一般般，明明说一点退房，后又不承认，说是新员工，还好没说是临时工，跟鼓楼孝闻店差远了！', '短评打分': 3}
{'短评内容': '酒店是比较干净清爽，就是太吵了，订了个大床房，靠街的，结果晚上吵得不得了，汽车一辆接一辆，真让人受不了，以后不敢再住了', '短评打分': 1}
{'短评内容': '大床房很大很舒服，下次还想住，大金的空调效果不错，', '短评打分': 5}
{'短评内容': '酒店不错  环境很整洁  服务也挺周到  值得推荐平民百姓外出居住', '短评打分': 5}
{'短评内容': '房间比想象的空间大点，热水很热，设施齐全，还有宝洁的免费赠品。总的来说，性价比蛮不错', '短评打分': 5}
{'短评内容': '环境不错，离闹市区近~~服务周到~~很不错，对得起价位~~', '短评打分': 5}
{'短评内容': '酒店相当不错，赞', '短评打分': 3}
{'短评内容': '卫生干净，就是房间小了些，早餐品种不太多，其他都还可以。', '短评打分': 5}
{'短评内容': '酒店位置不错，周边吃饭购物方便，前台服务超好，给力，赞！', '短评打分': 3}
{'短评内容': '酒店位置不错，前台服务超好！给力！', '短评打分': 3}
{'短评内容': '离火车站比较近，环境也比较新，价位可以，值得推荐。', '短评打分': 5}
{'短评内容': '空间虽然很小，但是真的很舒服，房间内的各种设施也很干净,有线电视不错。就是无窗的房间，可能会有点霉味。', '短评打分': 5}
{'短评内容': '酒店干净前台服务超好', '短评打分': 3}
{'短评内容': '酒店干净，前台服务超棒，下次还来！', '短评打分': 3}
{'短评内容': '出乎意外的,家庭房很宽敞,酒店的服务和位置都不错', '短评打分': 5}
{'短评内容': '干净卫生，环境挺好，前台服务员热情，不错，推荐入住。', '短评打分': 5}
{'短评内容': '位置比较便利，房间卫生和环境都不错！\n只是外面停车不是很方便，停了一个晚上车子还被划伤了！', '短评打分': 1}
{'短评内容': '酒店不错，很干净。', '短评打分': 3}
{'短评内容': '服务员态度不错，问路什么的都热情回答了。', '短评打分': 5}
{'短评内容': '卫生、服务都很好啦，交通便捷，建议入住。', '短评打分': 5}
{'短评内容': '总得来说还是不错得，蛮干净的，里面该有得也都有。因为我住得是特价房，房间比较小吧，不过1个人住得话也足够了。', '短评打分': 5}
{'短评内容': '首先说明，我住的是100元假日房，一切都是基于100元的标准做出的评价。\n先打个总分，95分，该有的都有，洗手间有吹风机。空调是大金空调，噪音比较小。电视是网络电视。无线路由上网。窗户密闭性不错，尽管沿彩虹路车挺多的，但是基本上屏蔽了80%的噪音强度。一切都已经控制在可接受范围内。\n不足：我不知道这个100元的节日房相当什么标准的房间。但是床偏小，估计是1.6米宽的，一家三口来住有点挤，不过看在钱', '短评打分': 5}
