{'短评内容': '酒店设施和服务质量非常差！', '短评打分': 5}
{'短评内容': '燥音非常严重 十二点都无法入睡 打报警电话了 ！！！', '短评打分': 1}
{'短评内容': '还可以，環境吾错', '短评打分': 5}
{'短评内容': '一般，门口修路', '短评打分': 3}
{'短评内容': '这个价钱包早餐，包温泉还是很不错的！就是房间卫生间下水道有股子味道！因温泉就在酒店内，所以适合带小孩的来玩！周围有山有水，有公园，自驾游不错！', '短评打分': 4}
{'短评内容': '好差', '短评打分': 1}
{'短评内容': '卫生很差。房间不舒服。酒店很旧了。', '短评打分': 2}
{'短评内容': '\u3000广州温泉望江宾馆位于从化温泉旅游区温泉东路，依傍流溪河旁边。 \u3000', '短评打分': 5}
{'短评内容': '预订中也没说明不含温泉，入住后才说这个价格不含温泉，酒店的设施都无法享用，这不是坑人吗？而且这温泉，明明就是楼顶几个大水桶烧的水。', '短评打分': 3}
{'短评内容': '非常不错 随意望江！', '短评打分': 3}
{'短评内容': '整体感觉不错。因为较晚订房所以订的是双人房，房间比较宽敞，虽然无窗但是由于足够宽，敞所以不显得压抑或者闭塞。电视是老式电视但是清晰多台，浴室宽敞干净。附近有超市和大排档，仙沐园温泉也在附近，晚上可以出去泡温泉。', '短评打分': 3}
{'短评内容': '环境不错，价格超值，空间还好，干净', '短评打分': 3}
{'短评内容': '位置适中，周围吃喝方便，但酒店设施一般。', '短评打分': 3}
{'短评内容': '服务有待提升，房间一股味道。这个价着实贵了。', '短评打分': 1}
{'短评内容': '携程客服推荐的酒店，说是13年新装修过的，预定还要求预授权，而且不可以退，强烈鄙视推荐这个酒店的客房。去到入住很差的，很大霉味、满屋潮气、墙上都长毛了；房间超级不隔音，外面拖鞋遢拉遢拉的声音听得很清楚，一夜都在吵超差的入住体验。唯一就是洗手间就可以泡温泉，可是放了一个小时水都不热。强烈不推荐！', '短评打分': 2}
{'短评内容': '基本可以，但池的卫生，服务态度有待改善！', '短评打分': 3}
