{'descr': '环境是还不错的', 'star': 5}
{'descr': '隔音差', 'star': 4}
{'descr': '非常不划算，看起来也不是很正规，我订的房间比同学订的贵了60多，房间型号一样，空调不给力，半夜被冻醒', 'star': 3}
{'descr': '儿子考研订的，不错，方便', 'star': 5}
{'descr': '都挺好的，下次还可以继续入住', 'star': 5}
{'descr': '不错的酒店', 'star': 5}
{'descr': '还不错。', 'star': 5}
{'descr': '觉得还行，就是房间太小了，隔音效果好。', 'star': 3}
{'descr': '房间好小啊，电视也好小，隔音效果差', 'star': 5}
{'descr': '有地铁，交通比较方便', 'star': 4}
{'descr': '服务很好', 'star': 5}
{'descr': '挺好的，方便', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '房间虽小，但很干净。离审计学院也只一站路。', 'star': 5}
{'descr': '酒店很差，房门四周留得缝隙很大，走道有大声讲话的就跟影响休息，一晚没睡好', 'star': 3}
{'descr': '挺好的，下次在同样地方，还会考虑入住的。就是停车位少，可能对有车的客人有些影响', 'star': 5}
{'descr': '电视太小，没网络电视，台太少，空间太挤，隔音效果不好，有点吵，感觉不值这个价。', 'star': 3}
{'descr': '办好入住一进房间就闻到一股鞋臭味,晚上睡觉楼道里闹哄哄,隔音太差,影响孩子睡眠.房间又高,真不值!!!', 'star': 1}
{'descr': '服务态度很好，酒店住着很舒服，不过价钱不便宜，所谓一分钱一分货', 'star': 5}
{'descr': ' 由于就靠在家门口,来客人总是送到这里,位置好,交通方便,周边配套齐全,房间干净整洁,美中不足的是总是不含早饭,房费也有点贵。', 'star': 3}
{'descr': '总得来说，还是不错的，不过标间床有点小，如果像锦江之星一样一大一小就完美了。', 'star': 5}
{'descr': '不错，比较干净，服务也不错，下次还会住。不过价格有点贵。', 'star': 5}
{'descr': '房间小，地方远', 'star': 3}
{'descr': '恩嫩 不错 = = 至少 走的不算远= =', 'star': 5}
{'descr': '在ELONG定房成功后，到了旅店却告知房间已满', 'star': 1}
{'descr': '位置没有宣传的好，离地铁站也不是很近。房间设施也一般，主要是前台骗人。我要一个比较安静的房间，她说周围都是居民区，可是给我的房间不但是走廊的入口，窗户还对着院内的停车场，怎么可能安静呢？一晚上都在听外面人说话，倒车。', 'star': 1}
{'descr': '入住满意，舒适！服务态度、客房设施都挺不错的~O(∩_∩)O~', 'star': 5}
{'descr': '服务人员还行，就是入住头一天，空调居然会在房间内滴水。', 'star': 5}
{'descr': '服务态度良好。店面整洁温馨。美中不足的是停车位比较少，周边没有早点可以吃。', 'star': 5}
{'descr': '给朋友定的房间，朋友反馈很不错~~~\n就是门头不太好找~~~', 'star': 5}
{'descr': '服务人员还行，就是入住头一天，空调居然会在房间内滴水。 服了，不过后面换来一个房间。', 'star': 5}
{'descr': '位置很好，附近KTV，烧烤，超市一应俱全，服务还不错，关键北圩路真的很安静', 'star': 5}
