{'短评内容': '方便，性价比高。', '短评打分': 5}
{'短评内容': '酒店位置好，交通方便，有洗衣机冰箱等家用电器，', '短评打分': 4}
{'短评内容': '设施齐全，非常适合全家入住', '短评打分': 5}
{'短评内容': '酒店一般般！价格摆在那了。酒店一般般！价格摆在那了。酒店一般般！价格摆在那了。酒店一般般！价格摆在那了。酒店一般般！价格摆在那了。酒店一般般！价格摆在那了。', '短评打分': 4}
{'短评内容': '公寓式不好找', '短评打分': 3}
{'短评内容': '酒店式公寓\n房型与配置都不错\n还有个大阳台', '短评打分': 5}
{'短评内容': '早期装修，太旧了，灯不亮。但老板做人不错，房间过大，设备齐全。', '短评打分': 3}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店附近公交便利 树蔸站有很多公交 去各个景点也很方便 酒店是酒店式公寓 楼层较高 等电梯时间较长 房间设施比较陈旧了 但是好在比较便捷 有阳台 比较透气 还能够晾晒衣服 还有衣架 洗衣机 三个洗手台 洗东西很方便 热水器的水24小时热水 总体还是不错的 就是卫生不咋地', '短评打分': 4}
{'短评内容': '卫生和设施都不错，就是电梯要等比较久和对面的地铁修建，都算不可抗力了', '短评打分': 5}
{'短评内容': '在附近办事很方便，交通也很方便，环境也不错，就是底下地铁在施工实在受不了，晚上有点吵哦', '短评打分': 5}
{'短评内容': '除了周边环境较吵，正在修地铁，其他不错', '短评打分': 5}
{'短评内容': '就是公寓房，感觉像个小家，还不错， 就是卫生做的还不够，建议不如把玻璃杯换成一次性纸杯。', '短评打分': 4}
{'短评内容': '还不错，房间够大就是不是干净有限', '短评打分': 3}
{'短评内容': '还成！！！！！', '短评打分': 3}
{'短评内容': '很好，老板人也很好！', '短评打分': 5}
