{'descr': '酒店电话永远打不通！！！', 'star': 3}
{'descr': '我订的房间不带早餐，不过可以自助早餐18元一位。我这个房间不可以加床，这个房间是大床双人加孩子有点挤，酒店位置从火车站坐地铁5站就到很方便，应该有停车场吧我没有开车不太清楚。', 'star': 5}
{'descr': '我订的房间不带早餐，不过可以自助早餐18元一位。我这个房间不可以加床，可以带孩子酒店位置从火车站坐地铁5站就到很方便，应该有停车场吧我没有开车不太清楚。', 'star': 5}
{'descr': '特价房内窗，房间闷，霉味。周边安静，半夜没停车位，听到斜对面医院走段路。房间还算干净。事先想打电话问停车的事，打了几个没人接。', 'star': 4}
{'descr': '环境不错   干净卫生', 'star': 5}
{'descr': '环境不错，服务一般', 'star': 5}
{'descr': '不错，服务卫生各方面都很好！', 'star': 5}
{'descr': '很不错，服务好', 'star': 5}
{'descr': '很好的体验，最舒适的感觉了。', 'star': 5}
{'descr': '挺不错的，我觉得很好很方便的，大家可以试试看?。', 'star': 5}
{'descr': '很好，感觉还可以', 'star': 5}
{'descr': '服务员态度挺好', 'star': 5}
{'descr': '很好?....服务员态度不错', 'star': 5}
{'descr': '很好?', 'star': 5}
{'descr': '可以很舒适宽敞', 'star': 5}
{'descr': '很好的酒店，离沧浪亭很近，位置好，附近有自行车租赁点，前台服务很好，有门禁，感觉进出很安全，酒店性价比高，连续住了好几天了', 'star': 5}
{'descr': '很好的酒店，离沧浪亭很近，位置好，附近有自行车租赁点，前台服务很好，有门禁，感觉进出很安全，酒店性价比高', 'star': 5}
{'descr': '位置在沧浪亭附近，很美的地方，前台服务态度很好，进入宾馆要刷卡，感觉很安全，有早餐，20一位自助餐，很棒，服务员也很有礼貌，房间打扫的很干净', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '价格便宜，酒店干净整洁，性价比高！', 'star': 4}
{'descr': '房间很好不错', 'star': 5}
{'descr': '还不错', 'star': 4}
{'descr': '位置不错，到沧浪亭或往十全街、网师园都算方便，往南还可以去码头坐船游护城河，算是南门一带性价比高也干净的快捷酒店了。但是设施有点老旧了，总体卫生还不错。', 'star': 4}
{'descr': '帮朋友订的，听说挺不错的', 'star': 5}
{'descr': '卫生不错，挺干净的……环境也很好，市中心，去哪都近。服务不错……性价比很高', 'star': 5}
{'descr': '就在苏州市中心，老城区。景色优美，距离观前街很近。下面很多小吃。', 'star': 5}
{'descr': '不错的，还可以的，就是有点小', 'star': 5}
{'descr': '地理位置很不错 就是稍微找的时候转了几圈 离各个景点都很近 很方便', 'star': 5}
{'descr': '酒店整体颜色还比较温馨，交通很方便尤其是去观前街，酒店门口就是个站台。适合旅游。就是这个住在一二楼是比较潮湿的，还莫名的很冷啊虽然是夏天都感觉冷的。比较干净，服务也不错。就是隔音效果使人比较困扰。', 'star': 4}
{'descr': '里面的设施都不周到，就是隔音效果挺差的。', 'star': 5}
{'descr': '服务很好，房间也很干净，可能住在一楼，房间有些潮。', 'star': 5}
{'descr': '干净，一层进去有点潮，家具有点旧，淋浴水压很大，还行', 'star': 5}
{'descr': '环境还可以，关键是价格比较实惠，下次还来这儿。', 'star': 5}
{'descr': '各方面都还不错，下次过来还会考虑，就是旁边吃饭什么的不太方便', 'star': 5}
{'descr': '  竹辉路的这家店还蛮好的，就是房间有点小', 'star': 3}
{'descr': '该酒店如果不是太需要可以不考虑，我是单位在旁边图上班方便，住宿的浴巾和毛巾实在太旧感觉也很脏，屋里的椅子也很破，隔音也不好', 'star': 1}
{'descr': '挺好的，走道的房间太吵了，晚上都不好睡觉', 'star': 5}
{'descr': '酒店不错 很满意  下次还会住这里的酒店不错 很满意  下次还会住这里的酒店不错 很满意  下次还会住这里的酒店不错 很满意  下次还会住这里的酒店不错 很满意  下次还会住这里的', 'star': 5}
{'descr': ' 环境不错，主要是干净', 'star': 3}
{'descr': '有点小，隔音效果一般', 'star': 3}
{'descr': '不错，很干净，周围也比较清静，只是在梅雨季节一楼有点潮湿。', 'star': 5}
{'descr': '还不错，价格公道，环境好。', 'star': 3}
{'descr': '很不错，房间干净，交通便利，出差旅游选择的最佳栖息之所。', 'star': 5}
{'descr': '交通比较便利，出门有公交车也可以打车；房间虽然小，但是很干净，家具和生活用品一应俱全！', 'star': 5}
{'descr': '不错，设施齐全，房间内家居用品也都很干净。', 'star': 5}
{'descr': '一般吧，一层房间有点霉味。服务相当不错。也挺干净。', 'star': 5}
{'descr': '经济实惠，下次还住那里。周围吃饭购物特别方便', 'star': 5}
{'descr': '很实惠！', 'star': 3}
{'descr': '如家单纯、实惠，很方便。餐饮供应可以进一步改进。', 'star': 3}
{'descr': '房间干净整洁，大小适中。交通也便利，就是受不了那种小卡片的到处发放。遇到过的人会懂的。我是一女生，所以特看不惯。', 'star': 5}
{'descr': '室内的空间布局还是不错的，显得宽敞，环境也还可以，干净整洁，美中不足的是没有窗户，显得闷，空气质量较差，必须开空调', 'star': 5}
{'descr': '离我去的地方很近，房间很干净，下次还会去的', 'star': 5}
{'descr': '如家我是第一次入住，这个分店的客房位置不错，不临街，还蛮安静，卫生也还行，就是隔音效果不太好，隔壁说话都能听到。', 'star': 5}
{'descr': '其他都不错、就是隔音太差了、我住的还是标准间……', 'star': 5}
{'descr': '不错！房间挺干净，不过特价房都在一层，通风不好！不过想想就这个价格真的很值了!', 'star': 5}
{'descr': '蛮不错的 很干净，服务很好...............', 'star': 5}
{'descr': '蛮不错的 很干净，服务很好....................', 'star': 5}
{'descr': '蛮不错的 很干净，服务很好.。。。。。。。。。。。。', 'star': 5}
{'descr': '房间很干净，内容很好，卫生，交通方便，服务态度很好啊', 'star': 5}
{'descr': '隔音效果太差，深更半夜隔壁在赌钱，吵死了', 'star': 1}
{'descr': '上次住的是一楼的29号房间！设施和环境都很好！唯一的不足就是在那手机信号不好！这点有点郁闷！呵呵！', 'star': 5}
{'descr': '房间挺大，经济舒适，前台寄存行李很周到，就是隔音不好', 'star': 5}
{'descr': '偶尔遇到洗不干净的床上用品，不过确实是每客一换', 'star': 5}
{'descr': '房间比想像中大很多，虽然是无窗的大床房，也很宽敞，尤其是浴室，比一般双床房的还宽敞。用具很整洁，墙边的书桌很实用很有爱。', 'star': 3}
{'descr': '不错，地段好，价格合理，也干净卫生，值得推荐', 'star': 5}
{'descr': '不错 一如既往 苏州我一直选这家 尼玛 不过评论为啥非要二十字涅', 'star': 5}
{'descr': '空调还挺暖和的，房间也不小，就是网不稳定，网速太慢，网页打不开', 'star': 5}
{'descr': '出门办事挺实惠，不过网上订的房客只给住一楼，通风不够好，卫生间味道大，网络太太太慢', 'star': 5}
{'descr': '房间挺干净的 环境很舒适 下次还会入住 希望越办越好', 'star': 5}
{'descr': '酒店位置蛮好的，喜欢夜生活的朋友可以考虑，附近有好多酒吧。房间满整洁的，服务态度也不错，就是隔音效果有点差，会有点吵。', 'star': 5}
{'descr': 'gaijiudianbucuo wojuede xiaci  keyi jixu ruzhu ', 'star': 5}
{'descr': '不是第一次入住了 总体感觉还算满意 下次还会入住 ', 'star': 5}
{'descr': '在苏州，能以低价碰到这么好的住处，很不错，性价比也很高，极力推荐，客服也非常好！', 'star': 5}
{'descr': '房间挺干净的 环境很舒适 下次还会入住 希望越办越好', 'star': 5}
{'descr': '总体来说感觉还不错 服务人员很热情 环境也很好 如果晚上能少听到点叫声 就更好了', 'star': 5}
{'descr': '价格实惠 卫生干净 环境优雅 早饭香甜 网络通畅 ', 'star': 5}
{'descr': '交通还可以，隔音效果不咋了.热水非常好，空调制热很快，灯光标间的希望弄亮些！', 'star': 5}
{'descr': '很安静的酒店，出行也方便，银行、超市周边都有。', 'star': 5}
{'descr': '不错，干净 。。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '价格还是很实惠，周围吃饭购物也很便利', 'star': 3}
{'descr': '蛮不错的，就是早上有点吵，都跑去上班了', 'star': 3}
{'descr': '一楼卫生间下水道味道比较重，隔音效果稍微差了点', 'star': 5}
{'descr': '房间很大，涩北很充足，地处繁华，商店众多，交通便利、周围环境却比较安静。', 'star': 5}
{'descr': '房间在1楼，晚上来来回回的脚步很吵，屋里有股味道，很小。', 'star': 5}
{'descr': '已入住，还不错，请帮忙确认啊！', 'star': 3}
{'descr': '一如既往的不错 就是有些客人有点吵', 'star': 3}
{'descr': '服务很好，卫生很好，就是隔音不好，走道上來往往都听得一清二楚', 'star': 3}
{'descr': '房间条件较好,性价比较高,很好！', 'star': 3}
{'descr': '房间很整洁,住宿条件尚好,交通方便。', 'star': 3}
{'descr': '房间干净整洁，性价比很高。', 'star': 3}
{'descr': '不错，卫生，交通便利，还好啦。。。就是住宿的第三天，客服打电话来说要我更换房间，我说我预定了三天的，客服态度不是很好，希望有所改进', 'star': 5}
{'descr': '还行，比较干净,就是没地方停车，还得另外付费停到一家医院的停车场里。', 'star': 5}
{'descr': '回头客了，还不错', 'star': 3}
{'descr': '一如既往的好，服务员很热情，早餐也不错哦', 'star': 5}
{'descr': '这个价位真的是很超值，下周过来还住那里。', 'star': 3}
{'descr': '舒适，性价比高，就是隔音效果太差，会有干扰。', 'star': 5}
{'descr': '  还行吧   就是酒店大门太小', 'star': 3}
{'descr': '会向朋友推荐这家酒店，环境、卫生都不错，性价比高，挺好的。', 'star': 5}
{'descr': '很不错哦，值得住。干净卫生，我下次还会来的哦，笑嘻嘻笑嘻嘻', 'star': 5}
{'descr': '如家的隔音确实差，隔壁说话声，走廊脚步声，声声入耳，看来这样价位的经济酒店只能凑合住，不适合节日旅游休闲住，睡不好，第二天也玩不好！', 'star': 1}
{'descr': '性价比很高，周围有购物中心影院酒吧。。。', 'star': 5}
{'descr': '酒店面积不大\n但设施基本齐全\n唯一遗憾的就是没有无线上网\n入住时最好自备笔记本\n晚上睡觉很安静\n', 'star': 5}
{'descr': '性价比高.经济实惠.只是房间有点小.但瞒干净.', 'star': 5}
{'descr': '还是和以前一样出了房间里有一点点异味', 'star': 3}
{'descr': '还不错，地理位置好', 'star': 3}
{'descr': '服务很好，隔音方面有待加强（我是为了考试而住店的，这个最重要啊）。虽说隔音方面是经济型酒店的通病，但是既然是通病，稍稍注意一下就出类拔萃了呵呵。\n另外，我住的房间水槽的塞子怎么打不开的。。。', 'star': 5}
{'descr': '酒店干净，卫生环境很好，服务态度很不错哦', 'star': 5}
{'descr': '挺好的，在乌鹊桥路和竹辉交叉口…相对安静，房间没有锦江大但也不错…', 'star': 3}
