{'短评内容': '都还行，一般吧！', '短评打分': 5}
{'短评内容': '挺好的，位置方便，价格不贵', '短评打分': 5}
{'短评内容': '我付款149，开票只能开141，消费也进不了房费，床太硬，没有暖气，墙面掉漆严重，总之这次入住非常不满意。差评', '短评打分': 2}
{'短评内容': '还可以吧。旧了点', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '竟然没有wlan打了几次反应给前台都没弄好网络，失望', '短评打分': 3}
{'短评内容': '中规中矩', '短评打分': 3}
{'短评内容': '还算可以吧', '短评打分': 5}
{'短评内容': '我住的618房间请不要再核对', '短评打分': 3}
{'短评内容': '环境不错，服务也不错', '短评打分': 4}
{'短评内容': '很好，长清不多的快捷酒店，在长清这个价位的算不错的了。', '短评打分': 5}
{'短评内容': '大床房间有点小，不过还算干净。服务态度不错。', '短评打分': 5}
{'短评内容': '价格还比较实惠吧', '短评打分': 3}
{'短评内容': '房间比较小。挺干净的 ，主要是价格比较合适。', '短评打分': 5}
{'短评内容': '尚可。房间较小。没去过长清其他酒店。马马虎虎吧。', '短评打分': 5}
{'短评内容': '还好，就是房价有点小，没有选靠马路的房间，还好，没有太大噪音。', '短评打分': 5}
{'短评内容': '地理位置不太好。而且周围也没什么好逛的 ，去哪儿都不太便利。', '短评打分': 1}
{'短评内容': '很干净.很喜欢!', '短评打分': 3}
{'短评内容': '沿路边车辆声音比较大,尽量挑间噪音小的房间', '短评打分': 5}
{'短评内容': '首先，前台工作人员服务热情及时，可见领导管理方面较好；\n其次，由于赴考入住期间正好赶上装修，前台工作人员解释了详情并尽量挑了一间噪音小的房间，可见考虑旅客方面非常周到；\n最后，希望酒店愈办愈好！“金无足赤人无完人”，相信经过不断完善，生意将更加兴隆！', '短评打分': 5}
{'短评内容': '还不错的酒店  不知道这个言论是否违反了国家法律  如有违反请见谅', '短评打分': 5}
{'短评内容': '一般，没有早餐提供。沿路边车辆声音比较大', '短评打分': 5}
{'短评内容': '房间隔音效果极差，317和318房间的隔音效果极差，318靠近路边，晚上噪音极大，无法入睡，空调不能使用，暖气不热，晚上有点冷', '短评打分': 1}
{'短评内容': '环境还好 就是水不太好', '短评打分': 3}
{'短评内容': '房间设备电视沉旧，房间隔音较差。', '短评打分': 3}
{'短评内容': ' 有没有搞错?网上订的与实际不符!', '短评打分': 3}
{'短评内容': '最好不要住靠近马路的，还有，两间房间中间的隔板太差了，隔壁“床振”，女人YJ声都TMD传过来。', '短评打分': 1}
{'短评内容': '酒店不错，早餐很好很丰富', '短评打分': 1}
{'短评内容': '性价比很高,交通便利,购物食宿很方便.', '短评打分': 3}
{'短评内容': '床非常小，没有免费的洗漱用品，其他的还不错', '短评打分': 5}
{'短评内容': '服务还行。空间微小', '短评打分': 3}
{'短评内容': '＋整体环境和硬件设施都还不错，就是房间有点小，隔音效果一般', '短评打分': 3}
{'短评内容': '挺好', '短评打分': 3}
