{'descr': '冷', 'star': 1}
{'descr': '住如家最差的一次体验，床垫硬死，晚上没热水，床单不干净。看图，仔细找能找到毛毛', 'star': 1}
{'descr': '第二次入住，房间不大，隔音还不错，卫生可以', 'star': 5}
{'descr': '房间很小，其他没什么了', 'star': 5}
{'descr': '位置非常不错，楼下就有“护国寺小吃”和“庆丰包子”，交通方便，离地铁站步行三分钟即到。出差办事，旅游，住这里就行。', 'star': 5}
{'descr': '要是被分到六楼的房间 就tm呵呵了', 'star': 1}
{'descr': '挺好的，不错&hellip;', 'star': 5}
{'descr': '总体还可以，环境有点儿嘈。', 'star': 5}
{'descr': '脏乱差 再也不会住快捷酒店了', 'star': 3}
{'descr': '房间比较小，其他还好。', 'star': 5}
{'descr': '还可以！旁边有护国寺小吃和庆丰包子铺', 'star': 4}
{'descr': '还行吧', 'star': 4}
{'descr': '经济实惠，价格不高', 'star': 5}
{'descr': '总体比较好，屋子有些小，但是挨着门禁所以有点吵～', 'star': 5}
{'descr': '连住了四天，真心不错，价格便宜', 'star': 5}
{'descr': '位置很好，周边配套完善，十分方便出行，服务态度总体不错，房间不算太大，其他就是一如既往的如家风格了，值得推荐。', 'star': 4}
{'descr': '服务好，楼下就是庆丰包子，离地铁口不远。', 'star': 5}
{'descr': '房间较小，设施一般', 'star': 4}
{'descr': '还不错', 'star': 4}
{'descr': '还不错 挺干净的 价格便宜 还有窗户', 'star': 4}
{'descr': '安静整洁，环境不错！', 'star': 5}
{'descr': '地铁较近,楼下小吃店多,比较方便,可步行至火车北站', 'star': 5}
{'descr': '地理位置很好，离地铁站很近，房间还是比较卫生整洁但是房间太小，隔音太差了，而且每晚还有不明人士往房间里塞低俗卡片。。。', 'star': 1}
{'descr': '酒店位置离地铁口很近,出行方便,周围吃早餐什么的地方也挺多,而且卫生间很大,有窗,晾晒的衣物容易干,但隔音的确不太好,小广告每天都有,卫生感觉一般,总的来说推荐,如果再去,应该还会住', 'star': 5}
{'descr': '这家店的服务真不错，尤其是前台，太亲切了，就是房间地方小了点，北京真是寸土寸金啊', 'star': 5}
{'descr': '地方很安静，服务人员也热情，缺点是:房间闷潮的厉害，隔音很差。', 'star': 5}
{'descr': '房间很小，水龙头坏了，有限电视刚好也坏了，服务员态度倒是好，但是最后什么也没修好', 'star': 3}
{'descr': '什么时间住的，我也忘了，离地铁口有点远。其它事情忘记了', 'star': 5}
{'descr': '服务不错，就是房间小点', 'star': 3}
{'descr': '还不错，前台态度不错。周围吃的，购物的地方挺多的。', 'star': 5}
{'descr': '离两个地铁口都很近，房间小点但是干净。北京的如家隔音都一般，但是这个价位来说算是不错了', 'star': 5}
{'descr': '茹家快捷新街口店地理位置好，出行方便，房间整洁干净但有些狭小。', 'star': 3}
{'descr': '感觉房间有点小，时钟酒店啊', 'star': 3}
{'descr': '房间小了点 不过设施还是挺新的 安保做的也挺不错', 'star': 5}
{'descr': '房间有点小别的还好', 'star': 3}
{'descr': '利地铁站很近，很方便。\n屋子稍微小点，隔音也不是很好，不过还算干净。', 'star': 5}
{'descr': '酒店地点有些偏，房间格局偏挤，如果临时住一下海可以。', 'star': 5}
{'descr': '房间较小，出入不是很方便。离地铁比较近。总体不是很满意。', 'star': 1}
{'descr': '这个酒店就像旅社一样，是我目前见过最差的如家酒店。不知道是不是北京的房价太贵了。房间很小，装修感觉档次很差，完全达不到经济型酒店那种装修。隔音效果差到隔壁打呼噜都能够听到，更不要说走廊外面脚步声了。酒店的前台也特别小，刚来的时候还找不到前台。', 'star': 1}
{'descr': '虽然空间不是很大，但却非常舒适。暖气很给力，有点家的感觉呢!', 'star': 5}
{'descr': '楼道里有点吵，还有特殊服务的小广告，房间隔音效果也不好。其它还不错，服务人员也挺热情。', 'star': 5}
{'descr': '还不错，宾至如归。', 'star': 3}
{'descr': '还不错，就一点不好，晚上睡觉的时候感觉总有人来推门。', 'star': 5}
{'descr': ' 比较舒适，不错', 'star': 3}
{'descr': '非常好 温馨舒适 干净 周边设施齐全 如家还是没得说的', 'star': 5}
{'descr': '如家一如既往的 舒适干净 服务周到 买东西以及交通都比较便利  隔音稍差 总体很好', 'star': 5}
{'descr': '服务态度很好，房间虽小却很温馨，卫生条件还可以而且环境安静.楼下有超市方便！！', 'star': 3}
{'descr': '二环内 交通方便  房间很小~\n\n不顾还可以', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '不错，给外地来的朋友定过两次，离西直门2号线和新街口4号线都很近，交通方便。\n房间虽小，但是干净。可以有线上网', 'star': 5}
{'descr': '周末在如家北京新街口店,房间虽小但干净,酒店走廊有门禁感觉很安全,离地铁较近', 'star': 3}
{'descr': '房间太小，跟其他房间也相隔很近，很吵。交通还算方便，地铁口出来要走10多分钟路', 'star': 1}
{'descr': '还行', 'star': 3}
{'descr': '隔音太差，隔壁上廁所都聽的到，這樣還能安靜睡覺嗎\n', 'star': 1}
