{'短评内容': '#ud83d#udc2d', '短评打分': 5}
{'短评内容': '洗手盆没有热水   其它都不错', '短评打分': 5}
{'短评内容': '酒店位置不错，民航大厦不远，万达广场龙塔附近，价格也算合理。', '短评打分': 5}
{'短评内容': '位置很好，周边设施吃行都挺方便', '短评打分': 5}
{'短评内容': '房间 很干净  前台服务也很好', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还不错，就是有点小', '短评打分': 4}
{'短评内容': '服务态度很好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '性价比还可以', '短评打分': 3}
{'短评内容': '好好好好好好好好好好', '短评打分': 3}
{'短评内容': '值得一住的好宾馆 赞', '短评打分': 3}
{'短评内容': '一般般。。。。。。。。。', '短评打分': 3}
{'短评内容': '好的好的好的好的 不错不错不错不错', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 3}
{'短评内容': '环境不错，服务很好，方间虽然小些，但是床很大，很干净，设施齐全！', '短评打分': 3}
{'短评内容': '宾馆刚开业，房间很干净，也很安静，24小时洗澡热水，不足：开发票要提前一天比较麻烦，暂时不能刷卡消费。', '短评打分': 5}
{'短评内容': '服务还好，很干净，就是房间太小了。', '短评打分': 3}
{'短评内容': '一般的体验，除了价位合理。电脑有故障用不了，房间没有服务电话，退房后不能立即开发票，说需要邮寄。早餐还不错。', '短评打分': 3}
