{'短评内容': '适合带孩子，大床挺大。酒店位置不错，旁边就有夜市，还挺热闹。门口不远有停车场，停车收费。总体不错，性价比可以。', '短评打分': 4}
{'短评内容': '很好适合出游时选择，关键是便宜且干净', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '市区，位置很好，这价格在三亚简直啊没的说了', '短评打分': 5}
{'短评内容': '位置不错，市中心，价格实惠。', '短评打分': 5}
{'短评内容': '不错的房间，感觉还蛮新的。住的也舒服', '短评打分': 5}
{'短评内容': '总体过得去吧。', '短评打分': 4}
{'短评内容': '我们两口子在三亚选择如家酒店就是看好这个连锁酒店了，可是入住头一天（302）房，wifi就没有信号，问前台前台给的答复是因为台风，我只好用自己的流量，第二天还是这个情况我真无语了，这么大个连锁酒店会这样，原打算住一个月，无奈挪到附近一家个人开的旅店，嗯真不错人家wifi就没的说，我只想说如家如家希望以后我在出行旅游时或许能考虑你家％50吧……', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '房间隔音太差，半夜三更还有小孩哭闹，戴上耳塞睡的，也是太累了', '短评打分': 5}
{'短评内容': '很好的，周边吃的也多，去个个景点坐公交也比较方便', '短评打分': 5}
{'短评内容': '比较陈旧', '短评打分': 5}
{'短评内容': '还好', '短评打分': 5}
{'短评内容': '前台接待很好，入住环境不错，好评', '短评打分': 3}
{'短评内容': '很好，酒店不错，好评', '短评打分': 3}
{'短评内容': '还可以！！！！！！！！', '短评打分': 3}
{'短评内容': '这家店真是住的很值，去哪里都方便！', '短评打分': 5}
