{'短评内容': '性价比较高', '短评打分': 5}
{'短评内容': '不错，设施齐备', '短评打分': 5}
{'短评内容': '不错的一次购物。。。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '住着很舒服哦，交通也便利', '短评打分': 5}
{'短评内容': '热带风格酒店 异国情调 服务周到礼貌 值得称赞 这个属于海南少有啊', '短评打分': 5}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '酒店装修比较老了 蚊子大大的多 但是服务很周到热情 走时忘带身份证 联系啦酒店马上就帮忙找 装在一个废纸袋里 本来都感觉没希望啦 竟然帮忙找回来 非常感谢', '短评打分': 4}
{'短评内容': '不错 还可以', '短评打分': 4}
{'短评内容': '交通便利，距凤凰路和迎宾路均百米之遥', '短评打分': 5}
{'短评内容': '酒店设施挺齐全的，客房干净整洁，服务员服务态度非常好，交通也很方便，性价比很高，推荐！', '短评打分': 5}
{'短评内容': '装修比较旧了，周边环境一般，小饭店不少，价格还算便宜的', '短评打分': 4}
{'短评内容': '服务态度非常好，前台妹子好漂亮，餐厅服务很周到，客房打扫很细心，好朋友介绍的酒店超值。', '短评打分': 5}
{'短评内容': '很满意的一次住店，酒店位于月川中路，交通便利，环境优美，房间采光好、安静而且设施齐全。服务员热情好客，服务周到。价格实惠，同等价位酒店中的不二之选，下次来三亚还会来，推荐之。。。', '短评打分': 5}
{'短评内容': '总算坐了回沙发。\n对于这家酒店评价的确很矛盾，这个酒店刚刚开业，硬件条件不错，但是软件方面确实不敢恭维。首先，地理位置虽然离市区较近，但是在一套背街，不好打的，出行不算方便，初次到店行李还是自己取行李车推进来的，和前台、门童订车吧，告知要加倍付车费才肯，郁闷之极！其次，挺好的咖啡厅，蚊子、苍蝇出奇的多，好像也没人管，吃顿饭吧服务员会给你发一个电蚊拍，让你自己解决蚊蝇困扰！真的需要改进的地方太多了，', '短评打分': 5}
