{'短评内容': '第二次去了，就这样吧，总体还行', '短评打分': 4}
{'短评内容': '家庭客栈，总体不错，找不到的话老板会来接，好评。', '短评打分': 5}
{'短评内容': '很棒！ 下次来还会住这家，客栈老板也很好。', '短评打分': 5}
{'短评内容': '有点难找，一栋栋楼不是按，门牌号顺序的。店家很热情来接我们，推荐我们旅游线路，很热情！紧致大床房太mini了，走路有点拥挤，睡一晚忍忍吧。遥控机都有点脏，希望能清洁消毒，空调制热效果不佳地理位置不错，码头走过去10几分钟，到普济寺也10就分钟', '短评打分': 4}
{'短评内容': '外观很差，内部装饰还可以，隔音很差。老板娘服务很差，一副欠多还少的表情。不该给4.5总分。介绍没外观图有点误导消费嫌疑', '短评打分': 2}
{'短评内容': '给五分的是老板的服务态度，到走都接送，整个普陀比较运营的比较成熟。老板家自己有300的海鲜套餐，要提前预约，没吃到；但是房间是真的小。', '短评打分': 4}
{'短评内容': '民房改做旅馆，很久的房子，空间小。', '短评打分': 3}
{'短评内容': '性价比很高 房间也还可以', '短评打分': 4}
{'短评内容': '和以前住的是同一老板开的，房间就是小了一点，明年挑大的房间住，吃饭也方便，习惯找这家了。', '短评打分': 5}
{'短评内容': '看到客栈的评分高才选择了这个酒店，入住后那个失望真是一个透顶，房间8平米真的无法想象得小，基本无法在其中走动，另外，被子睡过后，背部痒了几天，可见其脏，另外，入住后，再次联系工作人员，完全不接电话，直至第二天的退房时间，工作人员第一时间接听了电话，并以最快的速度办理退房。总结如下：1、地段非常远，步行10分钟以上，交通非常不便；2、卫生环境很差，太不负责任。3、无任何所谓服务，完全靠自行打理。希望', '短评打分': 1}
{'短评内容': '很有想法的老板，麻雀虽小五脏俱全，下次还会选择入住的', '短评打分': 5}
{'短评内容': '可以', '短评打分': 4}
{'短评内容': '一般吧，是自家房子放出来给客人住的，房间还可以，只是房东自用的东西都放在房间里，感觉不太好。热水器是电热的，一个人洗完以后要等一段时间才能接着洗，很费时间。以后还是住酒店比较方便。', '短评打分': 4}
{'短评内容': '星期六价格有点贵，有人到码头接。总体不错!', '短评打分': 5}
{'短评内容': '老板很热心，客栈很干净，离普济寺不远，出行方便。推荐这家新开的客栈，也祝愿客栈生意越来越好！', '短评打分': 5}
{'短评内容': '非常干净整洁，服务超好的一家店，是老板和亲戚合开的一家旅馆，很多客人都说是当地个人开发旅馆中最好的一家店。我觉得和连锁酒店一样的好。其实出门旅行，干净最重要，这家旅馆有如镜面般光洁的木质地板，洁白的墙壁，干净的床褥，夏天去的，床上还铺着舒服的凉席，有空调，独立卫生间非常整洁，包含香皂、牙具、毛巾、衣架。地理位置离码头很近，步行15分钟左右，在民宅之中，安静又不偏僻。\n    最温暖人心的是老板全家', '短评打分': 5}
{'短评内容': '酒店的卫生很好，还是新装修，老板人也客气。就是房间小了点，不过家庭酒店大家都清楚的，房间上也不能要求太高，下次有机会在去的话还准备住这。特别推荐去的朋友可以提前和老板联系吃饭事宜，并说好标准，老板自己家烧的还是蛮经济实惠。在普陀山外面吃实在是贵啊！！！', '短评打分': 5}
{'短评内容': '这家客栈很干净环境很幽静，客栈老板母亲非常热情烧的菜非常好吃，老板也很热情，冒着大中午的太阳帮我们把行李送到码头。感谢老板母子两的热情招待！', '短评打分': 5}
{'短评内容': '不错。第一次来。可以。', '短评打分': 3}
{'短评内容': '服务非常好，\n老板态度非常赞，还送行李到码头，免去我们后顾之忧\n赞一个，下次来还住这', '短评打分': 5}
{'短评内容': '价格和经济型酒店差不多，可感觉更舒适。设施很新，床上用品干净、卫生，最喜欢的是淋浴水大，水温合适，感觉超好。店家热情、周到。尤其是他家的饭菜，既有地方特色，又好吃还实惠。如果再来普陀，一定还会住这儿。', '短评打分': 5}
{'短评内容': '服务还不错，店主也蛮热情，但是环境一般般', '短评打分': 1}
{'短评内容': '酒店卫生工作可以，老板很热情…能上网…蛮好的', '短评打分': 3}
{'短评内容': '上个周末临时决定去普陀山玩，网上找住宿找了半天，无意间看见了源福苑客栈，价格适中，正好有一个单人间，于是就订了房间。到了之后打电话给老板，周老板亲自来码头接我，老板说我是他网上开通预订下订单的第一个客人，没想到刚开通过一会儿我就下订单了，哈哈，真的好有缘分啊。\n因为是试运行没想到这么快就被预订，原来的房间有个团队已经订掉了，于是老板安排我去离普济寺很近的单位宾馆住宿，很不错的房间，干净舒适，物超所', '短评打分': 5}
