{'短评内容': '非常好。停车场很大。', '短评打分': 5}
{'短评内容': '不错 就是房间有点小', '短评打分': 5}
{'短评内容': '环境还不错，方便', '短评打分': 5}
{'短评内容': '中国好酒店', '短评打分': 5}
{'短评内容': '老婆兔子五天我00为我哭', '短评打分': 5}
{'短评内容': '满意，服务满意', '短评打分': 5}
{'短评内容': '位置挺好找的，环境也不错，就是电梯略慢。', '短评打分': 5}
{'短评内容': '一直在买很好的产品的', '短评打分': 5}
{'短评内容': '酒店太陈旧，改重新装修一下', '短评打分': 5}
{'短评内容': '维也纳我是再也不去了，想想就心累。', '短评打分': 1}
{'短评内容': '还没去 第一次在京东订酒店 回头再评价', '短评打分': 5}
{'短评内容': '酒店位置很方便，条件一般般还不错', '短评打分': 5}
{'短评内容': '订房间速度很快，不到十分钟确认了', '短评打分': 5}
{'短评内容': '不错不错，方便方便\n不错不错，方便方便\n不错不错，方便方便\n不错不错，方便方便', '短评打分': 5}
{'短评内容': '不错不错，方便方便\n不错不错，方便方便\n不错不错，方便方便\n不错不错，方便方便', '短评打分': 5}
{'短评内容': '不错不错，方便方便\n不错不错，方便方便\n不错不错，方便方便', '短评打分': 5}
{'短评内容': '质量好好，家里人都好喜欢，放心购买，安心使用，京东就是中国好电商', '短评打分': 5}
{'短评内容': '这家酒店住了很多次，很喜欢装修风格，床不软不硬的很好睡觉，洗澡的水很快就热了，不用等很久！！好评！', '短评打分': 5}
{'短评内容': '挺好的！！！！！！', '短评打分': 5}
{'短评内容': '维也纳酒店(深圳火车站店) 豪华单人房1.8米大床，全家住了3天。', '短评打分': 5}
{'短评内容': '维也纳酒店(深圳火车站店) 豪华单人房1.8米大床，全家住了3天。', '短评打分': 5}
{'短评内容': '出现了点小问题，给京东客服打电话后，与维也纳深圳火车站店的服务人员一同解决了，不错，只是房间有点吵', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '没明白怎么出了一个测试的订单。', '短评打分': 5}
{'短评内容': '维也纳还是不错的，这个价格住感觉还是不错', '短评打分': 5}
{'短评内容': '自从京东积分可以抵现金的时候，才知道积分的重要。后来我就把这段话复制了，走到哪，复制到哪，即能赚积分，又能么么哒...服务态度不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '就那样', '短评打分': 4}
{'短评内容': '环境 地理位置都很好', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '床还睡得挺好的', '短评打分': 3}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '很不错的酒店', '短评打分': 5}
{'短评内容': '地理位置ok,还可以。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好，爽快', '短评打分': 4}
{'短评内容': '环境不错，交通方便，值得推荐', '短评打分': 5}
{'短评内容': '还不错。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '酒店整体感觉不错，床很舒服。', '短评打分': 3}
{'短评内容': '维也钠酒店深圳火车站店环境不错，房间虽小了点但是挺舒适，就是隔音非常差劲，问口有人走过说话房间里面也听得到，影响睡觉', '短评打分': 3}
{'短评内容': '很不错的酒店，交通便利，周围吃饭买东西很方便,不过，电梯太慢', '短评打分': 5}
{'短评内容': ' 酒店环境不错！房间小了点', '短评打分': 3}
