{'短评内容': '房间很干净，老板人很好', '短评打分': 5}
{'短评内容': '酒店设施一般，但服务特好，卫生也不错，去的时候人多，还特地帮我留了车位，感谢', '短评打分': 5}
{'短评内容': '老板很热情，房间很好，下次一定再光顾', '短评打分': 5}
{'短评内容': '酒店服务很好，因为时节不对有点冷，服务员给我送来电暖气，夏天住会很舒服。', '短评打分': 4}
{'短评内容': '连岛是个宰人的景区，去沙滩要收50元门票每人，这是我见过的最不要脸的沙滩。酒店及周边就一个字：脏。老板人不错很好说话。其他的不想多说了，这个地方不会再去了。', '短评打分': 2}
{'短评内容': '这边的酒店太混乱了，这里是度假公寓，外面的一个二十一世纪的牌子，里面有无数个老板，我们订的是预付款房间，结果所有老板都怕从网站拿不到房费不接待预付款的客人，和网站交涉折腾了近两个小时才入住了，旅游的兴致全无，发誓不要再预定这样的预付款旅馆。', '短评打分': 2}
{'短评内容': '老板一早就打电话问几点到，告诉我们路线怎么走，到了有人接，酒店条件不错，离浴场很近很方便，虽然累但玩得很开心。', '短评打分': 5}
{'短评内容': '不错的，真好', '短评打分': 5}
{'短评内容': '提前联系电话说的好好的  到了以后主动提出“免费”升级为套房  但价格翻倍  要求按原订单安排标间予以拒绝  说非要和另一个已取消的订单一起安排  否则坚决不让住  言称你爱投诉就投诉就不让你住!  我们只能另找酒店。。。。对这种不讲诚信的最好从艺龙赶出去以免败坏了艺龙的名声。', '短评打分': 3}
{'短评内容': '优点：离海边非常近，度假村内吃饭/购物的都有，价格合适；空调热水都是24小时的（不停水的情况下）。\n缺点：在岛上，出行不便，各种车也少；因为在景区内吃饭等都比较贵；房间的卫生打扫很不足，要住得自己里里外外打扫一圈，床头柜和桌抽屉内有N多长发吓人，住了2天床单未换，洗漱用品得自己带；停了2次水，大热天的玩回来没澡洗比较郁闷。', '短评打分': 5}
{'短评内容': '在涨价前订的，160一间，还行吧，必竟就这价，房间外面有点黑暗，房间里面还行', '短评打分': 5}
{'短评内容': '当时订的时候160元一间 结果去了没用房间了 老板花200从别人那里买的房间 商量要180给我 各损失20\n\n房间还是挺大的 就是电视台少 而且没用宽带', '短评打分': 1}
{'短评内容': '离连岛浴场很近,而且高一点的楼层可以看到海景.这次订的太匆忙了,只有底楼的房间了.\n住房条件实在不怎么样,但就这个价格而言还不错.如果介意细节的朋友就不要考虑啦.\n', '短评打分': 5}
{'短评内容': '整体都不错，就是热水太慢，洗澡只能用冷水洗。', '短评打分': 3}
{'短评内容': '很好，服务态度很好。给好评', '短评打分': 3}
