{'短评内容': '张店长很差', '短评打分': 5}
{'短评内容': '性价比高，干净卫生', '短评打分': 5}
{'短评内容': '位置好，服务好。', '短评打分': 5}
{'短评内容': '还行，最主要是方便', '短评打分': 3}
{'短评内容': '虽然靠近火车站但不算嘈杂。晚餐也在酒店解决，餐厅的大爷会提醒点菜适量即可不要浪费，菜色性价比不错，相比早餐就比较寒碜了。', '短评打分': 4}
{'短评内容': '挺好的，很安全', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '如果你看到我评价这段话，就证明我给的必然是好评。\n因为，如果这个商品我不满意的话，我会很认真的怼它的。', '短评打分': 5}
{'短评内容': '出了火车站就看到了，很是方便，房间比较大，很好。', '短评打分': 5}
{'短评内容': '很好房间挺大的 设施齐全 蛮干净的', '短评打分': 5}
{'短评内容': '酒店公寓不错出火车站就是，但是没有感觉像其它火车站那样杂乱无章。住九楼火车站的声音不很大。到南湖公园也是走路去的。打车去了月河9元。感觉就是方便便宜。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店公寓不错出火车站就是，但是没有感觉像其它火车站那样杂乱无章。住九楼火车站的声音不很大。到南湖公园也是走路去的。打车去了月河9元。感觉就是方便便宜。', '短评打分': 4}
{'短评内容': '地段好，离火车站近，去哪儿都方便，环境非常干净，服务很到位，这个价位很合适，值得推荐。', '短评打分': 5}
{'短评内容': '一般，气味不好', '短评打分': 4}
{'短评内容': '还可以的，方便。', '短评打分': 5}
{'短评内容': '酒店环境不错，卫生设施都不错。', '短评打分': 5}
{'短评内容': '各个方面都还算不错，特别是打扫卫生的大姐，因为空调一开始没有什么热风，过一会还特意打电话询问，又热风没有。位置靠近嘉兴火车站，推荐入住。', '短评打分': 4}
{'短评内容': '一直信赖锦江', '短评打分': 5}
{'短评内容': '不错很值得', '短评打分': 5}
{'短评内容': '房间有点潮，但是很方便地点很好，周围公交较多。但是有点吵！', '短评打分': 5}
{'短评内容': '出火车站就是酒店交通方便，酒店环境干净卫生，洗漱用品齐全，虽然在火车站附近但晚上很安静，房间宽敞明亮整体满意。', '短评打分': 5}
{'短评内容': '还不错，比较方便！点评个东西还要20个字以上，真墨迹，不想让人点评就别弄这个破东西吗，逼着人家非得说你不好！', '短评打分': 5}
{'短评内容': '该店洁净，床舒适，位置极佳，就在嘉兴火车站，交通便利。\n\n--------------------------------------------------------------------------------\n', '短评打分': 5}
{'短评内容': '差评离火车站近，周围较乱，特别是停车在后院，很不方便，并且晚上出去吃饭火车站出租车不拉，只好开车去，晚上9:00回酒店后院停车，被看门人大声呵斥，说我们回来太晚了。', '短评打分': 1}
{'短评内容': '在国内快捷酒店中是唯一值得推荐的！其他品牌做烂了！希望锦江之星保持住特色！', '短评打分': 5}
{'短评内容': '挺好,挺干净的,住了好几次了,都挺满意的', '短评打分': 5}
{'短评内容': '该店洁净，床舒适，位置极佳，就在嘉兴火车站，交通便利。', '短评打分': 3}
{'短评内容': '比较好，下一次还可以考虑入住，各方面条件挺好。', '短评打分': 5}
{'短评内容': '房间很干净，服务很周到！', '短评打分': 3}
{'短评内容': '距离火车站太近了，不过不是很吵！方便！要注意，这个火车站不是嘉兴南动车火车站，我就因此误解了。', '短评打分': 5}
{'短评内容': '酒店环境卫生不错，离火车站进比较方便。', '短评打分': 3}
{'短评内容': '很好，条件不错，清洁干净。服务态度也好。', '短评打分': 5}
{'短评内容': '非常不错，物美价廉！', '短评打分': 3}
{'短评内容': '＋酒店暖和干净，没有想象中的吵！前台服务态度不好。', '短评打分': 3}
{'短评内容': '很方便,就在嘉兴火车站旁边,房间很干净,一如既往地锦江风格,每次到嘉兴办事都入住该酒店.', '短评打分': 5}
{'短评内容': '前台服务态度好，住房干净整洁，很温馨，很舒适！就在火车站旁边，也很方便。', '短评打分': 5}
{'短评内容': '感觉不错，火车站出来就是，方便', '短评打分': 3}
{'短评内容': '很好很干净 下次还来 靠近火车站 很方便啊 啊啊啊啊啊啊啊', '短评打分': 5}
{'短评内容': '要住还是名牌连锁，虽然房间有线网络不通，无线信号不好，但是走廊里面无线信号较好，服务很好，出门在外，心里温暖。有停车场，免费。总台态度特好，总之你不满意的他全客客气气解决，你不了解的，他全主动服务。此店距离南湖很近，距离火车站一步距离，还有著名的五芳斋近在咫尺，价格不虚。我推荐！', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 3}
{'短评内容': '在嘉兴算便宜的酒店，虽然在火车站附近，但没有喧闹声', '短评打分': 5}
{'短评内容': '交通非常方便。到嘉兴火车站太方便了，一出酒店就是，门口还有很多路公交的发车站，到南站也有直达的公交。', '短评打分': 5}
{'短评内容': '在火车站边上，但不会太吵，老婆凌晨3点到嘉兴，下楼走几步就能接到，很方便', '短评打分': 5}
{'短评内容': '房间面积比较大，很洁净，地理位置也很好。总体不错，关键是房间的大小床是别家酒店少有的', '短评打分': 5}
{'短评内容': '挺干净，整洁，再就是很方便，适合于差旅人士。', '短评打分': 5}
{'短评内容': ' 服务态度不错', '短评打分': 3}
{'短评内容': '酒店环境不错，交通方便，服务热情,值得推荐。', '短评打分': 5}
{'短评内容': '房间挺大，位置也很好，旁边就是火车站', '短评打分': 3}
{'短评内容': '我在万好万家酒店住过，仅从房间内部装饰、方便看，比嘉兴的万好万家酒店要好一些。\n周边吃早点也比较方便。', '短评打分': 5}
{'短评内容': '地理位置很好 房间很大也干净 还有吹风机', '短评打分': 3}
{'短评内容': '酒店位置好，如坐火车出行，是很方便的。另外房间很干净且安静，尽管临火车道，晚上却没听见火车出入的声音。', '短评打分': 5}
{'短评内容': '不错的，交通方便，晚上也很安静，楼下就有各种交通工具。', '短评打分': 5}
{'短评内容': '非常推荐！干净、卫生，房间设施周全。特别是每张床配两个枕头，对喜欢睡高枕的人就非常方便了。有些酒店想多要个枕头都没有。锦江之星为顾客想的周到，很赞赏。就凭这点，就可以感受到锦江之星的服务理念了。', '短评打分': 5}
{'短评内容': '酒店整体不错，干净整洁，服务员比较有礼貌。交通便利，就在嘉兴火车站广场边，到南湖，夜市街都比较近。。。\n改进，酒店房间里的空调应该定期作一下内清洁。', '短评打分': 5}
{'短评内容': '安静、设施完善，服务到位，周边吃饭购物方便，挺好的', '短评打分': 5}
{'短评内容': '不错，房间很大，干净卫生~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '我多次出差都住这个酒店的，服务卫生都还可以，就是毛巾和被子比较旧，建议酒店更换新的，看起来要舒服些的。', '短评打分': 5}
{'短评内容': '干净 空间比较大，地理位置很好 就是稍有点闷，服务态度还是不错的', '短评打分': 5}
{'短评内容': '一般，蚊子太多了', '短评打分': 3}
{'短评内容': '地理位置还是很不错的，就在火车站边上，旁边还是一家蛮大的五芳斋，离南湖也比较近，不错。', '短评打分': 5}
{'短评内容': '会向朋友推荐 不错。。。。。。。。。。。。。。。 \n', '短评打分': 5}
{'短评内容': '客房设备及床上用品已显陈旧。', '短评打分': 3}
{'短评内容': '这个酒店还是不错的，就是不知何种原因，确认晚了，我过去的时候还没有确认。', '短评打分': 5}
{'短评内容': '离火车站很近。房间比较大，还不错。早餐一般。', '短评打分': 5}
{'短评内容': '位置特别方便，就在火车站旁边，房间也很大，服务也很不错！', '短评打分': 5}
{'短评内容': '已經是第三次入住了  總體感覺是乾淨  整潔  設施全  服務好  價格合理  最主要的是乘坐火車及其方便  要說不足就是房間內的電視機太小了', '短评打分': 5}
{'短评内容': '酒店非常干净，交通很便利，很满意！', '短评打分': 3}
{'短评内容': '整体感觉还可以，就是房费不包括早餐，要是含早餐就好了。', '短评打分': 5}
{'短评内容': '交通方便,在火车站旁边,价格也不高,卫生还干净,房间也比较大', '短评打分': 5}
{'短评内容': '房间比较干净，也很新，最主要交通比较方便', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '还可以。住了几次了。', '短评打分': 3}
{'短评内容': '首次入住，服务态度不错，房间舒适，整体感觉很好', '短评打分': 5}
{'短评内容': '还可以。隔音效果差了点。', '短评打分': 3}
{'短评内容': '很干净很舒适  主要又离火车站近  方便', '短评打分': 5}
{'短评内容': '内容很好吧', '短评打分': 3}
{'短评内容': '真的很不错！下次还选这里，去体验一下吧，环境很好', '短评打分': 5}
{'短评内容': '房间比预计的要大些。还行吧。', '短评打分': 3}
{'短评内容': '不错…', '短评打分': 3}
