{'短评内容': '非常好，交通便利，购物方便', '短评打分': 3}
{'短评内容': '一座真正四合院改造的旅馆,有五间住房,地理位置优越,可步行至天安门,特别是距协和医院步行仅几分钟之遥。虽说单价不低，但那可是寸土寸金之地。挺干净、服务态度很好，孩子喜欢，能感受老北京的气息。这也是能够吸引老外们的原因，有机会练习口语哦。要订还得提前，现去很难入住的。', '短评打分': 5}
{'短评内容': '服务态度挺好，毛巾、浴衣能勤换洗就更好了。交通也挺方便的。', '短评打分': 5}
{'短评内容': '我们已入住，感觉还可以吧。服务挺不错的。', '短评打分': 3}
{'短评内容': '酒店地理位置不错，离地铁站很近，交通也很方便，附近还有去机场的快线\n房间小了点，不过床很舒服，软软的', '短评打分': 5}
{'短评内容': '酒店还真是比较难找的，房间也挺小的，住一个晚上倒是也无所谓，多住就不推荐了', '短评打分': 1}
{'短评内容': '位置市中心，方便。但胡同不好找。前台先生服务不错。', '短评打分': 5}
{'短评内容': '对旅游的人来讲交通位置都不错。但对住宿来讲很一般，设施太差，洗手间在院子里公用，对这个价位来讲不值，太贵。', '短评打分': 1}
{'短评内容': '在东单王府井附近应该是再也找不到像这样一家方便的四合院的了，并且我认为北京的旅游线路应该是从本旅馆出发步行到毛主席纪念堂开始，在天安门，午门，故宫，景山公园，北海，再前海后海，最后的九门小吃，再到积水潭地铁坐车返回东单，这样一整天的旅游线路最好。而本四合院就是最佳的住宿选择地，店员英语也好，人热情，我带的外国人很满意', '短评打分': 5}
{'短评内容': '热情周到', '短评打分': 3}
{'短评内容': '很不错，我们去时没房间了，转到了副店，主人很客气，环境装修都不错', '短评打分': 5}
{'短评内容': '地方比较偏僻一点，不过床睡得很舒服，服务也挺好，就是有点贵啊 ', '短评打分': 5}
{'短评内容': '位置不错，环境一般般，地铁公交非常方便，二个小伙服务也不错，不满意的是开发票的税要住客承担，住了那么多酒店，第一次碰到', '短评打分': 1}
{'短评内容': '不错的酒店，地理位子没话说了~黄金周期间能订到这样的酒店值了！', '短评打分': 5}
{'短评内容': '+不错', '短评打分': 5}
{'短评内容': '在网上预定后,去之前打了电话确定位置,打电话后才告诉我他那停业了,如果住就住分店,没办法就去了,位置十分难找,停车还要钱,分店一共才5间房,房间还不错,不过没照片上的好,没有仿古的家具', '短评打分': 5}
{'短评内容': '酒店很不错，下次去还要住。北京御林驿站地址：东城区东单北大街北极阁胡同三条51号（长安街与东单路口往北第一个红绿灯右拐进入北极阁三条，直行200米在春意宾馆左拐）', '短评打分': 3}
{'短评内容': '自助式样旅馆，一两晚体验老北京四合院生活的好选择。位置还是不错的，走路到王府井大街也就十几分钟，方便休闲购物。', '短评打分': 5}
{'短评内容': '很有北京的味道，设施还可以，卫生做的挺好的，服务到位不错', '短评打分': 5}
{'短评内容': '传统与现代相结合的小四合院，很精致，值得推荐！！！', '短评打分': 5}
{'短评内容': '还不错，实际没有照片那么新，不过也蛮好。', '短评打分': 5}
{'短评内容': '很有北京当地特色的一家酒店.坐落在市中心的胡同里边.装修风格很有品位.店小二也是非常好的人.很热心能够帮到你任何事情.步行到地铁口（东单）两分钟左右 有一号五号线 走路到王府井大概5分钟左右.地理位置还算是很方便的.建议大家来之前先搜索一下地理位置，北京胡同实在是太多了 毕竟还是会迷路的.\r\n  总之是很NICE的北京之旅.下次再回来还是选择这里.', '短评打分': 3}
{'短评内容': '补充一下，不推荐是针对精打细算的游客哦，因为价格确实有点小贵啊。环境是还ok的。另外，他家是不支持银联卡的。', '短评打分': 3}
{'短评内容': '太难找了，的士司机带着我们在那兜了半个小时都找不到，后来在一个治安协管员的帮助下找到了巷子，然后再在1个当地大姐的帮助下找到了酒店。\r\n很小的一间四合院，翻新过，挺漂亮的，房间的家具也算古色古香，床也很舒服，但是，还是太贵了，性价比不高，当然，你有钱的话可以选择试试。离王府井嘛，走过去的话大概需要20-30分钟，就北京这地来说，还算挺近。\r\n为了方便以后要去的朋友，我把地址说得详细点：就在东单北大', '短评打分': 1}
{'短评内容': '跟朋友来北京专门来住四合院 登长城 吃烤鸭外加喝酒看球赛.两个小老板年龄都不大 每天跟着我们一起看球赛 最主要的是他俩都挺能喝~！\r\n  院落很精致.总共五间住房.很有家的感觉.适合放松休闲旅游 不建议给商务客人', '短评打分': 3}
{'短评内容': '带着我的外国朋友来这边小住了一个礼拜.一开始预定的标准间.但是卫生间在室外.有一点点的不方便但是夏天还行.走几步就到了，最后几天加钱住的豪华间感觉还是挺值的 酒店的地理位置很好 走路到市区的景点都很方便 尤其是到地铁口 虽然处在胡同里 但是交通真是没得说~！ ', '短评打分': 3}
{'短评内容': '地理位置真的超好.就在王府井和东方新天地的旁边那里.院落很精致 房间很典雅 据说也是名家设计的.价格还算平民化 下次还值得一住', '短评打分': 3}
{'短评内容': '听说这里是过去御林军驻扎的地方，并且四合院很有老北京风味，超喜欢这种风格，服务的也周到细致，这点是出乎我们意料的。', '短评打分': 5}
{'短评内容': '位置好，离天安门、故宫都不算远，走着都可以过去，转这些景点很方便的。', '短评打分': 5}
{'短评内容': '这是什么店？这是什么服务？这是什么感觉~！ OH   MY GOD\r\n JERRY和ROCK真的是很好很好的人.帮我预定旅游设计行程.\r\n 酒店就在王府井那 对于路痴我来说居然从没迷路过~1\r\n 装修很古典 很有风味 特别是北京味\r\n     谢谢你们哦  很难得 我终于在北京找到了自己的家', '短评打分': 5}
{'短评内容': '房间布置温馨，挺有情调的，而且四合院很有老北京特色，蛮不错。', '短评打分': 5}
{'短评内容': '酒店位置不错，出行便利，工作人员也很热情友善，住的挺愉快的，我们相处的像朋友一样。', '短评打分': 5}
{'短评内容': '外出旅游，如果你想住在一个安静又有传统庭院式的地方，请留心这里，这有贴心的服务，温馨的环境，旅游之余又能享受北京四合院文化，性价比高，JERRY ROCK都是很好的人  给了很多帮助   值得推荐 赞一个', '短评打分': 5}
{'短评内容': '没事的时候和朋友在院子里聊聊天、喝喝茶，很享受，真的很舒适。', '短评打分': 5}
{'短评内容': '位置很好，离王府井、天安门、故宫都很近。服务非常好，小伙子很热情。就是开车不太好进，毕竟是在胡同里。房间挺有特色的，窗帘遮光还是不行，很早就被照醒了。不过我们家他睡的倒挺香，可能个人对光比较敏感。', '短评打分': 5}
