{'短评内容': '不错的家庭客栈，方便、安静', '短评打分': 5}
{'短评内容': '就一个字，好', '短评打分': 5}
{'短评内容': '非常干净', '短评打分': 5}
{'短评内容': '看了很多酒店和评价，最终选择了这里，事实证明很好。房子是私人别墅，位置近三丘田码头。老板会提前发前往酒店的路线，并在指定的地点接我们，而且态度也很好。住的三楼，房间很干净，很温馨，最关键的是安静。这家提供早餐，海鲜面，很棒。晚餐也可以提前跟老板预定，性价比高', '短评打分': 5}
{'短评内容': '老板热情，主动送茶水及糕点和地图。并指点游玩的景点及注意事项。酒店位置靠小吃街很便捷，晚上也很安静。唯一不足的院子稍微小了点。', '短评打分': 5}
{'短评内容': '好评。强烈推荐。房间干净，早餐很喜欢，可以吃到海的味道。建议淡季来，房子不贵，主人也不会很忙，可以享受到完全的照顾。', '短评打分': 5}
{'短评内容': '“客中谁此话相逢，千万休夸陌上蓬。夜读不知星月隐，一襟窗畔挹春风。“随是秋冬时节，老板一家仍让人如履春风。', '短评打分': 5}
{'短评内容': '住宿很满意，闹中取静，离小吃街不远，但是一点都不吵。老板一家人很好，主动介绍景点和美食，晚饭可以订，比外面干净很多，味道也很棒！早饭的海鲜面线更是要赞一个，汤鲜面细，美味！有一种家的感觉，一次不错的旅行，下次再来的话，还会选择这里！', '短评打分': 5}
{'短评内容': '服务很好。很热情，订房后马上有微信加，介绍基本情况。去到有个阿姨给我们讲解岛上景点，介绍哪里有什么好吃。出门也先问几点回，晚归的还给钥匙。第二天我们说出去吃小吃，还一直留我们吃家里的早餐。总之很满意，感觉和之前住的民宿完全不同。赞一个，下次来厦门还住这里', '短评打分': 5}
{'短评内容': '鼓浪屿上比较安静的民宿，距离小吃街真的很近。服务热情周到，可以说很贴心，帮客人规划，介绍详细，清晰。尤其订制的晚餐，不贵，做的非常非常好，感觉比大酒店做的海鲜好吃很多，是我们一路来吃的最舒服（老人），美味（海鲜）的一餐。当然早餐也非常好吃，有机会再体验。', '短评打分': 5}
{'短评内容': '第一次来鼓浪屿，这家店也是网上找的，来到这才知道非常不错，自己家的别墅，很干净，很整洁，最主要的就是店家特别的热情好客，而且特别的有耐心，会把整个鼓浪屿的背景文化，当地可以尝试的小吃，和整个岛的游玩线路讲解的非常细致，店家做的饭真的很好吃，总之下次来，离游客的码头稍微有一点点远，不过离商业街和小吃街非常近，住宿也特别安静，给100个赞', '短评打分': 5}
{'短评内容': '带爸妈去鼓浪屿玩，老板一家都很热情，爸妈很开心，早餐面条好好吃，还有酥饼，入口即化，好评！一定要好评！', '短评打分': 5}
{'短评内容': '位置闹中取静，老板服务热情，饭菜可口令人满意', '短评打分': 5}
{'短评内容': '卫生干净，地理位置佳。', '短评打分': 5}
{'短评内容': '满意，地理位置好，交通方便。', '短评打分': 5}
{'短评内容': '非常满意，推荐入住', '短评打分': 5}
