{'短评内容': '房间虽不大，但还是很不错的，也很安静', '短评打分': 5}
{'短评内容': '想品尝西安美食，订的是不含早餐的。房间中规中矩，二环内，周围交通特别方便，出门就是地铁站，去景点基本都在两站以内。最好的是在体育场内部，停车特方便，停车费可以享受半价，早晨起来可以下去运动运动特爽。酒店服务员态度非常好  检查房间也很仔细，临走忘带的东西都帮忙找到，在此表示感谢。', '短评打分': 5}
{'短评内容': '酒店位置不错，好找，离地铁口近。到大小雁塔都不远。购物吃饭都方便。房间设施比较老旧，但很整洁。前台服务挺好。', '短评打分': 4}
{'短评内容': '卫生间下水太慢，洗澡积水。这个房间有窗户，但是外面大牌子全覆盖，所以通风不好。没有早餐券', '短评打分': 4}
{'短评内容': '大停车场', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '在网上订的不能直接续住，本打算继续住的结果被告知已经房满，交通不便.需要走很远！', '短评打分': 5}
{'短评内容': '一般吧，只是为了方便出行', '短评打分': 3}
{'短评内容': '除了早饭真不错之外其他逗一般，老舅设施', '短评打分': 3}
{'短评内容': '设施一般服务一般管理一般', '短评打分': 3}
{'短评内容': '环境清幽，舒适', '短评打分': 4}
{'短评内容': '看演唱会去的。很近很方便。不错', '短评打分': 5}
{'短评内容': '酒店设施有待提高', '短评打分': 4}
{'短评内容': '晚上去的，出租车绕了3圈没找到，其实在体育馆里面，物美价廉很好。', '短评打分': 5}
{'短评内容': '酒店服务还行，就是卫生间硬件有待提高', '短评打分': 4}
{'短评内容': '房间貌似用商铺改造的，隔音以及通风不是很好，尤其是房间地漏的味特别大，半夜都给整醒了。就是离回民街倒是比较近', '短评打分': 1}
