{'短评内容': '一般般吧，正常', '短评打分': 5}
{'短评内容': '很满意', '短评打分': 5}
{'短评内容': '挺好的，', '短评打分': 5}
{'短评内容': '很喜欢，虽然外边有跳广场舞的大妈，但是服务还不错，前台小姐姐还给了我外卖的单子', '短评打分': 5}
{'短评内容': '真的是太吵了。健身房和KTV，还有晚上的广场舞鼓点！这么吵还能盈利下去，服务员服务态度是好的。', '短评打分': 5}
{'短评内容': 'KTV 健身房 很吵', '短评打分': 4}
{'短评内容': '房间很吵，三楼是ktv，客房在五层和六层。第一天住五层，楼下唱歌听的一清二楚，楼板一点都不隔音，到早上5点一直在唱，一宿没睡着；第二天换的6楼，比五楼强点，楼下唱歌依然听的一清二楚，奉劝想好好休息的客人还是不要来这啦。', '短评打分': 2}
{'短评内容': '服务真的很差', '短评打分': 1}
{'短评内容': '好', '短评打分': 4}
{'短评内容': '特别棒  和朋友出来旅行就住的这里', '短评打分': 5}
{'短评内容': '来这边考试才定的，否则谁会来这里住？各项条件都一般，当然价格也不贵。', '短评打分': 3}
{'短评内容': '床高不太习惯，卫生间设计有点不合理，其他都不错', '短评打分': 5}
{'短评内容': '深夜环境吵杂', '短评打分': 4}
{'短评内容': '就是楼下ktv太吵了。其他都还好。', '短评打分': 5}
{'短评内容': '住的三人间，整体来说还算不错~', '短评打分': 3}
{'短评内容': '酒店非常干净！早餐不错！周边环境安静！房间大！餐馆多，吃饭方便。', '短评打分': 5}
{'短评内容': '环境不错，房间也大，很好', '短评打分': 3}
{'短评内容': '浴室小了点，早餐一般，其他的还不错', '短评打分': 3}
{'短评内容': '在志华这附近来说算很好的了 刚装修好的 稍有些味道 不过不影响 主要是价格便宜的很 服务也很周到 早餐也挺精致的 满意~', '短评打分': 5}
{'短评内容': '酒店新装修的，很干净，价位超值，很满意！', '短评打分': 3}
{'短评内容': '附近最干净，服务最好的。别的都不怎么样，服务和如家有一比了，人也很好，价格也实惠。希望您的旅途愉快！', '短评打分': 5}
{'短评内容': '房间很大。很干净。走廊宽敞。热水供应及时。工作人员都非常礼貌。给人宾至如归的感觉。早餐也不错。干净卫生。在江北大学城。周围吃得很多。交通也便利。在哈尔滨住过大大小小各种宾馆了。这家绝对高分。十分满意。', '短评打分': 3}
