{'短评内容': '没有吹风机，房间空调也是坏的，一点都不好！特别冷！', '短评打分': 4}
{'短评内容': '挺好的，就是没有吹风机，没有办法洗头，而且没有空调！赶上下雨特别冷！', '短评打分': 4}
{'短评内容': '舒适干净', '短评打分': 5}
{'短评内容': '太贵了', '短评打分': 2}
{'短评内容': '携程上订的房，位置有点偏，大床房的床只有1.5米，到店全额付款后让自己联系携程退回优惠，其实就是不认携程的优惠，性价比不是太高！', '短评打分': 4}
{'短评内容': '房间床只铺了个床单，太薄了，睡觉硌得慌。隔音也不好，旁边马路有减速带，晚上睡觉哐当哐当的，两点多才睡着………………………', '短评打分': 3}
{'短评内容': '房间还可以，就是周边环境一般般', '短评打分': 4}
{'短评内容': '挺好的～很干净整洁，卫生间稍微有点小～价格合理！', '短评打分': 3}
{'短评内容': '房间卫生比较干净!周围吃饭的地方不太好找。', '短评打分': 3}
{'短评内容': '还不错，价格便宜，设施挺好的', '短评打分': 3}
{'短评内容': '第二次入住，性价比高。房间干净，隔音效果不错。', '短评打分': 3}
{'短评内容': '酒店总体还是挺好的，免费停车，热水很足，赞一个', '短评打分': 3}
{'短评内容': '酒店还行吧，楼下有家牛肉面馆，对面有烤肉店，两家的味道都不错', '短评打分': 4}
{'短评内容': '还不错，稍微有点旧，交通比较方便，主要是出差', '短评打分': 5}
{'短评内容': '还可以吧。', '短评打分': 3}
{'短评内容': '酒店卫生还可以，服务员态度也挺好，就是房间太小。', '短评打分': 3}
{'短评内容': '比较干净，卫生，服务员态度也很不错，地点可能稍远吧，支持一下！', '短评打分': 5}
{'短评内容': '房间还不错 -值得一提的是路对面烧烤很好吃~', '短评打分': 5}
{'短评内容': '整体不错，比较满意。可以向大家推荐，只是位置相对较偏。', '短评打分': 5}
{'短评内容': '帮家人预定的，据他们回来说整体还不错，就是位置偏了些。性价比还不错。', '短评打分': 5}
{'短评内容': '酒店条件还不错，就是没有停车场。 ', '短评打分': 3}
