{'短评内容': '酒店比较老了，总体不错', '短评打分': 5}
{'短评内容': '有点老化，总的不错', '短评打分': 5}
{'短评内容': '陈旧。', '短评打分': 3}
{'短评内容': '陈旧。', '短评打分': 3}
{'短评内容': '出差入住，整体感觉不错。', '短评打分': 5}
{'短评内容': '非常不满意，灯光太暗，空调一点不制热。', '短评打分': 3}
{'短评内容': '这家酒店虽是老酒店，但是环境不错，位置很好，卫生条件不错，热水沐浴蛮不错的，服务员态度热情，设施一般，酒店停车方便的，特别好停车，酒店后面的花园特别好，夜景很美，正好看到万县长江大桥，吃饭的话，酒店出门左手，一直走不远饭店特别多，有一家叫成云饭店吧，二十年老店，价廉菜好。', '短评打分': 5}
{'短评内容': '太一般了。', '短评打分': 4}
{'短评内容': '还好？', '短评打分': 5}
{'短评内容': '网络太慢太慢', '短评打分': 4}
{'短评内容': '服务很好', '短评打分': 4}
{'短评内容': '改造中。。。。好吵', '短评打分': 4}
{'短评内容': '房间里的设备陈旧了_，只是酒店环境蛮好，可以看江。', '短评打分': 4}
{'短评内容': '有江景还是不错的哦，还有些绿化设施，就是酒店的硬件不怎么样，很多设施都久了，我订的大床房太普通了，就一张床，桌子凳子，不够温馨，还赶不上有些连锁酒店。确实不像四星的，而且位子偏了', '短评打分': 5}
{'短评内容': '酒店环境,设施都不错,很安静,就是点偏!', '短评打分': 5}
{'短评内容': '地理位置好 环境非常好 交通方便 服务周到 房间整洁', '短评打分': 5}
{'短评内容': '五桥可能最好的酒店了，所以如果要去化工园区的话还是这里近。另外，房间里的不足很多，如很多灯似乎是坏的。还有居然洗发膏和沐浴露都没有标注。。', '短评打分': 5}
{'短评内容': '称自己国际大酒店有点勉强，无论早餐还是寝具都离国际很远。床不舒服，太硬了。', '短评打分': 1}
{'短评内容': '還可以，房間電燈與浴室設施壞了，叫修理也得到處理。\n熱水溫度沒辦法調整較高一點\n唯一可能會造成不便的事，發票無法顯示飯店名稱，回到公司報帳容易造成誤會。希望能夠改善。', '短评打分': 5}
{'短评内容': '距離市區太遠，附近在修路，應該沒有到四星的水準\n\n\n', '短评打分': 1}
{'短评内容': '帮老婆订的  老婆去那附近考试  说早上的早餐比较好', '短评打分': 5}
{'短评内容': ' 入住後發現暖氣沒有用，熱水也不熱，沒網路，沒吹風機！真的很差勁', '短评打分': 3}
{'短评内容': '干净卫生，豪华富丽，性价比超高，如果去万州，入住这家酒店简直太美好了', '短评打分': 5}
{'短评内容': '酒店不错，环境可以，服务态度很好，就是酒店有点老，设施有点落后', '短评打分': 5}
{'短评内容': '酒店很差进房间的时候那个冷气根本就没反应，卫生间的花洒都是坏的根本就不能用，酒店的位置还算好找，服务态度很差爱理不理的，价格也很贵，也就一个招待所标准。', '短评打分': 1}
{'短评内容': '房间设施还行，服务态度挺好的，酒店环境看起来也不是太差。位置也不错，还是值得参考的酒店。', '短评打分': 5}
{'短评内容': '房间卫生比较好，干净，整洁，硬件设施很齐全，服务也很到位，细节方面服务员想的很周到，酒店餐饮也很好，住宿环境不错', '短评打分': 5}
{'短评内容': '旧，床很差', '短评打分': 3}
{'短评内容': '酒店的环境很好，很幽静，服务员态度很友好热情，房间设施齐全，卫生打扫的很及时，比较好的酒店', '短评打分': 5}
{'短评内容': '卫生差，前台服务员态度不好。。还国际酒店，怎么招这么没有素质的服务生。。。', '短评打分': 1}
{'短评内容': '太旧了。', '短评打分': 5}
{'短评内容': '酒店设施很现代，在万州区乃至重庆市都是一家相当不错的酒店。服务跟得上，卫生也有保证，早餐既品种丰富，环境又干净卫生，令人十分放心。', '短评打分': 5}
{'短评内容': '非常非常一般,各方面都没有四星水准,特别是卫生间和水压.', '短评打分': 1}
{'短评内容': '酒店房间不错，位置还可以。价格一般吧，当地标准算高的了。', '短评打分': 3}
{'短评内容': '+酒店整体感觉不错', '短评打分': 5}
{'短评内容': '这是目前万州最好的酒店了', '短评打分': 5}
{'短评内容': '房间里很干净，设施也比较齐全，网速还不错，价格也比较很合适，住的挺舒适的。', '短评打分': 5}
{'短评内容': '酒店的环境很好，绿化做的很好，很幽静，在这里睡眠质量很好。', '短评打分': 5}
{'短评内容': '服务质量挺好，房间里也干净，价格也蛮实惠，值得推荐。', '短评打分': 5}
{'短评内容': '花园式的酒店，景色很漂亮，服务人员也很热情，微笑服务，有问必答。', '短评打分': 5}
{'短评内容': '酒店住的很舒适，服务很周到，设施很齐全，卫生打扫的很干净，值得推荐。', '短评打分': 5}
