{'短评内容': '还不错 条件ok 卫生ok', '短评打分': 5}
{'短评内容': '住过几次了，位置方便。', '短评打分': 5}
{'短评内容': '服务非常到位，免费提供了手机充电器，解了我的急！', '短评打分': 5}
{'短评内容': '环境不错，挺好的啊', '短评打分': 5}
{'短评内容': '环境还行', '短评打分': 4}
{'短评内容': '酒店住过几次了，还不错，就是几次返现都没有给', '短评打分': 5}
{'短评内容': '房间、卫生间空间都不错，比较大，从这点说四星级没问题，就是装修有点时间长了，枕头有点高，睡着不太舒服，其它都比较满意', '短评打分': 5}
{'短评内容': '物美价廉，酒店房间在这个价位来说很良心了。', '短评打分': 5}
{'短评内容': '环境设施不错', '短评打分': 5}
{'短评内容': '环境一般，', '短评打分': 4}
{'短评内容': '开票太慢服务一般开票太慢服务一般开票太慢服务一般开票太慢服务一般', '短评打分': 3}
{'短评内容': '交通便利，入住舒适。', '短评打分': 5}
{'短评内容': '交通便利，入住舒适。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '一般，住的酒店多了，像这样的，只能说不行', '短评打分': 4}
