{'短评内容': '酒店干净整洁，标间的床有一张比较大一些，适合带孩子住', '短评打分': 5}
{'短评内容': '经济型酒店，地铁出行方便', '短评打分': 4}
{'短评内容': '去的时候比较晚了，位置很好找，前台语气温柔，保安大叔面带微笑开门，第二天的时候电梯坏了，走的楼梯，意外的发现特别特别的赶紧，可以放心的入住', '短评打分': 5}
{'短评内容': '前台服务不怎么样，其他没问题', '短评打分': 5}
{'短评内容': '还可以就是水小了点', '短评打分': 4}
{'短评内容': '位置好，没服务。', '短评打分': 3}
{'短评内容': '不错，环境很整洁，服务员态度好～', '短评打分': 5}
{'短评内容': '红红火火健健康康快快快哦哦', '短评打分': 5}
{'短评内容': '地铁站旁，方便出行，房间干净卫生，睡眠质量好。', '短评打分': 5}
{'短评内容': '京东团的房子，还可以，离东站近，就是没有早餐啦。', '短评打分': 5}
{'短评内容': '总体还是不错的', '短评打分': 5}
{'短评内容': '干净 方便 性价比高', '短评打分': 5}
{'短评内容': '简洁卫生', '短评打分': 5}
{'短评内容': '离地铁口很近', '短评打分': 5}
{'短评内容': '位置很好，离莘庄地铁站非常近', '短评打分': 5}
{'短评内容': '不错，交通方便', '短评打分': 5}
{'短评内容': '不错，位置很好，方便出行。', '短评打分': 5}
{'短评内容': '略贵，但里面住还可以。', '短评打分': 4}
{'短评内容': '比较好，略贵', '短评打分': 4}
{'短评内容': '外面环境不错，  房间略小', '短评打分': 4}
{'短评内容': '酒店位置相当便利 但实在太吵', '短评打分': 3}
{'短评内容': '还行吧，干净，就是贵了点', '短评打分': 4}
{'短评内容': '交通非常方便，步行的距离就有一个大型购物场所，吃喝住行都OK', '短评打分': 5}
{'短评内容': '干净，舒适，交通方便，是出差公幹好選擇。', '短评打分': 5}
{'短评内容': '不錯，軟硬體都可以，交通方便，下回來附近出差還會住。', '短评打分': 5}
{'短评内容': '房间很宽敞，服务也很好。下次还来这', '短评打分': 3}
